Date;Value
01.12.2006;100
04.12.2006;100
06.12.2006;100
11.12.2006;100
17.12.2006;100
20.12.2006;100
21.12.2006;100
22.12.2006;100
25.12.2006;100
26.12.2006;100
27.12.2006;100.09
28.12.2006;100.42000000000002
29.12.2006;100.63
01.01.2007;100.63
02.01.2007;100.57000000000001
03.01.2007;100.64
04.01.2007;100.10000000000001
05.01.2007;100.02000000000001
08.01.2007;99.10000000000001
09.01.2007;99.18
10.01.2007;99.59
11.01.2007;99.44
12.01.2007;99.78
15.01.2007;100.53
16.01.2007;100.76
17.01.2007;100.4
18.01.2007;100.68
19.01.2007;100.58
22.01.2007;100.77000000000001
23.01.2007;100.77000000000001
24.01.2007;101.35000000000001
25.01.2007;101.63
26.01.2007;102.13
29.01.2007;102.07000000000001
30.01.2007;102.72000000000001
31.01.2007;102.88
01.02.2007;103.25
02.02.2007;103.61
05.02.2007;103.30000000000001
06.02.2007;103.22000000000001
07.02.2007;103.35000000000001
08.02.2007;103.35000000000001
09.02.2007;103.48
12.02.2007;103.86
13.02.2007;103.54000000000002
14.02.2007;103.85000000000001
15.02.2007;104.38
16.02.2007;104.58
19.02.2007;104.36
20.02.2007;104.81
21.02.2007;104.10000000000001
22.02.2007;104.47000000000001
23.02.2007;105.05000000000001
26.02.2007;105.5
27.02.2007;105.77000000000001
28.02.2007;103.81
01.03.2007;103.36
02.03.2007;102.53
05.03.2007;101.27000000000001
06.03.2007;100.43
07.03.2007;101.29
08.03.2007;101.51
09.03.2007;102.08
12.03.2007;101.9
13.03.2007;102.03
14.03.2007;100.76
15.03.2007;100.08
16.03.2007;101.05000000000001
19.03.2007;100.94
20.03.2007;102.06
21.03.2007;102.71
22.03.2007;103.49000000000001
23.03.2007;103.84000000000002
26.03.2007;103.9
27.03.2007;103.77000000000001
28.03.2007;103.71
29.03.2007;103.48
30.03.2007;103.59000000000002
02.04.2007;103.83
03.04.2007;103.79000000000002
04.04.2007;104.48
05.04.2007;104.86
10.04.2007;105.16
11.04.2007;106.06
12.04.2007;106.04000000000002
13.04.2007;105.71
16.04.2007;106.52000000000001
17.04.2007;107.60000000000001
18.04.2007;107.75
19.04.2007;107.46
20.04.2007;106.53
23.04.2007;107.83
24.04.2007;107.75
25.04.2007;106.93
26.04.2007;107.12
27.04.2007;106.30000000000001
30.04.2007;105.66
02.05.2007;105.71
03.05.2007;105.49000000000001
04.05.2007;105.88
07.05.2007;106.81
08.05.2007;107.17000000000002
09.05.2007;106.4
10.05.2007;106.48
11.05.2007;105.36
14.05.2007;105.73
15.05.2007;105.30000000000001
16.05.2007;105.34000000000002
18.05.2007;104.07000000000001
21.05.2007;104.67000000000002
22.05.2007;105
23.05.2007;104.86
24.05.2007;104.89000000000001
