Date;Value
06.04.2001;100
09.04.2001;100.08
10.04.2001;100.52000000000001
11.04.2001;101.14
12.04.2001;101.26
17.04.2001;100.77000000000001
18.04.2001;101.56
19.04.2001;101.79
20.04.2001;101.92000000000002
23.04.2001;101.60000000000001
24.04.2001;101.73
25.04.2001;101.75
26.04.2001;101.77000000000001
27.04.2001;101.73
30.04.2001;102.28
02.05.2001;102.42000000000002
03.05.2001;102.41
04.05.2001;102.33
07.05.2001;102.60000000000001
08.05.2001;102.55000000000001
09.05.2001;102.5
10.05.2001;102.57000000000001
11.05.2001;102.68
15.05.2001;102.53
16.05.2001;102.24000000000001
17.05.2001;103.25
18.05.2001;103.42000000000002
21.05.2001;103.57000000000001
22.05.2001;104.33
23.05.2001;104.21
25.05.2001;103.79000000000002
28.05.2001;103.78
29.05.2001;103.67000000000002
30.05.2001;102.86
31.05.2001;102.67000000000002
01.06.2001;102.71
05.06.2001;102.83
06.06.2001;103.35000000000001
07.06.2001;103.28
08.06.2001;103.80000000000001
11.06.2001;103.37
12.06.2001;102.78
13.06.2001;102.66
15.06.2001;101.51
18.06.2001;101.48
19.06.2001;101.53
20.06.2001;100.43
21.06.2001;100.42000000000002
22.06.2001;100.69
25.06.2001;100.85000000000001
26.06.2001;100.21000000000001
27.06.2001;100.44
28.06.2001;100.56
29.06.2001;101.9
02.07.2001;102.47000000000001
03.07.2001;102.66
04.07.2001;102.17000000000002
05.07.2001;101.92000000000002
06.07.2001;100.57000000000001
09.07.2001;99.62
10.07.2001;100.09
11.07.2001;98.96000000000001
12.07.2001;99.88
13.07.2001;99.47000000000001
16.07.2001;99.51
17.07.2001;98.86000000000001
18.07.2001;98.73
19.07.2001;98.26
20.07.2001;98.27000000000001
23.07.2001;98.7
24.07.2001;98.47000000000001
25.07.2001;97.81
26.07.2001;98.13
27.07.2001;98.83
30.07.2001;99.37
31.07.2001;99.57000000000001
01.08.2001;100.28
02.08.2001;100.78
03.08.2001;100
06.08.2001;99.88
07.08.2001;99.12
08.08.2001;98.69
09.08.2001;97.89
10.08.2001;98.47000000000001
13.08.2001;98.18
14.08.2001;98.80000000000001
16.08.2001;97.46000000000001
17.08.2001;97.30000000000001
20.08.2001;96.51
21.08.2001;97.03
22.08.2001;97.2
23.08.2001;96.85000000000001
24.08.2001;97.51
27.08.2001;98.45
28.08.2001;98.21000000000001
29.08.2001;97.11000000000001
30.08.2001;97.02000000000001
31.08.2001;96.05000000000001
03.09.2001;95.38
04.09.2001;95.78
05.09.2001;95.24000000000001
06.09.2001;94.2
07.09.2001;92.9
10.09.2001;90.85000000000001
11.09.2001;92.29
13.09.2001;88.52000000000001
14.09.2001;87.83
17.09.2001;85.44
18.09.2001;86.41000000000001
19.09.2001;87.28
20.09.2001;84.76
21.09.2001;81.21000000000001
24.09.2001;83.77000000000001
25.09.2001;84.92000000000002
26.09.2001;86.18
27.09.2001;85.88
28.09.2001;87.13
01.10.2001;86.94
02.10.2001;86.28
04.10.2001;88.41000000000001
05.10.2001;89.08
08.10.2001;87.80000000000001
09.10.2001;89.03
10.10.2001;89
11.10.2001;90.75
12.10.2001;90.84
15.10.2001;90.12
16.10.2001;90.29
17.10.2001;91.80000000000001
18.10.2001;90.25
19.10.2001;90.05000000000001
22.10.2001;90.31
23.10.2001;92.16000000000001
24.10.2001;93.37
25.10.2001;92.89
26.10.2001;93.11000000000001
29.10.2001;92.81
30.10.2001;91.01
31.10.2001;90.9
02.11.2001;92.43
05.11.2001;93.02000000000001
06.11.2001;93.5
07.11.2001;93.56
08.11.2001;95.14
09.11.2001;95.01
12.11.2001;94.07000000000001
13.11.2001;94.41000000000001
14.11.2001;95.32000000000001
15.11.2001;96.05000000000001
16.11.2001;96.2
19.11.2001;97.28
20.11.2001;97.33
21.11.2001;97.08
22.11.2001;97.14
23.11.2001;96.80000000000001
26.11.2001;97.91000000000001
27.11.2001;97.34
28.11.2001;95.64
29.11.2001;95.85000000000001
30.11.2001;96.41000000000001
03.12.2001;95.21000000000001
04.12.2001;95.73
05.12.2001;96.96000000000001
06.12.2001;97.95
07.12.2001;98.23
10.12.2001;97.2
11.12.2001;96.9
12.12.2001;96.33
13.12.2001;96.07000000000001
14.12.2001;94.82000000000001
17.12.2001;95.52000000000001
18.12.2001;95.85000000000001
19.12.2001;95.31
20.12.2001;95.49000000000001
21.12.2001;94.82000000000001
27.12.2001;95.79
28.12.2001;96.44
02.01.2002;96.38
03.01.2002;97.54
04.01.2002;98.80000000000001
07.01.2002;98.51
08.01.2002;98.5
09.01.2002;98.49000000000001
10.01.2002;98.31
11.01.2002;98.49000000000001
14.01.2002;97.96000000000001
15.01.2002;97.19
16.01.2002;96.92000000000002
17.01.2002;97.51
18.01.2002;97.49000000000001
22.01.2002;97.38
23.01.2002;96.91000000000001
24.01.2002;98.29
25.01.2002;98.17000000000002
28.01.2002;98.62
29.01.2002;98.30000000000001
30.01.2002;96.9
31.01.2002;97.62
01.02.2002;97.63
04.02.2002;96.83
05.02.2002;96.04
06.02.2002;94.73
07.02.2002;94.30000000000001
08.02.2002;94.89
11.02.2002;95.64
12.02.2002;95.67000000000002
13.02.2002;95.45
14.02.2002;96.29
15.02.2002;96.17000000000002
18.02.2002;95.25
19.02.2002;93.96000000000001
20.02.2002;93.14
21.02.2002;94.5
22.02.2002;93.60000000000001
25.02.2002;93.77000000000001
26.02.2002;95.13
27.02.2002;95.19
28.02.2002;95.27000000000001
01.03.2002;96.19
04.03.2002;97.86000000000001
05.03.2002;97.83
06.03.2002;97.82000000000001
07.03.2002;98.9
08.03.2002;98.19
11.03.2002;98.72000000000001
12.03.2002;97.89
13.03.2002;98.32000000000001
14.03.2002;97.92000000000002
15.03.2002;98.11000000000001
18.03.2002;99.44
19.03.2002;99.58
20.03.2002;99.24000000000001
21.03.2002;98.97000000000001
22.03.2002;99.22000000000001
25.03.2002;99.24000000000001
26.03.2002;98.76
27.03.2002;98.87
28.03.2002;98.99000000000001
02.04.2002;99.06
03.04.2002;98.97000000000001
04.04.2002;98.26
05.04.2002;98.16000000000001
08.04.2002;97.64
09.04.2002;97.78
10.04.2002;98.10000000000001
11.04.2002;98.21000000000001
12.04.2002;97.75
15.04.2002;98.16000000000001
16.04.2002;98.34
17.04.2002;99.12
18.04.2002;98.9
19.04.2002;98.33
22.04.2002;98.13
23.04.2002;98.12
24.04.2002;98.01
25.04.2002;96.43
26.04.2002;96.42000000000002
29.04.2002;95.84
30.04.2002;95.88
02.05.2002;96.38
03.05.2002;96.58
06.05.2002;95.69
07.05.2002;94.55000000000001
08.05.2002;95.67000000000002
10.05.2002;95.43
13.05.2002;95.05000000000001
14.05.2002;96.54
15.05.2002;96.54
16.05.2002;96.82311
17.05.2002;96.87366
21.05.2002;95.92323
22.05.2002;95.31657000000001
23.05.2002;95.07390000000001
24.05.2002;95.46823
27.05.2002;95.82212
28.05.2002;95.60979
29.05.2002;94.6088
31.05.2002;93.99202000000001
03.06.2002;94.23469
04.06.2002;92.45515
05.06.2002;92.11137000000001
06.06.2002;92.40459
07.06.2002;90.23072
10.06.2002;90.86772
11.06.2002;91.12049
12.06.2002;89.86673
13.06.2002;89.92739
14.06.2002;87.42997000000001
17.06.2002;88.48152
18.06.2002;88.93651
19.06.2002;87.85464
20.06.2002;87.04575
21.06.2002;86.76265000000001
24.06.2002;85.45832000000001
25.06.2002;86.10543000000001
26.06.2002;83.81023
27.06.2002;85.82232
28.06.2002;86.97498000000002
01.07.2002;88.19841000000001
02.07.2002;86.66154
03.07.2002;85.18533000000001
04.07.2002;86.15598
05.07.2002;87.27831
08.07.2002;87.32886
09.07.2002;87.25809000000001
10.07.2002;86.53009
11.07.2002;84.71011
12.07.2002;85.17522000000001
15.07.2002;83.65856000000001
16.07.2002;80.74659000000001
17.07.2002;81.83858000000001
18.07.2002;82.66768
19.07.2002;81.00948
22.07.2002;78.67383000000001
23.07.2002;77.64251000000002
24.07.2002;73.40599
25.07.2002;75.19564000000001
26.07.2002;73.45655000000001
29.07.2002;76.4393
30.07.2002;77.16729000000001
31.07.2002;78.50194
01.08.2002;75.65064
02.08.2002;74.12387
