Date;Value
02.04.2013;100
03.04.2013;98.9
04.04.2013;98.60000000000001
05.04.2013;97.56
08.04.2013;97.97000000000001
09.04.2013;98.02000000000001
10.04.2013;98.54
11.04.2013;98.74000000000001
12.04.2013;98.44
15.04.2013;97.32000000000001
16.04.2013;97.54
17.04.2013;97.04
18.04.2013;96.68
19.04.2013;96.92000000000002
22.04.2013;97.2
23.04.2013;97.95
24.04.2013;98.47000000000001
25.04.2013;98.71000000000001
26.04.2013;98.45
29.04.2013;98.7
30.04.2013;98.53
02.05.2013;98.82000000000001
03.05.2013;99.25
06.05.2013;99.51
07.05.2013;99.65
08.05.2013;99.73
10.05.2013;100.43
13.05.2013;100.43
14.05.2013;100.78
15.05.2013;101.41000000000001
16.05.2013;101.02000000000001
17.05.2013;101.13
21.05.2013;101.14
22.05.2013;101.01
23.05.2013;100.07000000000001
24.05.2013;99.93
27.05.2013;99.85000000000001
28.05.2013;100.62
29.05.2013;99.69
31.05.2013;99.19
03.06.2013;98.98
04.06.2013;98.74000000000001
05.06.2013;97.81
06.06.2013;97.4
07.06.2013;97.99000000000001
10.06.2013;98.08
11.06.2013;97.16000000000001
12.06.2013;96.80000000000001
13.06.2013;97.25
14.06.2013;97.05000000000001
17.06.2013;97.44
18.06.2013;97.45
19.06.2013;97.13
20.06.2013;96.04
21.06.2013;95.9
24.06.2013;94.88
25.06.2013;95.47000000000001
26.06.2013;96.34
27.06.2013;96.74000000000001
28.06.2013;96.53
01.07.2013;96.93
02.07.2013;96.80000000000001
03.07.2013;96.88
04.07.2013;97.47000000000001
05.07.2013;97.69
08.07.2013;98.06
09.07.2013;98.85000000000001
10.07.2013;98.73
11.07.2013;98.79
12.07.2013;98.76
15.07.2013;98.78
16.07.2013;98.29
17.07.2013;98.63
18.07.2013;98.81
19.07.2013;98.78
22.07.2013;98.67000000000002
23.07.2013;98.41000000000001
24.07.2013;98.18
25.07.2013;98.14
26.07.2013;98.13
29.07.2013;97.98
30.07.2013;97.9
31.07.2013;97.79
01.08.2013;98.78
02.08.2013;98.9
05.08.2013;98.98
06.08.2013;98.60000000000001
07.08.2013;98.29
08.08.2013;98.27000000000001
09.08.2013;98.44
12.08.2013;98.58
13.08.2013;99.03
14.08.2013;98.86000000000001
15.08.2013;98.31
16.08.2013;98.05000000000001
19.08.2013;97.72000000000001
20.08.2013;97.58
21.08.2013;97.4
22.08.2013;97.97000000000001
23.08.2013;97.89
26.08.2013;98.02000000000001
27.08.2013;97.10000000000001
28.08.2013;97.24000000000001
29.08.2013;97.68
30.08.2013;97.41000000000001
02.09.2013;97.64
03.09.2013;97.99000000000001
04.09.2013;98.23
05.09.2013;98.47000000000001
06.09.2013;98.61000000000001
09.09.2013;98.48
10.09.2013;98.92000000000002
11.09.2013;98.99000000000001
12.09.2013;98.89
13.09.2013;99.14
16.09.2013;99.32000000000001
17.09.2013;99.34
18.09.2013;99.84
19.09.2013;99.4
20.09.2013;99.2
23.09.2013;98.89
24.09.2013;98.97000000000001
25.09.2013;98.85000000000001
26.09.2013;99.09
27.09.2013;98.78
30.09.2013;98.42000000000002
01.10.2013;98.76
02.10.2013;98.39
04.10.2013;98.10000000000001
07.10.2013;97.73
08.10.2013;96.96000000000001
09.10.2013;96.99000000000001
10.10.2013;98
11.10.2013;98.2
14.10.2013;98.24000000000001
15.10.2013;98.38
16.10.2013;98.75
17.10.2013;98.52000000000001
18.10.2013;99.15
21.10.2013;99.24000000000001
22.10.2013;99.44
23.10.2013;99.12
24.10.2013;99.36000000000001
25.10.2013;99.46000000000001
28.10.2013;99.48
29.10.2013;99.81
30.10.2013;99.73
31.10.2013;100.17000000000002
01.11.2013;100.5
04.11.2013;100.53
05.11.2013;100.44
06.11.2013;100.51
07.11.2013;100.45
08.11.2013;101.08
11.11.2013;101.02000000000001
12.11.2013;100.59
13.11.2013;100.96000000000001
14.11.2013;101.30000000000001
15.11.2013;101.43
18.11.2013;101.18
19.11.2013;100.88
20.11.2013;101.05000000000001
21.11.2013;101.15
22.11.2013;101.17000000000002
25.11.2013;101.22000000000001
26.11.2013;100.94
27.11.2013;100.99000000000001
28.11.2013;101
29.11.2013;100.92000000000002
02.12.2013;100.92000000000002
03.12.2013;100.30000000000001
04.12.2013;100.09
05.12.2013;99.5
06.12.2013;99.86000000000001
09.12.2013;99.76
10.12.2013;99.4
11.12.2013;98.94
12.12.2013;98.75
13.12.2013;98.83
16.12.2013;99.22000000000001
17.12.2013;98.99000000000001
18.12.2013;99.58
19.12.2013;100.06
20.12.2013;100.29
23.12.2013;100.48
27.12.2013;100.78
30.12.2013;100.59
02.01.2014;100.87
03.01.2014;101.08
06.01.2014;100.73
07.01.2014;101.07000000000001
08.01.2014;101.04
09.01.2014;101
10.01.2014;100.9
13.01.2014;100.39
14.01.2014;100.61000000000001
15.01.2014;101.30000000000001
16.01.2014;101.30000000000001
17.01.2014;101.41000000000001
20.01.2014;101.43
21.01.2014;101.56
22.01.2014;101.76
23.01.2014;100.69
24.01.2014;99.22000000000001
27.01.2014;98.7
28.01.2014;99.03
29.01.2014;98.62
30.01.2014;99.35000000000001
31.01.2014;99.46000000000001
03.02.2014;98.58
04.02.2014;98.79
05.02.2014;98.73
06.02.2014;99.16000000000001
07.02.2014;99.60000000000001
10.02.2014;99.54
11.02.2014;99.86000000000001
12.02.2014;100.29
13.02.2014;100.24000000000001
14.02.2014;100.38
17.02.2014;100.34
18.02.2014;100.23
19.02.2014;100.10000000000001
20.02.2014;100.27000000000001
21.02.2014;100.28
24.02.2014;100.80000000000001
25.02.2014;100.71000000000001
26.02.2014;100.93
27.02.2014;100.96000000000001
28.02.2014;100.61000000000001
03.03.2014;99.94
04.03.2014;100.71000000000001
05.03.2014;100.78
06.03.2014;100.57000000000001
07.03.2014;100.21000000000001
10.03.2014;100.09
11.03.2014;99.79
12.03.2014;99.45
13.03.2014;98.78
14.03.2014;98.41000000000001
17.03.2014;98.9
18.03.2014;99.26
19.03.2014;98.98
20.03.2014;99.34
21.03.2014;99.34
24.03.2014;98.79
25.03.2014;99.05000000000001
26.03.2014;98.83
27.03.2014;99.02000000000001
28.03.2014;99.2
31.03.2014;99.24000000000001
01.04.2014;99.56
02.04.2014;99.76
03.04.2014;99.83
04.04.2014;99.55000000000001
07.04.2014;98.5
08.04.2014;98.49000000000001
09.04.2014;98.82000000000001
10.04.2014;97.82000000000001
11.04.2014;97.05000000000001
14.04.2014;97.71000000000001
15.04.2014;97.79
16.04.2014;98.45
17.04.2014;98.37
22.04.2014;99.30000000000001
23.04.2014;98.99000000000001
24.04.2014;99.09
25.04.2014;98.35000000000001
28.04.2014;98.03
29.04.2014;98.52000000000001
30.04.2014;98.39
02.05.2014;98.58
05.05.2014;98.59
06.05.2014;97.97000000000001
07.05.2014;97.88
08.05.2014;98.34
09.05.2014;98.67000000000002
12.05.2014;99.06
13.05.2014;99.46000000000001
14.05.2014;99.43
15.05.2014;99.01
16.05.2014;99.19
19.05.2014;99.13
20.05.2014;98.86000000000001
21.05.2014;99.30000000000001
22.05.2014;99.49000000000001
23.05.2014;99.78
26.05.2014;99.83
27.05.2014;100.17000000000002
28.05.2014;100.18
30.05.2014;100.12
02.06.2014;100.42000000000002
03.06.2014;100.29
04.06.2014;100.34
05.06.2014;100.68
06.06.2014;101.02000000000001
10.06.2014;101.47000000000001
11.06.2014;101.41000000000001
12.06.2014;101.08
13.06.2014;101.2
16.06.2014;101.03
17.06.2014;101.12
18.06.2014;101.25
20.06.2014;101.67000000000002
23.06.2014;101.62
24.06.2014;101.36000000000001
25.06.2014;101.25
26.06.2014;101.44
27.06.2014;101.28
30.06.2014;101.08
01.07.2014;101.58
02.07.2014;101.76
03.07.2014;102.30000000000001
04.07.2014;102.41
07.07.2014;102.14
08.07.2014;101.7
09.07.2014;101.76
10.07.2014;101.52000000000001
11.07.2014;101.62
14.07.2014;101.85000000000001
15.07.2014;101.98
16.07.2014;102.47000000000001
17.07.2014;101.97000000000001
18.07.2014;102.27000000000001
21.07.2014;102.07000000000001
22.07.2014;102.75
23.07.2014;102.89000000000001
24.07.2014;102.80000000000001
25.07.2014;102.65
28.07.2014;102.64000000000001
29.07.2014;102.60000000000001
30.07.2014;102.59000000000002
31.07.2014;101.60000000000001
01.08.2014;101.03
04.08.2014;101.32000000000001
05.08.2014;101.21000000000001
06.08.2014;101.27000000000001
07.08.2014;101.16000000000001
08.08.2014;101.11000000000001
11.08.2014;101.57000000000001
12.08.2014;101.64
13.08.2014;101.78
14.08.2014;101.99000000000001
15.08.2014;101.93
18.08.2014;102.45
19.08.2014;102.91
20.08.2014;103.03
21.08.2014;103.28
22.08.2014;103.42000000000002
25.08.2014;103.97000000000001
26.08.2014;104.09000000000002
27.08.2014;104.13
28.08.2014;103.95
29.08.2014;104.11
01.09.2014;104.25999999999999
02.09.2014;104.3821
03.09.2014;104.45211
04.09.2014;105.31221000000001
05.09.2014;105.35221
08.09.2014;105.19219000000001
09.09.2014;104.82215000000002
10.09.2014;104.91216
11.09.2014;104.84215
12.09.2014;104.63213000000002
15.09.2014;104.57212
16.09.2014;104.70214000000001
17.09.2014;104.64213000000001
18.09.2014;105.18218999999999
19.09.2014;105.48223000000002
22.09.2014;105.2222
23.09.2014;104.80215000000001
24.09.2014;105.40222000000001
25.09.2014;105.07218
26.09.2014;105.46223
29.09.2014;105.2722
30.09.2014;105.42222
01.10.2014;105.14219000000001
02.10.2014;104.4221
06.10.2014;105.19219000000001
07.10.2014;104.41210000000001
08.10.2014;104.36210000000001
09.10.2014;103.522
10.10.2014;103.20196000000001
13.10.2014;102.85192
14.10.2014;102.77191
15.10.2014;102.12184
16.10.2014;101.80180000000001
17.10.2014;102.40187000000002
20.10.2014;102.72191000000001
21.10.2014;103.18196
22.10.2014;103.33198
23.10.2014;103.59201000000002
24.10.2014;103.59201000000002
27.10.2014;103.49200000000002
28.10.2014;103.89204000000001
29.10.2014;104.03206
30.10.2014;104.56212000000001
31.10.2014;105.21220000000001
03.11.2014;104.96217
04.11.2014;104.85215000000001
05.11.2014;105.28219999999999
06.11.2014;105.36221
07.11.2014;105.37221
10.11.2014;105.38222000000002
11.11.2014;105.42222
12.11.2014;105.17219
13.11.2014;105.15219
14.11.2014;105.09218000000001
17.11.2014;104.86216
18.11.2014;104.86216
19.11.2014;104.78215
20.11.2014;104.78215
21.11.2014;105.56224
24.11.2014;105.48223000000002
25.11.2014;105.31221000000001
26.11.2014;105.08218
27.11.2014;105.19219000000001
28.11.2014;105.02217000000002
01.12.2014;104.88216
02.12.2014;105.11218
03.12.2014;105.48223000000002
04.12.2014;105.10218
05.12.2014;105.65225000000001
08.12.2014;105.60224000000001
09.12.2014;105.00217
10.12.2014;104.45211
11.12.2014;104.59212000000001
