Date;Value
21.02.2019;100
22.02.2019;100
25.02.2019;100.7
26.02.2019;100.60000000000001
27.02.2019;99.80000000000001
28.02.2019;99.2
01.03.2019;99.10000000000001
04.03.2019;98.9
05.03.2019;99.30000000000001
06.03.2019;99.80000000000001
07.03.2019;99.4
08.03.2019;99
11.03.2019;99.80000000000001
12.03.2019;99.7
13.03.2019;99.60000000000001
14.03.2019;99.60000000000001
15.03.2019;100.10000000000001
19.03.2019;100.2
20.03.2019;99.80000000000001
21.03.2019;99.7
22.03.2019;99.80000000000001
25.03.2019;98.2
26.03.2019;98.7
27.03.2019;98.60000000000001
28.03.2019;98.4
29.03.2019;99.5
01.04.2019;99.9
02.04.2019;100.4
03.04.2019;100.10000000000001
04.04.2019;99.7
05.04.2019;100.30000000000001
08.04.2019;99.80000000000001
09.04.2019;100.10000000000001
10.04.2019;100.10000000000001
11.04.2019;100.4
12.04.2019;99.80000000000001
15.04.2019;100.60000000000001
16.04.2019;101
17.04.2019;101
18.04.2019;100.9
23.04.2019;100.2
24.04.2019;100.4
25.04.2019;100.30000000000001
26.04.2019;100.5
29.04.2019;100.60000000000001
30.04.2019;100.60000000000001
01.05.2019;100.30000000000001
02.05.2019;100.80000000000001
03.05.2019;101.10000000000001
07.05.2019;100.4
08.05.2019;99.7
09.05.2019;99.10000000000001
10.05.2019;98.9
13.05.2019;98.4
14.05.2019;97.9
15.05.2019;97.80000000000001
16.05.2019;98
17.05.2019;97.9
20.05.2019;98
21.05.2019;97.9
22.05.2019;98
23.05.2019;97.5
24.05.2019;97.30000000000001
27.05.2019;97.4
28.05.2019;97.2
29.05.2019;97
30.05.2019;98.4
31.05.2019;98.5
04.06.2019;98.7
05.06.2019;98.9
06.06.2019;98.60000000000001
07.06.2019;98.2
10.06.2019;98.80000000000001
11.06.2019;99.10000000000001
12.06.2019;99.10000000000001
13.06.2019;99.30000000000001
14.06.2019;98.80000000000001
17.06.2019;98.60000000000001
18.06.2019;99.4
19.06.2019;99.5
20.06.2019;100.30000000000001
21.06.2019;99.80000000000001
24.06.2019;99.30000000000001
25.06.2019;99.4
26.06.2019;99.80000000000001
27.06.2019;99.9
28.06.2019;99.7
01.07.2019;100.4
02.07.2019;101
03.07.2019;101.5
