Date;Value
07.06.2019;100
13.06.2019;99.64
14.06.2019;99.84
17.06.2019;99.78
18.06.2019;100.84
19.06.2019;100.72000000000001
20.06.2019;101.04
21.06.2019;100.80000000000001
24.06.2019;100.9
25.06.2019;101.04
26.06.2019;101
27.06.2019;101.04
28.06.2019;101.06
01.07.2019;101.48
02.07.2019;101.76
03.07.2019;102.66
04.07.2019;102.62
05.07.2019;102.24000000000001
08.07.2019;101.82000000000001
09.07.2019;101.86000000000001
10.07.2019;101.68
11.07.2019;101.48
12.07.2019;100.94
15.07.2019;101.42000000000002
16.07.2019;101.5
17.07.2019;101.82000000000001
18.07.2019;102.06
19.07.2019;102.10000000000001
22.07.2019;102.08
23.07.2019;102.08
24.07.2019;102.46
25.07.2019;102.36000000000001
26.07.2019;102.42000000000002
29.07.2019;102.52000000000001
30.07.2019;102.54000000000002
31.07.2019;103.02000000000001
01.08.2019;102.96
02.08.2019;103.44000000000001
05.08.2019;103.44000000000001
06.08.2019;103.75999999999999
07.08.2019;104.32000000000001
08.08.2019;103.84000000000002
09.08.2019;103.38
12.08.2019;103.68
13.08.2019;104.06
14.08.2019;104.5
16.08.2019;105.06
19.08.2019;104.44000000000001
20.08.2019;104.74000000000001
21.08.2019;104.72000000000001
22.08.2019;104.58
23.08.2019;104.62
26.08.2019;104.64000000000001
27.08.2019;105.2
28.08.2019;105.58
29.08.2019;105.42000000000002
30.08.2019;105.25999999999999
02.09.2019;105.2
03.09.2019;105.36
04.09.2019;105.38
05.09.2019;104.44000000000001
06.09.2019;104.9
09.09.2019;104.30000000000001
10.09.2019;103.80000000000001
11.09.2019;104.06
12.09.2019;104.24000000000001
13.09.2019;103.86
16.09.2019;104.12
17.09.2019;103.82000000000001
18.09.2019;104.24000000000001
19.09.2019;104.2
20.09.2019;104.22000000000001
23.09.2019;104.78
24.09.2019;104.98
25.09.2019;104.75999999999999
26.09.2019;104.96
27.09.2019;104.88
30.09.2019;104.78
01.10.2019;104.58
02.10.2019;104.36
03.10.2019;104.68
04.10.2019;104.64000000000001
07.10.2019;104.54000000000002
08.10.2019;104.68
09.10.2019;104.42000000000002
10.10.2019;103.80000000000001
11.10.2019;103.82000000000001
14.10.2019;103.94000000000001
15.10.2019;103.80000000000001
16.10.2019;103.72000000000001
17.10.2019;103.94000000000001
18.10.2019;104.04000000000002
21.10.2019;103.28
22.10.2019;103.54000000000002
23.10.2019;103.7
24.10.2019;103.80000000000001
25.10.2019;103.48
28.10.2019;103.25999999999999
29.10.2019;103.4
30.10.2019;103.44000000000001
31.10.2019;103.86
04.11.2019;103.34000000000002
05.11.2019;103.12
06.11.2019;103.38
07.11.2019;102.5
08.11.2019;102.64000000000001
11.11.2019;102.32000000000001
12.11.2019;102.44000000000001
13.11.2019;102.5
14.11.2019;102.58
15.11.2019;102.62
18.11.2019;102.7
19.11.2019;102.60000000000001
20.11.2019;102.66
21.11.2019;102.52000000000001
22.11.2019;102.68
25.11.2019;102.64000000000001
26.11.2019;102.74000000000001
27.11.2019;102.7
28.11.2019;102.56
29.11.2019;102.62
02.12.2019;101.96000000000001
03.12.2019;102.52000000000001
04.12.2019;102.30000000000001
05.12.2019;102.02000000000001
06.12.2019;101.98
09.12.2019;102.26
10.12.2019;102.26
11.12.2019;102.5
12.12.2019;102.22000000000001
13.12.2019;102.56
16.12.2019;102.4
17.12.2019;102.62
18.12.2019;102.32000000000001
19.12.2019;102.16000000000001
20.12.2019;102.16000000000001
23.12.2019;102.08
27.12.2019;102.24000000000001
30.12.2019;101.80000000000001
31.12.2019;101.78
02.01.2020;101.94
03.01.2020;102.4
06.01.2020;102.32000000000001
07.01.2020;102.22000000000001
08.01.2020;101.9
09.01.2020;101.92000000000002
10.01.2020;102.14
13.01.2020;101.78
14.01.2020;101.82000000000001
15.01.2020;101.98
16.01.2020;101.92000000000002
17.01.2020;102
20.01.2020;102.06
21.01.2020;102.22000000000001
22.01.2020;102.32000000000001
23.01.2020;102.75999999999999
24.01.2020;102.88
27.01.2020;103.52000000000001
28.01.2020;103.4
29.01.2020;103.75999999999999
30.01.2020;103.92000000000002
31.01.2020;104.10000000000001
03.02.2020;104
04.02.2020;103.80000000000001
05.02.2020;103.62
06.02.2020;103.7
07.02.2020;103.86
10.02.2020;103.96
11.02.2020;103.80000000000001
12.02.2020;104
13.02.2020;104.10000000000001
14.02.2020;104.12
17.02.2020;104.16
18.02.2020;104.10000000000001
19.02.2020;104.2
20.02.2020;104.52000000000001
21.02.2020;104.46
24.02.2020;104.42000000000002
25.02.2020;104.42000000000002
26.02.2020;104.24000000000001
27.02.2020;103.9
28.02.2020;104.02000000000001
02.03.2020;104.02000000000001
03.03.2020;104.7
04.03.2020;104.66
05.03.2020;104.48
06.03.2020;104.34000000000002
09.03.2020;103.52000000000001
10.03.2020;103.18
11.03.2020;103.84000000000002
12.03.2020;101.24000000000001
13.03.2020;100.4
16.03.2020;98.24000000000001
17.03.2020;97.82000000000001
18.03.2020;96.94
19.03.2020;99.2
20.03.2020;99.76
23.03.2020;99.60000000000001
24.03.2020;99.04
25.03.2020;98.76
26.03.2020;100.64
27.03.2020;100.96000000000001
30.03.2020;100.32000000000001
31.03.2020;99.88
01.04.2020;99.72000000000001
02.04.2020;99.80000000000001
03.04.2020;99.56
06.04.2020;99.68
07.04.2020;98.98
08.04.2020;98.92000000000002
09.04.2020;99.46000000000001
14.04.2020;98.98
15.04.2020;98.92000000000002
16.04.2020;99.08
