Date;Value
19.05.2010;100
20.05.2010;96.1066
21.05.2010;97.5561
24.05.2010;96.2971
25.05.2010;96.3288
26.05.2010;95.7998
27.05.2010;98.9738
28.05.2010;97.7571
31.05.2010;97.7571
01.06.2010;96.0749
02.06.2010;98.5717
03.06.2010;98.9738
04.06.2010;95.5777
07.06.2010;94.2869
08.06.2010;95.3343
09.06.2010;94.763
10.06.2010;97.5667
11.06.2010;98.0216
14.06.2010;97.8417
15.06.2010;100.1375
16.06.2010;100.0846
17.06.2010;100.2222
18.06.2010;100.3597
21.06.2010;99.9683
22.06.2010;98.3707
23.06.2010;98.0851
24.06.2010;96.4346
25.06.2010;96.7097
28.06.2010;96.5298
29.06.2010;93.5358
30.06.2010;92.6047
01.07.2010;92.3085
02.07.2010;91.8747
06.07.2010;92.372
07.07.2010;95.3026
08.07.2010;96.2019
09.07.2010;96.8895
12.07.2010;96.9636
13.07.2010;98.4554
14.07.2010;98.4448
15.07.2010;98.5612
16.07.2010;95.7258
19.07.2010;96.2971
20.07.2010;97.3868
21.07.2010;96.1595
22.07.2010;98.3178
23.07.2010;99.1325
26.07.2010;100.2328
27.07.2010;100.127
28.07.2010;99.4393
29.07.2010;99.0372
30.07.2010;99.0478
02.08.2010;101.2273
03.08.2010;100.7406
04.08.2010;101.3754
05.08.2010;101.2484
06.08.2010;100.8887
09.08.2010;101.4388
10.08.2010;100.8358
11.08.2010;98.0427
12.08.2010;97.5243
13.08.2010;97.1329
16.08.2010;97.154
17.08.2010;98.3601
18.08.2010;98.5188
19.08.2010;96.8472
20.08.2010;96.4981
23.08.2010;96.1066
24.08.2010;94.7101
25.08.2010;95.0381
26.08.2010;94.3081
27.08.2010;95.8845
30.08.2010;94.4985
31.08.2010;94.5303
01.09.2010;97.3339
02.09.2010;98.2226
03.09.2010;99.5133
07.09.2010;98.3813
08.09.2010;99.0267
09.09.2010;99.5028
10.09.2010;99.9894
13.09.2010;101.132
14.09.2010;101.058
15.09.2010;101.4177
16.09.2010;101.3965
17.09.2010;101.4812
20.09.2010;103.0258
21.09.2010;102.7613
22.09.2010;102.2747
23.09.2010;101.4283
24.09.2010;103.576
27.09.2010;102.9835
28.09.2010;103.5019
29.09.2010;103.2374
30.09.2010;102.92
01.10.2010;103.3749
04.10.2010;102.5497
05.10.2010;104.6868
06.10.2010;104.6657
07.10.2010;104.4964
08.10.2010;105.1312
11.10.2010;105.1418
12.10.2010;105.5438
13.10.2010;106.3055
14.10.2010;105.9247
15.10.2010;106.1363
18.10.2010;106.898
19.10.2010;105.2052
20.10.2010;106.3267
21.10.2010;106.5171
22.10.2010;106.7711
25.10.2010;106.9932
26.10.2010;107.0038
27.10.2010;106.7287
28.10.2010;106.8557
29.10.2010;106.8028
01.11.2010;106.9086
02.11.2010;107.7338
03.11.2010;108.1464
04.11.2010;110.2518
05.11.2010;110.6856
08.11.2010;110.4634
09.11.2010;109.5959
10.11.2010;110.0931
11.11.2010;109.6276
12.11.2010;108.3369
15.11.2010;108.2099
16.11.2010;106.4854
17.11.2010;106.5277
18.11.2010;108.157
19.11.2010;108.4427
22.11.2010;108.2734
23.11.2010;106.7287
24.11.2010;108.3263
26.11.2010;107.5328
29.11.2010;107.4164
30.11.2010;106.7711
01.12.2010;109.088
02.12.2010;110.4846
03.12.2010;110.7702
06.12.2010;110.6327
07.12.2010;110.6856
08.12.2010;111.1193
09.12.2010;111.5531
10.12.2010;112.2196
13.12.2010;112.2408
14.12.2010;112.3466
15.12.2010;111.7753
16.12.2010;112.463
17.12.2010;112.5582
20.12.2010;112.8438
21.12.2010;113.5315
22.12.2010;113.923
23.12.2010;113.7431
27.12.2010;113.8172
28.12.2010;113.9018
29.12.2010;114.0288
30.12.2010;113.8595
31.12.2010;113.8383
03.01.2011;115.1291
04.01.2011;114.981
05.01.2011;115.5628
06.01.2011;115.3512
07.01.2011;115.1397
10.01.2011;114.981
11.01.2011;115.4041
12.01.2011;116.4515
13.01.2011;116.2505
14.01.2011;117.1181
18.01.2011;117.2768
19.01.2011;116.1024
20.01.2011;115.9543
21.01.2011;116.2294
24.01.2011;116.9065
25.01.2011;116.9382
26.01.2011;117.4355
27.01.2011;117.7105
28.01.2011;115.6157
31.01.2011;116.4939
01.02.2011;118.43
02.02.2011;118.1337
03.02.2011;118.4194
04.02.2011;118.7685
07.02.2011;119.4985
08.02.2011;120.0381
09.02.2011;119.7101
10.02.2011;119.8159
11.02.2011;120.4824
14.02.2011;120.7893
15.02.2011;120.4084
16.02.2011;121.1807
17.02.2011;121.5616
18.02.2011;121.7943
21.02.2011;121.7943
22.02.2011;119.2975
23.02.2011;118.5781
24.02.2011;118.4829
25.02.2011;119.7524
28.02.2011;120.419
01.03.2011;118.5252
02.03.2011;118.7368
03.03.2011;120.7787
04.03.2011;119.89
07.03.2011;118.8955
08.03.2011;119.9746
09.03.2011;119.8265
10.03.2011;117.5624
11.03.2011;118.43
14.03.2011;117.7105
15.03.2011;116.3986
16.03.2011;114.1346
17.03.2011;115.6581
18.03.2011;116.1553
21.03.2011;117.8904
22.03.2011;117.4884
23.03.2011;117.8269
24.03.2011;118.9272
25.03.2011;119.3081
28.03.2011;118.9695
29.03.2011;119.8371
30.03.2011;120.6411
31.03.2011;120.419
01.04.2011;121.022
04.04.2011;121.0749
05.04.2011;121.0537
06.04.2011;121.3606
07.04.2011;121.1807
08.04.2011;120.694
11.04.2011;120.3555
12.04.2011;119.4245
13.04.2011;119.4562
14.04.2011;119.4668
