Date;Value
31.07.2008;100
04.08.2008;99.28
05.08.2008;100.31
07.08.2008;100.43
08.08.2008;101.26
11.08.2008;101.7
12.08.2008;101.57000000000001
13.08.2008;101.18
14.08.2008;101.41000000000001
18.08.2008;101.44
19.08.2008;101.02000000000001
20.08.2008;101.17000000000002
21.08.2008;100.84
22.08.2008;101.27000000000001
25.08.2008;101.09
26.08.2008;101.36000000000001
27.08.2008;101.23
28.08.2008;101.55000000000001
29.08.2008;101.56
01.09.2008;101.78
02.09.2008;101.83
03.09.2008;101.73
04.09.2008;100.99000000000001
05.09.2008;101.03
08.09.2008;101.66000000000001
10.09.2008;101.32000000000001
11.09.2008;101.54
12.09.2008;101.55000000000001
15.09.2008;100.62
16.09.2008;100.57000000000001
17.09.2008;99.42000000000002
18.09.2008;99.49000000000001
19.09.2008;100.69
22.09.2008;99.58
23.09.2008;99.17000000000002
24.09.2008;99.44
25.09.2008;99.94
26.09.2008;99.92000000000002
29.09.2008;98.69
30.09.2008;100.09
01.10.2008;99.74000000000001
02.10.2008;100.19
03.10.2008;100.45
06.10.2008;100.87
07.10.2008;100.77000000000001
08.10.2008;100.75
09.10.2008;99.88
10.10.2008;98.60000000000001
13.10.2008;99.26
14.10.2008;98.89
15.10.2008;99
16.10.2008;99.32000000000001
17.10.2008;99.77000000000001
20.10.2008;99.42000000000002
22.10.2008;100.27000000000001
23.10.2008;100.29
24.10.2008;100.41000000000001
27.10.2008;100.22000000000001
28.10.2008;100.48
29.10.2008;100.33
30.10.2008;100.21000000000001
31.10.2008;100.05000000000001
03.11.2008;99.88
04.11.2008;100.14
05.11.2008;100.31
07.11.2008;101
11.11.2008;101.09
13.11.2008;101.26
14.11.2008;101.08
19.11.2008;101.38
20.11.2008;101.89
28.11.2008;102.16000000000001
04.12.2008;102.38
05.12.2008;102.46
08.12.2008;102.62
09.12.2008;102.30000000000001
10.12.2008;102.52000000000001
11.12.2008;102.42000000000002
12.12.2008;101.67000000000002
15.12.2008;101.46000000000001
16.12.2008;101.83
17.12.2008;102.66
18.12.2008;102.49000000000001
19.12.2008;102.73
22.12.2008;102.31
23.12.2008;102.45
24.12.2008;102.43
29.12.2008;102.48
30.12.2008;102.58
31.12.2008;102.62
02.01.2009;103.43
05.01.2009;103.56
06.01.2009;103.34000000000002
07.01.2009;102.64000000000001
08.01.2009;102.85000000000001
09.01.2009;103.10000000000001
12.01.2009;102.81
13.01.2009;102.66
14.01.2009;101.98
15.01.2009;101.91000000000001
16.01.2009;101.66000000000001
19.01.2009;101.37
20.01.2009;100.98
21.01.2009;100.78
22.01.2009;100.36000000000001
23.01.2009;99.85000000000001
26.01.2009;99.38
27.01.2009;99.77000000000001
28.01.2009;100.77000000000001
29.01.2009;100.76
30.01.2009;100.54
02.02.2009;100.53
03.02.2009;100.67000000000002
04.02.2009;100.86000000000001
05.02.2009;101.22000000000001
06.02.2009;101.52000000000001
09.02.2009;101.35000000000001
10.02.2009;101.53
11.02.2009;101.32000000000001
12.02.2009;101.41000000000001
13.02.2009;101.2
16.02.2009;101.03
17.02.2009;100.85000000000001
18.02.2009;100.83
19.02.2009;100.27000000000001
20.02.2009;100.2
23.02.2009;99.86000000000001
24.02.2009;100.02000000000001
25.02.2009;99.99000000000001
26.02.2009;99.64
27.02.2009;99.35000000000001
02.03.2009;98.97000000000001
03.03.2009;98.81
04.03.2009;99.03
05.03.2009;98.81
06.03.2009;98.76
09.03.2009;98.55000000000001
10.03.2009;99.02000000000001
11.03.2009;98.81
12.03.2009;99.29
13.03.2009;98.86000000000001
16.03.2009;99.36000000000001
17.03.2009;100.89
18.03.2009;100.83
19.03.2009;101.27000000000001
20.03.2009;101.60000000000001
23.03.2009;102.08
24.03.2009;101.79
25.03.2009;101.73
26.03.2009;102.10000000000001
27.03.2009;102.29
30.03.2009;101.86000000000001
31.03.2009;102.12
01.04.2009;102.43
02.04.2009;102.75
03.04.2009;102.42000000000002
06.04.2009;102.28
07.04.2009;102.2
08.04.2009;102.49000000000001
09.04.2009;102.9
14.04.2009;103.10000000000001
15.04.2009;103.38
16.04.2009;103.58
17.04.2009;103.62
20.04.2009;103.4
21.04.2009;103.5
22.04.2009;103.45
23.04.2009;103.32000000000001
24.04.2009;103.84000000000002
27.04.2009;103.99000000000001
28.04.2009;103.85000000000001
29.04.2009;103.96
30.04.2009;104.39000000000001
04.05.2009;104.49000000000001
05.05.2009;104.78
06.05.2009;105.14000000000001
07.05.2009;104.60000000000001
08.05.2009;104.93
11.05.2009;104.79000000000002
12.05.2009;104.53
13.05.2009;104.28
14.05.2009;104.25
15.05.2009;104.18
18.05.2009;104.7
19.05.2009;104.7
20.05.2009;104.71
22.05.2009;104.07000000000001
25.05.2009;103.73
26.05.2009;103.99000000000001
27.05.2009;103.94000000000001
28.05.2009;103.69000000000001
29.05.2009;103.80000000000001
02.06.2009;104.28
03.06.2009;104.25999999999999
04.06.2009;104.08
05.06.2009;103.99000000000001
08.06.2009;103.71
09.06.2009;103.85000000000001
10.06.2009;104.09000000000002
11.06.2009;104.16
12.06.2009;104.2
15.06.2009;103.7
16.06.2009;103.62
17.06.2009;103.27000000000001
