Date;Value
31.01.2017;100
01.02.2017;100
02.02.2017;99.46000000000001
03.02.2017;99.5
06.02.2017;99.97000000000001
07.02.2017;100.07000000000001
08.02.2017;100.45
09.02.2017;100.15
10.02.2017;100.88
13.02.2017;101.34
14.02.2017;102.03
15.02.2017;102.50999999999999
16.02.2017;102.50999999999999
17.02.2017;102.32000000000001
20.02.2017;102.4
22.02.2017;103.58
23.02.2017;103.14000000000001
24.02.2017;103.14000000000001
27.02.2017;102.92000000000002
28.02.2017;102.89000000000001
01.03.2017;103.07000000000001
02.03.2017;104.2
03.03.2017;104.21
06.03.2017;103.57000000000001
07.03.2017;103.33
08.03.2017;103.4
09.03.2017;103.25999999999999
10.03.2017;102.86
13.03.2017;102.89000000000001
14.03.2017;103.23
15.03.2017;103.15
16.03.2017;103.37
17.03.2017;103.2
20.03.2017;103.29000000000002
21.03.2017;102.91
22.03.2017;102.14
23.03.2017;102.09
24.03.2017;102.15
27.03.2017;101.76
28.03.2017;101.48
29.03.2017;102.61
30.03.2017;103.11
31.03.2017;103.69000000000001
03.04.2017;103.72000000000001
04.04.2017;103.64000000000001
05.04.2017;103.55000000000001
06.04.2017;103.65
07.04.2017;103.85000000000001
10.04.2017;104.15
11.04.2017;104.27000000000001
12.04.2017;104.18
13.04.2017;104.03
18.04.2017;103.85000000000001
19.04.2017;102.81
20.04.2017;102.73
21.04.2017;103.55000000000001
24.04.2017;102.67000000000002
25.04.2017;103.85000000000001
26.04.2017;104.03
27.04.2017;104.27000000000001
28.04.2017;104.43
02.05.2017;104.13
03.05.2017;104.59000000000002
04.05.2017;104.12
05.05.2017;103.88
08.05.2017;104.4
09.05.2017;104.56
10.05.2017;104.80000000000001
11.05.2017;105.02000000000001
12.05.2017;104.89000000000001
15.05.2017;104.32000000000001
16.05.2017;104.04000000000002
17.05.2017;103.61
18.05.2017;102.04
19.05.2017;101.69
22.05.2017;102.15
23.05.2017;101.89
24.05.2017;102.48
26.05.2017;102.75
29.05.2017;102.95
30.05.2017;103.17000000000002
31.05.2017;102.81
01.06.2017;102.48
02.06.2017;103.25999999999999
06.06.2017;103.43
07.06.2017;102.88
08.06.2017;102.95
09.06.2017;103.08
12.06.2017;103.28
13.06.2017;103.10000000000001
14.06.2017;103.71
15.06.2017;103.75999999999999
16.06.2017;103.36
19.06.2017;103.37
20.06.2017;104.25
21.06.2017;103.9
22.06.2017;103.62
23.06.2017;103.50999999999999
26.06.2017;103.43
27.06.2017;103.61
28.06.2017;101.76
29.06.2017;101.99000000000001
30.06.2017;101.39
03.07.2017;101.53
05.07.2017;102
06.07.2017;102.21000000000001
07.07.2017;101.10000000000001
10.07.2017;101.35000000000001
11.07.2017;101.7
12.07.2017;101.28
13.07.2017;102.34
14.07.2017;102.71
17.07.2017;102.95
18.07.2017;102.7
19.07.2017;102.41
20.07.2017;102.97000000000001
21.07.2017;102.12
24.07.2017;101.74000000000001
25.07.2017;101.39
26.07.2017;101.9
27.07.2017;101.73
28.07.2017;101.85000000000001
31.07.2017;101.23
01.08.2017;100.77000000000001
02.08.2017;100.96000000000001
03.08.2017;100.9
04.08.2017;100.66000000000001
07.08.2017;101.33
08.08.2017;101.47000000000001
09.08.2017;101.75
10.08.2017;101.36000000000001
11.08.2017;100.27000000000001
14.08.2017;99.62
15.08.2017;100.75
16.08.2017;100.88
17.08.2017;101.30000000000001
18.08.2017;100.61000000000001
21.08.2017;100.02000000000001
22.08.2017;99.69
23.08.2017;100.4
24.08.2017;100.15
25.08.2017;100.14
28.08.2017;99.53
29.08.2017;98.77000000000001
30.08.2017;98.78
31.08.2017;99.55000000000001
01.09.2017;100.16000000000001
04.09.2017;100.54
05.09.2017;100.45
06.09.2017;99.73
07.09.2017;99.75
08.09.2017;99.45
11.09.2017;99.74000000000001
12.09.2017;100.95
13.09.2017;101.35000000000001
14.09.2017;101.82000000000001
15.09.2017;101.87
18.09.2017;102.01
19.09.2017;101.71000000000001
20.09.2017;101.75
21.09.2017;102.24000000000001
22.09.2017;101.74000000000001
25.09.2017;102.42000000000002
26.09.2017;102.94000000000001
27.09.2017;103.04000000000002
28.09.2017;103.33
29.09.2017;103.42000000000002
02.10.2017;104.06
04.10.2017;104.78
05.10.2017;104.58
06.10.2017;105.30000000000001
09.10.2017;104.9
10.10.2017;104.67000000000002
12.10.2017;104.25999999999999
13.10.2017;104.60000000000001
16.10.2017;105.13
17.10.2017;105.19000000000001
18.10.2017;105.13
19.10.2017;105.02000000000001
20.10.2017;104.83
23.10.2017;105.50999999999999
24.10.2017;105.4
25.10.2017;105.10000000000001
26.10.2017;104.11
27.10.2017;105.61
30.10.2017;106
01.11.2017;105.77000000000001
02.11.2017;106.06
03.11.2017;105.81
06.11.2017;106.21
07.11.2017;106.46
08.11.2017;106.2
09.11.2017;106.38
10.11.2017;105.72000000000001
13.11.2017;105.35000000000001
14.11.2017;104.71
15.11.2017;103.82000000000001
16.11.2017;103.73
17.11.2017;104.50999999999999
20.11.2017;104.37
21.11.2017;104.9
22.11.2017;105.21
23.11.2017;104.65
24.11.2017;104.4
27.11.2017;104.05000000000001
28.11.2017;103.98
29.11.2017;104.96
30.11.2017;105.4
01.12.2017;105.33
04.12.2017;105.4
05.12.2017;106.27000000000001
06.12.2017;106.17000000000002
07.12.2017;105.80000000000001
08.12.2017;106.33
11.12.2017;106.64000000000001
12.12.2017;106.77000000000001
13.12.2017;107.2
14.12.2017;106.59000000000002
15.12.2017;106.64000000000001
18.12.2017;106.74000000000001
19.12.2017;107.78
20.12.2017;107.39000000000001
21.12.2017;107.05000000000001
22.12.2017;107.46
27.12.2017;107.46
28.12.2017;107.28
29.12.2017;107.2
02.01.2018;105.84000000000002
03.01.2018;106.33
04.01.2018;106.82000000000001
05.01.2018;107.29000000000002
08.01.2018;108.47000000000001
09.01.2018;108.81
10.01.2018;109.12
11.01.2018;108.67000000000002
12.01.2018;107.77000000000001
15.01.2018;107.64000000000001
16.01.2018;107.62
17.01.2018;107.65
18.01.2018;108.27000000000001
19.01.2018;107.72000000000001
22.01.2018;108.4
23.01.2018;108.77000000000001
24.01.2018;108.63
25.01.2018;108
26.01.2018;107.2
29.01.2018;108.32000000000001
30.01.2018;108.02000000000001
31.01.2018;106.75
01.02.2018;106.79000000000002
02.02.2018;106.30000000000001
05.02.2018;104.82000000000001
06.02.2018;102.50999999999999
07.02.2018;102.27000000000001
08.02.2018;103.72000000000001
09.02.2018;101.30000000000001
12.02.2018;101.4
13.02.2018;102.17000000000002
14.02.2018;101.82000000000001
15.02.2018;102.21000000000001
16.02.2018;102.85000000000001
19.02.2018;104.02000000000001
20.02.2018;104.10000000000001
21.02.2018;104.12
22.02.2018;104.22000000000001
23.02.2018;103.91
26.02.2018;104.92000000000002
27.02.2018;105.43
28.02.2018;105.54000000000002
01.03.2018;104.7
02.03.2018;103.11
05.03.2018;102.28
06.03.2018;102.93
07.03.2018;103.02000000000001
08.03.2018;102.99000000000001
09.03.2018;104.12
12.03.2018;105.06
13.03.2018;105
14.03.2018;104.4
15.03.2018;104.06
16.03.2018;104.49000000000001
19.03.2018;104.78
20.03.2018;103.5
21.03.2018;104.18
22.03.2018;103.75999999999999
23.03.2018;102.01
26.03.2018;100.34
27.03.2018;100.74000000000001
28.03.2018;101.06
29.03.2018;101.22000000000001
03.04.2018;101.19
04.04.2018;101.83
05.04.2018;102.29
06.04.2018;103.46
09.04.2018;102.09
10.04.2018;102.2
11.04.2018;102.95
12.04.2018;102.60000000000001
13.04.2018;103.15
16.04.2018;102.99000000000001
17.04.2018;103.14000000000001
18.04.2018;103.9
19.04.2018;104.02000000000001
20.04.2018;103.88
23.04.2018;103.78
24.04.2018;104.46
25.04.2018;103.91
26.04.2018;104.00999999999999
27.04.2018;105.25999999999999
30.04.2018;105.2
02.05.2018;105.36
03.05.2018;105.28
04.05.2018;105.18
07.05.2018;105.92000000000002
08.05.2018;106.17000000000002
09.05.2018;106.75999999999999
11.05.2018;107.25999999999999
14.05.2018;106.9
15.05.2018;107.30000000000001
16.05.2018;107.37
17.05.2018;108.03
18.05.2018;108.14000000000001
22.05.2018;108.45
23.05.2018;109.19000000000001
24.05.2018;108.80000000000001
25.05.2018;108.71
28.05.2018;108.72000000000001
29.05.2018;109.48
30.05.2018;107.94000000000001
31.05.2018;107.87
01.06.2018;107.53
04.06.2018;108.38
05.06.2018;108.86
06.06.2018;108.23
07.06.2018;108.38
08.06.2018;108.66
11.06.2018;108.44000000000001
12.06.2018;108.68
13.06.2018;109.02000000000001
14.06.2018;108.43
15.06.2018;110.02000000000001
18.06.2018;109.98
19.06.2018;109.28
20.06.2018;108.59000000000002
21.06.2018;108.74000000000001
22.06.2018;107.59000000000002
25.06.2018;108.03
26.06.2018;106.38
27.06.2018;106.53
28.06.2018;106.49000000000001
29.06.2018;105.91
02.07.2018;106.27000000000001
03.07.2018;105.42000000000002
04.07.2018;105.74000000000001
05.07.2018;105.49000000000001
06.07.2018;106
09.07.2018;106.18
10.07.2018;106.98
11.07.2018;107.36
12.07.2018;106.61
13.07.2018;107.80000000000001
16.07.2018;107.56
17.07.2018;107.15
18.07.2018;108.27000000000001
19.07.2018;108.69000000000001
20.07.2018;108.15
23.07.2018;107.66
24.07.2018;107.65
25.07.2018;108
26.07.2018;107.88
27.07.2018;109.07000000000001
30.07.2018;108.93
31.07.2018;108.39000000000001
01.08.2018;108.95
02.08.2018;108.79000000000002
03.08.2018;108.83
06.08.2018;109.42000000000002
07.08.2018;109.53
08.08.2018;109.52000000000001
09.08.2018;109.49000000000001
10.08.2018;110.38
13.08.2018;110.07000000000001
14.08.2018;109.30000000000001
15.08.2018;110.22000000000001
16.08.2018;109.19000000000001
17.08.2018;109.89000000000001
20.08.2018;109.98
21.08.2018;109.9
22.08.2018;109.82000000000001
23.08.2018;109.49000000000001
24.08.2018;109.17000000000002
27.08.2018;109.24000000000001
28.08.2018;109.44000000000001
29.08.2018;109.52000000000001
30.08.2018;109.46
31.08.2018;109.05000000000001
03.09.2018;109.16
04.09.2018;109.29000000000002
05.09.2018;108.75
06.09.2018;108.02000000000001
07.09.2018;107.73
10.09.2018;108.04000000000002
11.09.2018;107.77000000000001
12.09.2018;108
13.09.2018;108.13
14.09.2018;107.87
17.09.2018;108.67000000000002
