Date;Value
03.09.2008;100
04.09.2008;100.2
05.09.2008;98.9
08.09.2008;101.9
09.09.2008;99.80000000000001
10.09.2008;100.30000000000001
11.09.2008;100.60000000000001
12.09.2008;100.30000000000001
15.09.2008;96.4
16.09.2008;96.5
17.09.2008;92.60000000000001
18.09.2008;94.5
19.09.2008;99.30000000000001
22.09.2008;95.7
23.09.2008;94.7
24.09.2008;94.60000000000001
25.09.2008;95.80000000000001
26.09.2008;94.9
29.09.2008;89.5
30.09.2008;93
01.10.2008;93.5
02.10.2008;91.5
03.10.2008;91
06.10.2008;87.60000000000001
07.10.2008;84.10000000000001
08.10.2008;80.9
09.10.2008;77.5
10.10.2008;74.8
13.10.2008;84
14.10.2008;82.5
15.10.2008;75
16.10.2008;78.9
17.10.2008;78.10000000000001
20.10.2008;81.7
21.10.2008;81.7
22.10.2008;78.10000000000001
23.10.2008;77.4
24.10.2008;75.8
27.10.2008;72.9
28.10.2008;78.80000000000001
29.10.2008;78.4
30.10.2008;81.10000000000001
31.10.2008;83
03.11.2008;84.10000000000001
04.11.2008;85.60000000000001
05.11.2008;83.80000000000001
06.11.2008;80.30000000000001
07.11.2008;81.30000000000001
10.11.2008;81.4
11.11.2008;79.7
12.11.2008;76.7
13.11.2008;79.10000000000001
14.11.2008;76.2
17.11.2008;74.9
18.11.2008;74.9
19.11.2008;71.7
20.11.2008;67.7
21.11.2008;70.10000000000001
24.11.2008;73
25.11.2008;73
26.11.2008;75.8
27.11.2008;75.8
28.11.2008;77.80000000000001
01.12.2008;71.60000000000001
02.12.2008;74
03.12.2008;75.2
04.12.2008;72.7
05.12.2008;75.2
08.12.2008;77
09.12.2008;75.9
10.12.2008;76.7
11.12.2008;73.60000000000001
12.12.2008;74.10000000000001
15.12.2008;71.8
16.12.2008;73.3
17.12.2008;71.8
18.12.2008;71
19.12.2008;72.4
22.12.2008;71.2
23.12.2008;70.60000000000001
24.12.2008;70.7
29.12.2008;71.7
30.12.2008;72.8
31.12.2008;74.60000000000001
02.01.2009;76.9
05.01.2009;77.9
06.01.2009;79.10000000000001
07.01.2009;76.7
08.01.2009;76.80000000000001
09.01.2009;76.5
12.01.2009;74.9
13.01.2009;75.4
14.01.2009;72.9
15.01.2009;73.2
16.01.2009;73
19.01.2009;73
20.01.2009;70.4
21.01.2009;72.60000000000001
22.01.2009;71.3
23.01.2009;71.3
26.01.2009;71.2
27.01.2009;72.2
28.01.2009;74.9
29.01.2009;73.2
30.01.2009;72.8
02.02.2009;72.2
03.02.2009;72.4
04.02.2009;73.2
05.02.2009;74.60000000000001
06.02.2009;75.7
09.02.2009;75.3
10.02.2009;72.4
11.02.2009;72.9
12.02.2009;73.10000000000001
13.02.2009;72.3
16.02.2009;72.3
17.02.2009;70.3
18.02.2009;70.2
19.02.2009;69.2
20.02.2009;67.2
23.02.2009;65.60000000000001
24.02.2009;67.2
25.02.2009;66.7
26.02.2009;66
27.02.2009;65.5
02.03.2009;62.7
03.03.2009;62.1
04.03.2009;63.7
05.03.2009;61.5
06.03.2009;61
09.03.2009;60
10.03.2009;63.400000000000006
11.03.2009;63
12.03.2009;64.7
13.03.2009;65.3
16.03.2009;65.2
17.03.2009;66.9
18.03.2009;66.2
19.03.2009;65.3
20.03.2009;64.60000000000001
23.03.2009;68.8
24.03.2009;68
25.03.2009;68.2
26.03.2009;69.9
27.03.2009;69.4
30.03.2009;67.2
31.03.2009;68
01.04.2009;69.7
02.04.2009;71.5
03.04.2009;71.9
06.04.2009;71.4
07.04.2009;70.4
08.04.2009;71.2
09.04.2009;74.5
14.04.2009;73.3
15.04.2009;74.5
16.04.2009;75.9
17.04.2009;77.10000000000001
20.04.2009;74.2
21.04.2009;75.7
22.04.2009;75
23.04.2009;75.4
24.04.2009;76.3
27.04.2009;76.3
28.04.2009;75.3
29.04.2009;76.7
30.04.2009;76.9
05.05.2009;79.7
06.05.2009;81.10000000000001
07.05.2009;79.7
08.05.2009;81
11.05.2009;79.4
12.05.2009;79.10000000000001
13.05.2009;76.9
14.05.2009;77.4
15.05.2009;77.7
18.05.2009;79.80000000000001
19.05.2009;79.7
20.05.2009;79.2
21.05.2009;77.4
25.05.2009;77.10000000000001
26.05.2009;79.10000000000001
27.05.2009;78.30000000000001
28.05.2009;78.80000000000001
29.05.2009;79
02.06.2009;80.5
03.06.2009;79.7
04.06.2009;80.30000000000001
05.06.2009;80.9
08.06.2009;81
09.06.2009;80.60000000000001
10.06.2009;81.2
11.06.2009;81.4
12.06.2009;81.80000000000001
15.06.2009;80.5
16.06.2009;79.30000000000001
17.06.2009;78.5
18.06.2009;79.10000000000001
19.06.2009;79.5
22.06.2009;77.2
23.06.2009;76.5
24.06.2009;77.9
25.06.2009;79
26.06.2009;78.9
29.06.2009;79.4
30.06.2009;79
01.07.2009;79.10000000000001
02.07.2009;77.5
03.07.2009;77.5
06.07.2009;77.5
07.07.2009;76.3
08.07.2009;76.10000000000001
09.07.2009;75.9
10.07.2009;75.8
13.07.2009;77.10000000000001
14.07.2009;77.9
15.07.2009;79.4
16.07.2009;79.9
17.07.2009;80
20.07.2009;80.7
21.07.2009;81.2
22.07.2009;81.30000000000001
23.07.2009;83.10000000000001
24.07.2009;83.30000000000001
27.07.2009;83.5
28.07.2009;83.5
29.07.2009;83.9
30.07.2009;85
31.07.2009;84.60000000000001
03.08.2009;85.5
04.08.2009;85.60000000000001
05.08.2009;85.30000000000001
06.08.2009;85.10000000000001
07.08.2009;86.9
10.08.2009;86.7
11.08.2009;85.60000000000001
12.08.2009;86.30000000000001
13.08.2009;86.9
14.08.2009;86.80000000000001
17.08.2009;84.9
18.08.2009;85.80000000000001
19.08.2009;85.80000000000001
20.08.2009;86.60000000000001
21.08.2009;87.7
24.08.2009;88.10000000000001
25.08.2009;88.30000000000001
26.08.2009;88.60000000000001
27.08.2009;88.30000000000001
28.08.2009;88.7
01.09.2009;86.4
02.09.2009;85.9
