Date;Value
12.05.2008;100
13.05.2008;100.30000000000001
14.05.2008;100.80000000000001
15.05.2008;101.80000000000001
16.05.2008;101.30000000000001
19.05.2008;102
20.05.2008;100.4
21.05.2008;98.7
22.05.2008;99.30000000000001
23.05.2008;98
27.05.2008;98.2
28.05.2008;98.7
29.05.2008;99.9
30.05.2008;100.2
03.06.2008;99.80000000000001
04.06.2008;100
05.06.2008;100.2
06.06.2008;97.5
09.06.2008;96.80000000000001
10.06.2008;96.5
11.06.2008;94.4
12.06.2008;95
13.06.2008;96.10000000000001
16.06.2008;96.2
17.06.2008;96
18.06.2008;94.80000000000001
19.06.2008;94.7
20.06.2008;92.9
23.06.2008;92.2
24.06.2008;91.2
25.06.2008;91.80000000000001
26.06.2008;89.60000000000001
27.06.2008;88.9
30.06.2008;88.4
01.07.2008;87.30000000000001
02.07.2008;85.10000000000001
03.07.2008;85
07.07.2008;84.4
08.07.2008;85
09.07.2008;84.30000000000001
10.07.2008;83.80000000000001
11.07.2008;82.5
14.07.2008;82.10000000000001
15.07.2008;81.2
16.07.2008;83.4
17.07.2008;85.2
18.07.2008;85.7
21.07.2008;86.30000000000001
22.07.2008;87.7
23.07.2008;89.10000000000001
24.07.2008;87.30000000000001
25.07.2008;86.9
28.07.2008;85.5
29.07.2008;86.9
30.07.2008;88
31.07.2008;87.60000000000001
01.08.2008;87.5
04.08.2008;86.30000000000001
05.08.2008;88.80000000000001
06.08.2008;89.9
07.08.2008;89.2
08.08.2008;92.10000000000001
11.08.2008;94.2
12.08.2008;93.4
13.08.2008;92.2
14.08.2008;93.2
15.08.2008;94.30000000000001
18.08.2008;93.4
19.08.2008;91.10000000000001
20.08.2008;91.5
21.08.2008;90.7
22.08.2008;92.2
26.08.2008;91.9
27.08.2008;92.10000000000001
28.08.2008;93.60000000000001
29.08.2008;94
01.09.2008;94
02.09.2008;94.7
03.09.2008;94.7
04.09.2008;93.60000000000001
05.09.2008;93.2
08.09.2008;96
09.09.2008;94.2
10.09.2008;94.80000000000001
11.09.2008;94.5
12.09.2008;94.10000000000001
15.09.2008;91
16.09.2008;91.5
17.09.2008;88
18.09.2008;90.60000000000001
19.09.2008;94.2
22.09.2008;90.30000000000001
23.09.2008;89.10000000000001
24.09.2008;88.7
25.09.2008;89.30000000000001
26.09.2008;88.30000000000001
29.09.2008;83.7
30.09.2008;86.30000000000001
01.10.2008;86.60000000000001
02.10.2008;84.7
03.10.2008;83.5
06.10.2008;80.4
07.10.2008;76.60000000000001
08.10.2008;73.5
09.10.2008;70.4
10.10.2008;69.5
13.10.2008;76.9
14.10.2008;74.8
15.10.2008;68.2
16.10.2008;72.3
