Date;Value
25.01.2007;100
26.01.2007;100
29.01.2007;100.10000000000001
30.01.2007;100
31.01.2007;100
01.02.2007;100
02.02.2007;100
05.02.2007;100
06.02.2007;100.10000000000001
07.02.2007;100.10000000000001
08.02.2007;100.10000000000001
09.02.2007;100.10000000000001
12.02.2007;100.10000000000001
13.02.2007;100.10000000000001
14.02.2007;100.10000000000001
15.02.2007;100.10000000000001
16.02.2007;100.10000000000001
20.02.2007;100.2
21.02.2007;100.2
22.02.2007;100.2
23.02.2007;100.2
26.02.2007;100.2
27.02.2007;100.2
28.02.2007;100.30000000000001
01.03.2007;100.30000000000001
02.03.2007;100.30000000000001
05.03.2007;100.30000000000001
06.03.2007;100.4
07.03.2007;100.4
08.03.2007;100.4
09.03.2007;100.4
12.03.2007;100.4
13.03.2007;100.4
14.03.2007;100.4
15.03.2007;100.4
16.03.2007;100.4
19.03.2007;100.4
20.03.2007;100.4
21.03.2007;100.4
22.03.2007;100.5
23.03.2007;100.4
26.03.2007;100.4
27.03.2007;100.5
28.03.2007;100.5
29.03.2007;100.5
30.03.2007;100.5
02.04.2007;100.5
03.04.2007;100.5
04.04.2007;100.5
05.04.2007;100.5
10.04.2007;100.5
11.04.2007;100.60000000000001
12.04.2007;100.60000000000001
13.04.2007;100.60000000000001
16.04.2007;100.60000000000001
17.04.2007;100.60000000000001
18.04.2007;100.60000000000001
19.04.2007;100.60000000000001
20.04.2007;100.60000000000001
23.04.2007;100.60000000000001
24.04.2007;100.60000000000001
25.04.2007;100.60000000000001
26.04.2007;100.60000000000001
27.04.2007;100.7
30.04.2007;100.7
01.05.2007;100.7
02.05.2007;100.7
03.05.2007;100.7
04.05.2007;100.7
08.05.2007;100.7
09.05.2007;100.7
10.05.2007;100.7
11.05.2007;100.80000000000001
14.05.2007;100.80000000000001
15.05.2007;100.80000000000001
16.05.2007;100.80000000000001
17.05.2007;100.80000000000001
18.05.2007;100.80000000000001
21.05.2007;100.80000000000001
22.05.2007;100.80000000000001
23.05.2007;100.80000000000001
24.05.2007;100.80000000000001
25.05.2007;100.80000000000001
29.05.2007;100.80000000000001
30.05.2007;100.80000000000001
31.05.2007;100.80000000000001
01.06.2007;100.80000000000001
05.06.2007;100.80000000000001
06.06.2007;100.80000000000001
07.06.2007;100.80000000000001
08.06.2007;100.80000000000001
11.06.2007;100.80000000000001
12.06.2007;100.80000000000001
13.06.2007;100.80000000000001
14.06.2007;100.80000000000001
15.06.2007;100.9
18.06.2007;100.9
19.06.2007;100.9
20.06.2007;100.9
21.06.2007;100.9
22.06.2007;100.9
25.06.2007;101
26.06.2007;101
27.06.2007;101
28.06.2007;101
29.06.2007;101
02.07.2007;101
03.07.2007;101.10000000000001
04.07.2007;101.10000000000001
05.07.2007;101
06.07.2007;101
09.07.2007;101
10.07.2007;101.10000000000001
11.07.2007;101.10000000000001
12.07.2007;101.10000000000001
13.07.2007;101.10000000000001
16.07.2007;101.10000000000001
17.07.2007;101.2
18.07.2007;101.2
19.07.2007;101.2
20.07.2007;101.2
23.07.2007;101.30000000000001
24.07.2007;101.30000000000001
25.07.2007;101.30000000000001
26.07.2007;101.4
27.07.2007;101.4
30.07.2007;101.4
31.07.2007;101.4
01.08.2007;101.5
02.08.2007;101.5
03.08.2007;101.5
06.08.2007;101.60000000000001
07.08.2007;101.60000000000001
08.08.2007;101.5
09.08.2007;101.5
10.08.2007;101.60000000000001
13.08.2007;101.7
14.08.2007;101.7
15.08.2007;101.80000000000001
16.08.2007;101.80000000000001
17.08.2007;101.9
20.08.2007;101.9
21.08.2007;102
22.08.2007;101.9
23.08.2007;101.9
24.08.2007;101.9
28.08.2007;102
29.08.2007;102
30.08.2007;102.10000000000001
31.08.2007;102
03.09.2007;102
04.09.2007;102
05.09.2007;102.10000000000001
06.09.2007;102.10000000000001
07.09.2007;102.10000000000001
10.09.2007;102.2
11.09.2007;102.2
12.09.2007;102.2
13.09.2007;102.2
14.09.2007;102.2
17.09.2007;102.30000000000001
18.09.2007;102.30000000000001
19.09.2007;102.30000000000001
20.09.2007;102.30000000000001
21.09.2007;102.30000000000001
24.09.2007;102.30000000000001
25.09.2007;102.30000000000001
26.09.2007;102.30000000000001
27.09.2007;102.30000000000001
28.09.2007;102.30000000000001
01.10.2007;102.30000000000001
02.10.2007;102.30000000000001
03.10.2007;102.4
04.10.2007;102.4
05.10.2007;102.4
08.10.2007;102.4
09.10.2007;102.4
10.10.2007;102.4
11.10.2007;102.4
12.10.2007;102.4
15.10.2007;102.4
16.10.2007;102.5
17.10.2007;102.5
18.10.2007;102.5
19.10.2007;102.60000000000001
22.10.2007;102.7
23.10.2007;102.7
24.10.2007;102.7
25.10.2007;102.7
26.10.2007;102.7
29.10.2007;102.7
30.10.2007;102.7
31.10.2007;102.7
01.11.2007;102.7
02.11.2007;102.80000000000001
05.11.2007;102.80000000000001
06.11.2007;102.80000000000001
07.11.2007;102.80000000000001
08.11.2007;102.80000000000001
09.11.2007;102.80000000000001
12.11.2007;102.80000000000001
13.11.2007;102.9
14.11.2007;102.9
15.11.2007;102.80000000000001
16.11.2007;102.9
19.11.2007;102.9
20.11.2007;102.9
21.11.2007;102.9
22.11.2007;102.9
23.11.2007;102.9
26.11.2007;102.9
27.11.2007;103
28.11.2007;102.80000000000001
29.11.2007;103
30.11.2007;103.10000000000001
03.12.2007;103.10000000000001
04.12.2007;103.10000000000001
05.12.2007;103
06.12.2007;103
07.12.2007;103
10.12.2007;103
11.12.2007;103
12.12.2007;103.10000000000001
13.12.2007;103.10000000000001
14.12.2007;103.10000000000001
17.12.2007;103.2
18.12.2007;103.2
19.12.2007;103.2
20.12.2007;103.30000000000001
21.12.2007;103.2
27.12.2007;103.30000000000001
28.12.2007;103.4
31.12.2007;103.5
02.01.2008;103.4
03.01.2008;103.4
04.01.2008;103.4
07.01.2008;103.5
08.01.2008;103.5
09.01.2008;103.5
10.01.2008;103.5
11.01.2008;103.60000000000001
14.01.2008;103.60000000000001
15.01.2008;103.60000000000001
16.01.2008;103.7
17.01.2008;103.7
18.01.2008;103.80000000000001
21.01.2008;103.80000000000001
22.01.2008;103.9
23.01.2008;103.9
24.01.2008;103.9
25.01.2008;103.80000000000001
28.01.2008;103.9
29.01.2008;103.80000000000001
30.01.2008;103.80000000000001
31.01.2008;103.9
01.02.2008;103.9
04.02.2008;103.9
05.02.2008;103.9
06.02.2008;103.9
07.02.2008;103.9
08.02.2008;104
11.02.2008;104
12.02.2008;104
13.02.2008;103.9
14.02.2008;103.9
15.02.2008;103.9
18.02.2008;103.9
19.02.2008;103.9
20.02.2008;103.9
21.02.2008;103.9
22.02.2008;103.9
25.02.2008;103.9
26.02.2008;104
27.02.2008;104
28.02.2008;104
29.02.2008;104
03.03.2008;104.10000000000001
04.03.2008;104.10000000000001
05.03.2008;104.10000000000001
06.03.2008;104.10000000000001
07.03.2008;104.10000000000001
10.03.2008;104.10000000000001
11.03.2008;104.10000000000001
12.03.2008;104.2
13.03.2008;104.10000000000001
14.03.2008;104.10000000000001
17.03.2008;104.2
18.03.2008;104.2
19.03.2008;104.2
20.03.2008;104.2
25.03.2008;104.2
26.03.2008;104.2
27.03.2008;104.2
28.03.2008;104.2
31.03.2008;104.30000000000001
01.04.2008;104.30000000000001
02.04.2008;104.30000000000001
03.04.2008;104.30000000000001
04.04.2008;104.30000000000001
07.04.2008;104.4
