Date;Value
16.10.2018;100
17.10.2018;99.2
18.10.2018;98.30000000000001
19.10.2018;98
22.10.2018;97.80000000000001
23.10.2018;96.2
24.10.2018;96
25.10.2018;97.10000000000001
26.10.2018;96.5
29.10.2018;96.80000000000001
30.10.2018;96.80000000000001
31.10.2018;98.60000000000001
02.11.2018;99.30000000000001
05.11.2018;98.80000000000001
06.11.2018;98.80000000000001
07.11.2018;100.4
08.11.2018;99.7
09.11.2018;99.80000000000001
12.11.2018;99.30000000000001
13.11.2018;100.2
14.11.2018;99.60000000000001
15.11.2018;99.2
16.11.2018;99
19.11.2018;97.80000000000001
20.11.2018;96.30000000000001
21.11.2018;97.2
22.11.2018;96.60000000000001
23.11.2018;97.10000000000001
26.11.2018;97.9
27.11.2018;97.80000000000001
28.11.2018;98.10000000000001
29.11.2018;98.5
30.11.2018;98.10000000000001
03.12.2018;99.5
04.12.2018;98.5
05.12.2018;97.30000000000001
06.12.2018;94.9
07.12.2018;95
10.12.2018;93.7
11.12.2018;94.9
12.12.2018;96.60000000000001
13.12.2018;96.2
14.12.2018;95.2
17.12.2018;94
18.12.2018;93.4
19.12.2018;93.5
20.12.2018;92.2
21.12.2018;91.7
27.12.2018;90.60000000000001
28.12.2018;91.80000000000001
31.12.2018;92.4
02.01.2019;92.4
03.01.2019;90.9
04.01.2019;93.60000000000001
07.01.2019;93.80000000000001
08.01.2019;94.5
09.01.2019;94.9
10.01.2019;94.9
11.01.2019;95
14.01.2019;93.9
15.01.2019;94.30000000000001
16.01.2019;94.60000000000001
17.01.2019;95.10000000000001
18.01.2019;96.80000000000001
21.01.2019;96.9
22.01.2019;96.7
23.01.2019;96.9
24.01.2019;96.9
25.01.2019;97.30000000000001
28.01.2019;96.5
29.01.2019;97.2
30.01.2019;97.60000000000001
31.01.2019;97.7
01.02.2019;98.2
04.02.2019;98.30000000000001
05.02.2019;100.10000000000001
06.02.2019;100.5
07.02.2019;99.7
08.02.2019;99.10000000000001
11.02.2019;99.9
12.02.2019;100.4
13.02.2019;100.7
14.02.2019;100.9
15.02.2019;102
18.02.2019;102.2
19.02.2019;101.80000000000001
20.02.2019;102.5
21.02.2019;102.4
22.02.2019;102.9
25.02.2019;103
26.02.2019;103.10000000000001
27.02.2019;102.4
28.02.2019;102.60000000000001
01.03.2019;103.2
04.03.2019;103.5
05.03.2019;103.7
06.03.2019;103.2
07.03.2019;103
08.03.2019;102.30000000000001
11.03.2019;102.9
12.03.2019;103.2
13.03.2019;103.4
14.03.2019;104.30000000000001
15.03.2019;105.2
18.03.2019;104.80000000000001
19.03.2019;105.30000000000001
20.03.2019;104.7
21.03.2019;104.9
22.03.2019;103.4
25.03.2019;103.5
26.03.2019;104.5
27.03.2019;104.10000000000001
28.03.2019;104.4
29.03.2019;105.30000000000001
01.04.2019;106.2
02.04.2019;106.7
03.04.2019;107.60000000000001
04.04.2019;107.60000000000001
05.04.2019;107.80000000000001
08.04.2019;107.5
09.04.2019;107
10.04.2019;107.2
11.04.2019;107.60000000000001
12.04.2019;107.7
15.04.2019;107.9
16.04.2019;108.4
17.04.2019;108.30000000000001
18.04.2019;108.9
23.04.2019;109.4
24.04.2019;109.4
25.04.2019;109.60000000000001
26.04.2019;109.9
29.04.2019;110.10000000000001
30.04.2019;110.60000000000001
02.05.2019;109.4
03.05.2019;110
06.05.2019;109.30000000000001
07.05.2019;108.4
08.05.2019;109.4
10.05.2019;108.2
13.05.2019;106.9
14.05.2019;107.9
15.05.2019;108.5
16.05.2019;110
17.05.2019;110
20.05.2019;108.80000000000001
21.05.2019;109.60000000000001
22.05.2019;110.2
23.05.2019;108.9
24.05.2019;109.2
27.05.2019;109.30000000000001
28.05.2019;109.2
29.05.2019;107.80000000000001
31.05.2019;107.5
03.06.2019;108
04.06.2019;107.7
05.06.2019;108.60000000000001
06.06.2019;108.7
07.06.2019;110.10000000000001
11.06.2019;111.10000000000001
12.06.2019;110.9
13.06.2019;111.2
14.06.2019;110.80000000000001
