Date;Value
15.01.2008;100
16.01.2008;100
17.01.2008;100
18.01.2008;100.02
21.01.2008;100.02
22.01.2008;100.02
23.01.2008;101.28
24.01.2008;100.42
25.01.2008;102.34
28.01.2008;102.84
29.01.2008;103.56
30.01.2008;104.56
31.01.2008;103.86
01.02.2008;104.94
04.02.2008;107.5
05.02.2008;107.26
06.02.2008;105.8
07.02.2008;106.24
08.02.2008;105.54
11.02.2008;106.2
12.02.2008;106.32
13.02.2008;107.24
14.02.2008;107.5
15.02.2008;107.48
18.02.2008;107.38
19.02.2008;107.4
20.02.2008;107.54
21.02.2008;107.84
22.02.2008;107.9
25.02.2008;108.58
26.02.2008;109.86
27.02.2008;109.5
28.02.2008;109.82
29.02.2008;108.76
03.03.2008;106.36
04.03.2008;106.06
05.03.2008;106.54
06.03.2008;107.46
07.03.2008;105.92
10.03.2008;106.56
11.03.2008;105.82
12.03.2008;106.78
13.03.2008;106.18
14.03.2008;106.2
17.03.2008;102.9
18.03.2008;102.9
19.03.2008;103.92
20.03.2008;103.32
25.03.2008;104.08
26.03.2008;104.9
27.03.2008;104.78
28.03.2008;105.28
31.03.2008;105.26
01.04.2008;106.12
02.04.2008;107.2
03.04.2008;108.3
04.04.2008;108
07.04.2008;109.06
08.04.2008;109.06
09.04.2008;108.62
10.04.2008;108.16
11.04.2008;107.78
14.04.2008;107.36
15.04.2008;107.56
16.04.2008;108.72
17.04.2008;109.72
18.04.2008;109.64
21.04.2008;110.32
22.04.2008;110.36
23.04.2008;110.42
24.04.2008;109.96
25.04.2008;111.3
28.04.2008;112.58
29.04.2008;112.72
30.04.2008;111.76
02.05.2008;111.62
05.05.2008;112.14
06.05.2008;112
07.05.2008;110.68
08.05.2008;110.76
09.05.2008;110.7
12.05.2008;110.7
13.05.2008;111.16
14.05.2008;111.36
15.05.2008;111.92
16.05.2008;112.46
19.05.2008;112.76
20.05.2008;113.08
21.05.2008;111.9
22.05.2008;111.9
23.05.2008;112.16
26.05.2008;112.36
27.05.2008;111.52
28.05.2008;111.7
29.05.2008;111.72
30.05.2008;111.12
02.06.2008;111.3
03.06.2008;111.28
04.06.2008;111.54
05.06.2008;111.02
06.06.2008;111.72
09.06.2008;110.76
10.06.2008;110.8
11.06.2008;110.48
12.06.2008;109.96
13.06.2008;109.82
16.06.2008;110.2
17.06.2008;110.06
18.06.2008;112.28
19.06.2008;111.48
20.06.2008;111.74
23.06.2008;111.26
24.06.2008;111.54
25.06.2008;111.46
26.06.2008;111.14
27.06.2008;110.36
30.06.2008;108.84
01.07.2008;108
02.07.2008;107.5
03.07.2008;107.7
04.07.2008;108.02
07.07.2008;107.44
08.07.2008;108.06
09.07.2008;107.24
10.07.2008;106.62
11.07.2008;106.42
14.07.2008;105.84
15.07.2008;104.9
16.07.2008;103.62
17.07.2008;105.02
18.07.2008;105.32
21.07.2008;106.34
22.07.2008;106.54
23.07.2008;106.54
24.07.2008;107
25.07.2008;105.8
28.07.2008;106.42
29.07.2008;106.18
30.07.2008;105.84
31.07.2008;106.4
01.08.2008;105.7
04.08.2008;105.5
05.08.2008;104.88
06.08.2008;105.84
07.08.2008;105.7
08.08.2008;104.76
11.08.2008;104.28
12.08.2008;103.66
13.08.2008;103.28
14.08.2008;103.8
15.08.2008;104.3
18.08.2008;103.56
19.08.2008;103.44
20.08.2008;102.86
21.08.2008;101.6
22.08.2008;102.16
25.08.2008;102.76
26.08.2008;102.68
27.08.2008;102.1
28.08.2008;102.56
29.08.2008;102.66
01.09.2008;103.02
02.09.2008;103.1
03.09.2008;102.9
04.09.2008;102.68
05.09.2008;102.08
08.09.2008;101.78
09.09.2008;101.42
10.09.2008;101.66
11.09.2008;101.66
12.09.2008;101
15.09.2008;99.78
16.09.2008;98.5
17.09.2008;98.64
18.09.2008;97.18
19.09.2008;98.94
22.09.2008;99.98
23.09.2008;99.56
24.09.2008;98.46
25.09.2008;97.9
26.09.2008;97.34
29.09.2008;95.12
30.09.2008;90.014
01.10.2008;91.6044
02.10.2008;89.853
03.10.2008;89.853
06.10.2008;84.6184
