Date;Value
06.01.2012;100
09.01.2012;100
10.01.2012;101.4
11.01.2012;101.4
12.01.2012;101.60000000000001
13.01.2012;102.4
17.01.2012;102.60000000000001
18.01.2012;102.80000000000001
19.01.2012;102.9
20.01.2012;103.7
23.01.2012;103.30000000000001
24.01.2012;102.9
25.01.2012;103
26.01.2012;103.7
27.01.2012;103
30.01.2012;102.60000000000001
31.01.2012;103.60000000000001
01.02.2012;104.30000000000001
02.02.2012;104.7
03.02.2012;105.80000000000001
06.02.2012;106.30000000000001
07.02.2012;105.60000000000001
08.02.2012;106
09.02.2012;105.9
10.02.2012;105.4
13.02.2012;106.30000000000001
14.02.2012;106.5
15.02.2012;107.30000000000001
16.02.2012;106.80000000000001
17.02.2012;107.4
21.02.2012;106.9
22.02.2012;106.5
23.02.2012;106.10000000000001
24.02.2012;106.30000000000001
27.02.2012;105.5
28.02.2012;106.4
29.02.2012;107
01.03.2012;107.2
02.03.2012;107.80000000000001
05.03.2012;106.9
06.03.2012;105.80000000000001
07.03.2012;105.9
08.03.2012;106.7
09.03.2012;107.7
12.03.2012;107.60000000000001
13.03.2012;109.60000000000001
14.03.2012;110.10000000000001
15.03.2012;110
16.03.2012;110.10000000000001
19.03.2012;109.4
20.03.2012;108.80000000000001
21.03.2012;108.80000000000001
22.03.2012;107.80000000000001
23.03.2012;107.4
26.03.2012;108.10000000000001
27.03.2012;108.7
28.03.2012;107.80000000000001
29.03.2012;107.30000000000001
30.03.2012;107.30000000000001
02.04.2012;107.5
03.04.2012;108
04.04.2012;107.2
05.04.2012;107.10000000000001
10.04.2012;105.2
11.04.2012;105.2
12.04.2012;105.30000000000001
13.04.2012;105.9
16.04.2012;105.2
17.04.2012;106
18.04.2012;106.10000000000001
19.04.2012;105.9
20.04.2012;105.4
23.04.2012;104.30000000000001
24.04.2012;104.4
25.04.2012;105.7
26.04.2012;105.60000000000001
27.04.2012;106.30000000000001
30.04.2012;106
01.05.2012;106
02.05.2012;106.7
03.05.2012;106.30000000000001
04.05.2012;105.30000000000001
08.05.2012;104.4
09.05.2012;103.60000000000001
10.05.2012;104.2
11.05.2012;103.7
14.05.2012;103
15.05.2012;103
16.05.2012;101.7
17.05.2012;100.7
18.05.2012;99.4
21.05.2012;99.80000000000001
22.05.2012;101.2
23.05.2012;101
24.05.2012;102
25.05.2012;101.9
29.05.2012;103
30.05.2012;102.30000000000001
31.05.2012;102.4
01.06.2012;100
06.06.2012;100.9
07.06.2012;101.80000000000001
08.06.2012;101.7
11.06.2012;102.10000000000001
12.06.2012;101.9
13.06.2012;100.9
14.06.2012;101
15.06.2012;102.7
18.06.2012;103.10000000000001
19.06.2012;103.4
20.06.2012;103.9
21.06.2012;103.4
22.06.2012;103
25.06.2012;102.10000000000001
26.06.2012;102.10000000000001
27.06.2012;102.80000000000001
28.06.2012;103
29.06.2012;104.5
02.07.2012;106.10000000000001
03.07.2012;106.5
05.07.2012;108.4
06.07.2012;108
09.07.2012;107.10000000000001
10.07.2012;107.5
11.07.2012;106.9
12.07.2012;106
13.07.2012;107.4
16.07.2012;107.30000000000001
17.07.2012;107.30000000000001
18.07.2012;107.60000000000001
19.07.2012;108.7
20.07.2012;108.10000000000001
23.07.2012;106.30000000000001
24.07.2012;106.2
25.07.2012;105.5
26.07.2012;106.30000000000001
27.07.2012;107.60000000000001
30.07.2012;108.80000000000001
31.07.2012;108.5
01.08.2012;108.30000000000001
02.08.2012;108.4
03.08.2012;108
06.08.2012;109.10000000000001
07.08.2012;109.5
08.08.2012;110.10000000000001
09.08.2012;111
10.08.2012;111.30000000000001
13.08.2012;110.9
14.08.2012;111
15.08.2012;111.2
16.08.2012;111.5
17.08.2012;112.30000000000001
20.08.2012;112.2
21.08.2012;111.5
22.08.2012;110.80000000000001
23.08.2012;110.2
24.08.2012;109.80000000000001
28.08.2012;109.5
29.08.2012;109.7
30.08.2012;108.7
31.08.2012;109
04.09.2012;109
05.09.2012;108.4
06.09.2012;109.60000000000001
07.09.2012;110.30000000000001
10.09.2012;110.30000000000001
11.09.2012;109.9
12.09.2012;110.60000000000001
13.09.2012;110.5
14.09.2012;111.4
17.09.2012;111.30000000000001
18.09.2012;111
19.09.2012;111.2
20.09.2012;111.4
21.09.2012;111.5
24.09.2012;111.4
25.09.2012;111.10000000000001
26.09.2012;110.4
27.09.2012;110.9
28.09.2012;110.7
01.10.2012;110.80000000000001
02.10.2012;111
03.10.2012;110.7
04.10.2012;110.80000000000001
05.10.2012;110.7
08.10.2012;110.5
09.10.2012;110.80000000000001
10.10.2012;109.9
11.10.2012;109.9
12.10.2012;109.80000000000001
15.10.2012;110
16.10.2012;110.2
17.10.2012;110.60000000000001
18.10.2012;110.9
19.10.2012;110.60000000000001
22.10.2012;110.30000000000001
23.10.2012;109.30000000000001
24.10.2012;109.60000000000001
25.10.2012;110.10000000000001
26.10.2012;109.2
31.10.2012;110.10000000000001
01.11.2012;110.4
02.11.2012;111.2
05.11.2012;111.30000000000001
06.11.2012;112
07.11.2012;111.80000000000001
08.11.2012;110.30000000000001
09.11.2012;109.7
12.11.2012;110
13.11.2012;109.2
14.11.2012;108.60000000000001
15.11.2012;107.7
16.11.2012;107.9
19.11.2012;108.7
20.11.2012;109.10000000000001
21.11.2012;109.4
23.11.2012;109.60000000000001
26.11.2012;109.60000000000001
27.11.2012;109.80000000000001
28.11.2012;109.7
29.11.2012;110.80000000000001
30.11.2012;110.60000000000001
03.12.2012;110.5
04.12.2012;109.9
05.12.2012;110.5
06.12.2012;111.4
07.12.2012;112.10000000000001
10.12.2012;112
11.12.2012;112.5
12.12.2012;112.30000000000001
13.12.2012;111.9
14.12.2012;111.5
17.12.2012;111.7
18.12.2012;112.5
19.12.2012;112.7
20.12.2012;113.2
21.12.2012;112.4
24.12.2012;112.4
27.12.2012;112.10000000000001
28.12.2012;112
31.12.2012;112.9
02.01.2013;114.5
03.01.2013;116.10000000000001
04.01.2013;116.80000000000001
07.01.2013;116.7
08.01.2013;116.4
09.01.2013;116.80000000000001
10.01.2013;116.5
11.01.2013;115.60000000000001
14.01.2013;115.30000000000001
15.01.2013;115.80000000000001
16.01.2013;115.5
17.01.2013;115.5
18.01.2013;116.2
22.01.2013;116.60000000000001
23.01.2013;116.80000000000001
24.01.2013;116.2
25.01.2013;116.5
28.01.2013;115.9
29.01.2013;115.9
30.01.2013;115.80000000000001
31.01.2013;115.4
01.02.2013;114.7
04.02.2013;116.10000000000001
05.02.2013;115.2
06.02.2013;116.2
07.02.2013;117.2
08.02.2013;117.7
11.02.2013;117.2
12.02.2013;117.2
13.02.2013;117.60000000000001
14.02.2013;117.9
15.02.2013;118.2
19.02.2013;118.2
20.02.2013;118.80000000000001
21.02.2013;118
22.02.2013;118.7
25.02.2013;119.7
26.02.2013;118.30000000000001
27.02.2013;118.60000000000001
28.02.2013;120
01.03.2013;119.80000000000001
04.03.2013;120.10000000000001
05.03.2013;120.7
06.03.2013;121.7
07.03.2013;120.9
08.03.2013;122
11.03.2013;122.5
12.03.2013;122.4
13.03.2013;122.60000000000001
14.03.2013;123.7
15.03.2013;122.7
18.03.2013;123
19.03.2013;123.4
20.03.2013;123.10000000000001
21.03.2013;123.2
22.03.2013;122.60000000000001
25.03.2013;123.80000000000001
26.03.2013;123.60000000000001
27.03.2013;124.2
28.03.2013;124.60000000000001
02.04.2013;123.4
03.04.2013;122.9
04.04.2013;122.5
05.04.2013;120.7
08.04.2013;120.7
09.04.2013;120.80000000000001
10.04.2013;122.4
11.04.2013;122.80000000000001
12.04.2013;122.30000000000001
15.04.2013;120.60000000000001
16.04.2013;119.9
17.04.2013;119.9
18.04.2013;119.30000000000001
19.04.2013;119.30000000000001
22.04.2013;120.60000000000001
23.04.2013;121.60000000000001
24.04.2013;122.5
25.04.2013;123.80000000000001
26.04.2013;123.4
29.04.2013;123.10000000000001
30.04.2013;123.5
01.05.2013;122.9
02.05.2013;123.80000000000001
03.05.2013;124.4
07.05.2013;126.10000000000001
08.05.2013;126.5
09.05.2013;126.9
10.05.2013;127.7
13.05.2013;127.2
14.05.2013;128
15.05.2013;129.6
16.05.2013;129.5
17.05.2013;129.9
20.05.2013;130.5
21.05.2013;130.20000000000002
22.05.2013;130
23.05.2013;127.60000000000001
24.05.2013;127.2
28.05.2013;128.70000000000002
29.05.2013;127.60000000000001
30.05.2013;127.2
31.05.2013;126
04.06.2013;125.30000000000001
05.06.2013;123.80000000000001
06.06.2013;122.9
07.06.2013;122.80000000000001
10.06.2013;123.5
11.06.2013;121.60000000000001
12.06.2013;121.2
13.06.2013;120.60000000000001
14.06.2013;121.5
17.06.2013;122.10000000000001
18.06.2013;122.30000000000001
19.06.2013;121.9
20.06.2013;119.9
21.06.2013;120
24.06.2013;118
25.06.2013;118.5
26.06.2013;120.10000000000001
27.06.2013;121.10000000000001
28.06.2013;122
01.07.2013;122.5
02.07.2013;123.10000000000001
03.07.2013;122.10000000000001
05.07.2013;124.9
08.07.2013;125.2
09.07.2013;126.60000000000001
10.07.2013;125.9
11.07.2013;126.30000000000001
12.07.2013;126.60000000000001
15.07.2013;127
16.07.2013;126.30000000000001
17.07.2013;126.60000000000001
18.07.2013;127.5
19.07.2013;127.4
22.07.2013;127.80000000000001
23.07.2013;128
24.07.2013;127.9
25.07.2013;127
26.07.2013;126.60000000000001
29.07.2013;126
30.07.2013;126
31.07.2013;125.7
01.08.2013;127.4
02.08.2013;128.3
05.08.2013;128.4
06.08.2013;127.30000000000001
07.08.2013;126.30000000000001
08.08.2013;126.7
09.08.2013;126.9
12.08.2013;127.30000000000001
13.08.2013;128.5
14.08.2013;128.5
15.08.2013;126.80000000000001
16.08.2013;126.4
19.08.2013;125.80000000000001
20.08.2013;124.5
21.08.2013;124.5
22.08.2013;125
23.08.2013;125.30000000000001
27.08.2013;123.4
28.08.2013;123.4
29.08.2013;124.5
30.08.2013;124.30000000000001
03.09.2013;125.9
04.09.2013;126.10000000000001
05.09.2013;127.30000000000001
06.09.2013;127.4
09.09.2013;127.9
10.09.2013;129.6
11.09.2013;129.70000000000002
12.09.2013;129.4
13.09.2013;129.6
16.09.2013;130.20000000000002
17.09.2013;130.1
18.09.2013;130.6
19.09.2013;130.6
20.09.2013;130
23.09.2013;129.70000000000002
24.09.2013;129.70000000000002
25.09.2013;129.3
26.09.2013;129.70000000000002
27.09.2013;129.3
30.09.2013;128.4
01.10.2013;129.1
02.10.2013;128.6
03.10.2013;127.80000000000001
04.10.2013;128.70000000000002
07.10.2013;127.7
08.10.2013;127.10000000000001
09.10.2013;127.4
10.10.2013;129.1
11.10.2013;129.8
14.10.2013;130
15.10.2013;130.9
16.10.2013;130.70000000000002
17.10.2013;131.20000000000002
18.10.2013;131.70000000000002
21.10.2013;132.1
22.10.2013;132
23.10.2013;131.20000000000002
24.10.2013;131.5
25.10.2013;131.1
28.10.2013;131.1
29.10.2013;132
30.10.2013;132.1
31.10.2013;133
01.11.2013;133.20000000000002
04.11.2013;133.5
05.11.2013;133.4
06.11.2013;133.4
07.11.2013;133.3
08.11.2013;133.70000000000002
11.11.2013;133.70000000000002
12.11.2013;133.20000000000002
13.11.2013;133.20000000000002
14.11.2013;134
