Date;Value
21.11.2017;100
22.11.2017;100
23.11.2017;99.30000000000001
24.11.2017;98.9
27.11.2017;98.60000000000001
28.11.2017;98.7
29.11.2017;97.60000000000001
30.11.2017;95.10000000000001
01.12.2017;95.10000000000001
04.12.2017;94.9
05.12.2017;93.60000000000001
06.12.2017;93.2
07.12.2017;94.30000000000001
08.12.2017;96.2
11.12.2017;95.9
12.12.2017;96.30000000000001
13.12.2017;96.4
14.12.2017;96.2
15.12.2017;96.30000000000001
18.12.2017;97.60000000000001
19.12.2017;97.60000000000001
20.12.2017;96.80000000000001
21.12.2017;96.60000000000001
22.12.2017;96.7
27.12.2017;96
28.12.2017;96
29.12.2017;95.4
02.01.2018;96.10000000000001
03.01.2018;97.9
04.01.2018;98.4
05.01.2018;99.10000000000001
08.01.2018;100.30000000000001
09.01.2018;100.9
10.01.2018;99.80000000000001
11.01.2018;99.80000000000001
12.01.2018;99.60000000000001
15.01.2018;99.2
16.01.2018;100.5
17.01.2018;99.30000000000001
18.01.2018;100.2
19.01.2018;100.7
22.01.2018;101
23.01.2018;102.2
24.01.2018;101.4
25.01.2018;100.10000000000001
26.01.2018;101.10000000000001
29.01.2018;102.7
30.01.2018;100
31.01.2018;100.9
01.02.2018;100.9
02.02.2018;99.10000000000001
05.02.2018;97.4
06.02.2018;95.30000000000001
07.02.2018;96.60000000000001
08.02.2018;96.10000000000001
09.02.2018;93.9
12.02.2018;94.60000000000001
13.02.2018;94.80000000000001
14.02.2018;96.30000000000001
15.02.2018;98.10000000000001
16.02.2018;99.4
19.02.2018;99.7
20.02.2018;100.5
21.02.2018;101.7
22.02.2018;100.9
23.02.2018;101.7
26.02.2018;103.4
27.02.2018;103.7
28.02.2018;104.2
01.03.2018;102.80000000000001
02.03.2018;100.30000000000001
05.03.2018;101.4
06.03.2018;103.5
07.03.2018;103.4
08.03.2018;105.4
09.03.2018;106.60000000000001
12.03.2018;107.80000000000001
13.03.2018;107.30000000000001
14.03.2018;106.7
15.03.2018;107.4
16.03.2018;107.7
19.03.2018;105.7
20.03.2018;106.5
21.03.2018;106.9
22.03.2018;104.7
23.03.2018;103.10000000000001
26.03.2018;102.60000000000001
27.03.2018;104.30000000000001
28.03.2018;100.2
29.03.2018;99.2
03.04.2018;99.60000000000001
04.04.2018;97.80000000000001
05.04.2018;101.4
06.04.2018;100.7
09.04.2018;100
10.04.2018;100.10000000000001
11.04.2018;100.9
12.04.2018;102.10000000000001
13.04.2018;101.9
16.04.2018;100.9
17.04.2018;102.60000000000001
18.04.2018;103.2
19.04.2018;103.4
20.04.2018;102.80000000000001
23.04.2018;102.5
24.04.2018;102.4
25.04.2018;99.10000000000001
26.04.2018;101.10000000000001
27.04.2018;102.7
30.04.2018;103.2
02.05.2018;105
03.05.2018;104.4
04.05.2018;104.7
07.05.2018;107.4
08.05.2018;108.10000000000001
09.05.2018;109
11.05.2018;110.2
14.05.2018;110.60000000000001
15.05.2018;109.4
16.05.2018;110.7
17.05.2018;110.9
18.05.2018;110.9
22.05.2018;111.10000000000001
