Date;Value
13.02.2006;100
14.02.2006;100
15.02.2006;100.4
16.02.2006;100.7
17.02.2006;100.4
20.02.2006;100.30000000000001
21.02.2006;100.60000000000001
22.02.2006;100.9
23.02.2006;101.10000000000001
24.02.2006;101.5
27.02.2006;101.9
28.02.2006;101.30000000000001
01.03.2006;101.7
02.03.2006;101
03.03.2006;100.80000000000001
06.03.2006;100.7
07.03.2006;100.60000000000001
08.03.2006;100
09.03.2006;100.2
10.03.2006;100.4
13.03.2006;100.5
14.03.2006;100.60000000000001
15.03.2006;100.7
16.03.2006;100.5
17.03.2006;100.60000000000001
20.03.2006;100.9
21.03.2006;100.80000000000001
22.03.2006;101
23.03.2006;101.4
24.03.2006;101.4
27.03.2006;101.60000000000001
28.03.2006;101.30000000000001
29.03.2006;101.4
30.03.2006;101.4
31.03.2006;101.60000000000001
03.04.2006;101.5
04.04.2006;101.4
05.04.2006;101.5
06.04.2006;101.9
07.04.2006;102.10000000000001
10.04.2006;102
11.04.2006;101.60000000000001
12.04.2006;101.4
13.04.2006;101.4
14.04.2006;101.4
17.04.2006;100.9
18.04.2006;101.30000000000001
19.04.2006;101.60000000000001
20.04.2006;102.10000000000001
21.04.2006;102.2
24.04.2006;101.9
25.04.2006;101.7
26.04.2006;101.60000000000001
27.04.2006;101.30000000000001
28.04.2006;100.9
01.05.2006;101
02.05.2006;101.4
03.05.2006;101.4
04.05.2006;101.4
05.05.2006;101.9
08.05.2006;102.4
09.05.2006;102.2
10.05.2006;102
11.05.2006;101.30000000000001
12.05.2006;100
15.05.2006;99.2
16.05.2006;98.80000000000001
17.05.2006;98.10000000000001
18.05.2006;97
19.05.2006;97.2
22.05.2006;95.10000000000001
23.05.2006;95.80000000000001
24.05.2006;95.5
25.05.2006;95.9
26.05.2006;97.2
29.05.2006;97.30000000000001
30.05.2006;95.80000000000001
31.05.2006;96.2
01.06.2006;96.5
02.06.2006;96.60000000000001
05.06.2006;96
06.06.2006;95.30000000000001
07.06.2006;95
08.06.2006;94.10000000000001
09.06.2006;94.5
12.06.2006;94
13.06.2006;92.7
14.06.2006;92.5
15.06.2006;94.10000000000001
16.06.2006;94
19.06.2006;94.10000000000001
20.06.2006;93.9
21.06.2006;94
22.06.2006;94.4
23.06.2006;94.7
26.06.2006;94.5
27.06.2006;94.30000000000001
28.06.2006;94.4
29.06.2006;95.30000000000001
30.06.2006;95.80000000000001
03.07.2006;96.30000000000001
04.07.2006;96.30000000000001
05.07.2006;95.9
06.07.2006;96.10000000000001
07.07.2006;95.9
10.07.2006;96.2
11.07.2006;95.9
12.07.2006;95.9
13.07.2006;95
14.07.2006;94.60000000000001
17.07.2006;94.4
18.07.2006;94.2
19.07.2006;95.10000000000001
20.07.2006;95
21.07.2006;94.4
24.07.2006;95.4
25.07.2006;95.80000000000001
26.07.2006;95.4
27.07.2006;95.9
28.07.2006;96.2
31.07.2006;96.2
01.08.2006;95.7
02.08.2006;96.4
03.08.2006;96.2
04.08.2006;96.2
07.08.2006;95.9
08.08.2006;95.9
09.08.2006;96
10.08.2006;96.10000000000001
11.08.2006;96.10000000000001
14.08.2006;96.30000000000001
15.08.2006;96.80000000000001
16.08.2006;97.10000000000001
17.08.2006;97.30000000000001
18.08.2006;97.30000000000001
21.08.2006;96.9
22.08.2006;97.30000000000001
23.08.2006;97.10000000000001
24.08.2006;97.10000000000001
