Date;Value
19.06.2017;100
20.06.2017;100.7
21.06.2017;100.30000000000001
22.06.2017;100.66000000000001
23.06.2017;100.48
26.06.2017;100.96000000000001
27.06.2017;99.93
28.06.2017;98.60000000000001
29.06.2017;98.46000000000001
30.06.2017;97.39
03.07.2017;97.63
04.07.2017;97.02000000000001
05.07.2017;97.52000000000001
06.07.2017;97.2
07.07.2017;96.65
10.07.2017;97.06
11.07.2017;97.87
12.07.2017;98.38
13.07.2017;99.16000000000001
14.07.2017;99.28
18.07.2017;98.59
19.07.2017;99.81
20.07.2017;99.75
21.07.2017;98.87
24.07.2017;99.29
25.07.2017;98.80000000000001
26.07.2017;98.97000000000001
27.07.2017;99.61000000000001
28.07.2017;98.23
31.07.2017;98.73
01.08.2017;98.86000000000001
02.08.2017;99.14
03.08.2017;98.60000000000001
04.08.2017;98.77000000000001
07.08.2017;99.16000000000001
08.08.2017;99.46000000000001
09.08.2017;99.38
10.08.2017;98.79
11.08.2017;97.42000000000002
14.08.2017;97.66000000000001
15.08.2017;98.34
16.08.2017;99
17.08.2017;99.56
18.08.2017;99.14
21.08.2017;98.72000000000001
22.08.2017;99.35000000000001
23.08.2017;99.51
24.08.2017;99.64
25.08.2017;99.62
28.08.2017;98.26
29.08.2017;97.34
30.08.2017;98.35000000000001
31.08.2017;99.17000000000002
01.09.2017;99.4
04.09.2017;98.67000000000002
05.09.2017;98.69
06.09.2017;98.25
07.09.2017;97.83
08.09.2017;98.15
11.09.2017;99.24000000000001
12.09.2017;99.69
13.09.2017;99.83
14.09.2017;100.16000000000001
15.09.2017;99.54
19.09.2017;100.54
20.09.2017;100.66000000000001
21.09.2017;100.32000000000001
22.09.2017;99.68
25.09.2017;100.15
26.09.2017;100
27.09.2017;100.43
28.09.2017;99.93
29.09.2017;100.25
02.10.2017;100.89
03.10.2017;101.44
04.10.2017;101.67000000000002
05.10.2017;101.84
06.10.2017;102.06
10.10.2017;102.46
11.10.2017;102.10000000000001
12.10.2017;102.92000000000002
13.10.2017;103.31
16.10.2017;104.35000000000001
17.10.2017;104.69000000000001
18.10.2017;104.36
19.10.2017;103.54000000000002
20.10.2017;103.97000000000001
23.10.2017;104.5
24.10.2017;104.19000000000001
25.10.2017;103.49000000000001
26.10.2017;104.17000000000002
27.10.2017;105.94000000000001
30.10.2017;106.17000000000002
