Date;Value
04.03.2002;100
05.03.2002;99.98
06.03.2002;99.98
07.03.2002;99.98
08.03.2002;99.98
11.03.2002;99.9
12.03.2002;100.18
13.03.2002;100.06
14.03.2002;99.7
15.03.2002;98.9
18.03.2002;98.64
19.03.2002;99.78
20.03.2002;99.74000000000001
21.03.2002;99.76
22.03.2002;98.7
25.03.2002;99.04
26.03.2002;99.02000000000001
27.03.2002;97.92000000000002
28.03.2002;98.64
02.04.2002;99.06
03.04.2002;98.96000000000001
04.04.2002;98.36000000000001
05.04.2002;97.74000000000001
08.04.2002;97.78
09.04.2002;97.7
10.04.2002;97.64
11.04.2002;97
12.04.2002;97.84
15.04.2002;96.86000000000001
16.04.2002;97.34
17.04.2002;97.4
18.04.2002;98.4
19.04.2002;98.2
22.04.2002;97.98
23.04.2002;98.14
24.04.2002;97.4
25.04.2002;96.98
26.04.2002;95.54
29.04.2002;95.46000000000001
30.04.2002;94.60000000000001
02.05.2002;94.26
03.05.2002;94.68
06.05.2002;94.7
07.05.2002;94.52000000000001
08.05.2002;93.52000000000001
10.05.2002;94.2
13.05.2002;94.62
14.05.2002;93.86000000000001
15.05.2002;95.28
16.05.2002;96.64
17.05.2002;96.4
21.05.2002;96.18
22.05.2002;95.24000000000001
23.05.2002;94.5
24.05.2002;94.36000000000001
27.05.2002;95.28
28.05.2002;94.86000000000001
29.05.2002;94.60000000000001
31.05.2002;93.16000000000001
03.06.2002;92.16000000000001
04.06.2002;92.42000000000002
05.06.2002;90.10000000000001
06.06.2002;90.16000000000001
10.06.2002;88.52000000000001
11.06.2002;88.98
12.06.2002;88.94
13.06.2002;87.74000000000001
14.06.2002;88.32000000000001
17.06.2002;86.74000000000001
18.06.2002;86.9
19.06.2002;88.04
20.06.2002;86.92000000000002
21.06.2002;85.88
24.06.2002;84.26
25.06.2002;83.64
26.06.2002;83.72000000000001
27.06.2002;81.64
28.06.2002;82.34
01.07.2002;83.26
02.07.2002;83.80000000000001
03.07.2002;82.98
04.07.2002;81.82000000000001
05.07.2002;82.10000000000001
08.07.2002;82.88
09.07.2002;83.92000000000002
10.07.2002;83.16000000000001
11.07.2002;81.68
12.07.2002;79.96000000000001
15.07.2002;80.12
16.07.2002;79.02000000000001
17.07.2002;76.96000000000001
18.07.2002;77
19.07.2002;78.10000000000001
22.07.2002;76.14
23.07.2002;74.28
24.07.2002;73.48
25.07.2002;71.28
26.07.2002;73.36
29.07.2002;72.36
30.07.2002;74.86
31.07.2002;77.62
01.08.2002;78.22000000000001
02.08.2002;77.76
05.08.2002;75.76
06.08.2002;74.3
07.08.2002;73.42
08.08.2002;75.58
09.08.2002;76.28
12.08.2002;77.58
13.08.2002;77.52000000000001
14.08.2002;76.9
15.08.2002;76.10000000000001
16.08.2002;77.7
19.08.2002;78.68
20.08.2002;78.7
21.08.2002;79.92000000000002
22.08.2002;79.84
23.08.2002;80.56
26.08.2002;81.44
27.08.2002;80.34
28.08.2002;80.44
29.08.2002;79.5
30.08.2002;78.64
02.09.2002;77.66000000000001
03.09.2002;77.44
04.09.2002;76.60000000000001
05.09.2002;74.58
06.09.2002;75.06
09.09.2002;75.08
10.09.2002;75.86
11.09.2002;77.04
12.09.2002;77.72000000000001
13.09.2002;77.54
16.09.2002;75.7
17.09.2002;76.4
18.09.2002;76.94
19.09.2002;74.8
20.09.2002;74.12
23.09.2002;72.74
24.09.2002;72.3
25.09.2002;71.26
26.09.2002;71.26
27.09.2002;72.44
30.09.2002;73.58
01.10.2002;71.56
02.10.2002;70.88
04.10.2002;72.60000000000001
07.10.2002;71.10000000000001
08.10.2002;70.2
09.10.2002;69.72000000000001
10.10.2002;69.54
11.10.2002;68.34
14.10.2002;70.34
15.10.2002;71.5
16.10.2002;72.66000000000001
17.10.2002;74.7
18.10.2002;74.82000000000001
21.10.2002;75.34
22.10.2002;75.66000000000001
23.10.2002;76.02000000000001
24.10.2002;74.86
25.10.2002;75.16000000000001
28.10.2002;74.82000000000001
29.10.2002;75.84
30.10.2002;74.48
31.10.2002;73.82000000000001
04.11.2002;74.4
05.11.2002;74.96000000000001
06.11.2002;74.92
07.11.2002;75.78
08.11.2002;75.52000000000001
11.11.2002;73.8
12.11.2002;72.88
13.11.2002;72.7
14.11.2002;72.7
15.11.2002;73.22000000000001
18.11.2002;74.54
19.11.2002;74.84
20.11.2002;74.12
21.11.2002;73.96000000000001
22.11.2002;75.67999999999999
25.11.2002;76.38
26.11.2002;76.58
27.11.2002;76.44
28.11.2002;75.67999999999999
29.11.2002;77.42000000000002
02.12.2002;77.24000000000001
03.12.2002;77.52000000000001
04.12.2002;76.64
05.12.2002;75.44
06.12.2002;75.58
09.12.2002;74.26
10.12.2002;74.12
11.12.2002;73
12.12.2002;73.67999999999999
13.12.2002;73.16000000000001
16.12.2002;72.2
17.12.2002;72.26
18.12.2002;72.92
19.12.2002;72.28
20.12.2002;71.58
23.12.2002;71.32000000000001
27.12.2002;71.60000000000001
30.12.2002;71.04
02.01.2003;70.08
03.01.2003;70.66000000000001
06.01.2003;72.66000000000001
07.01.2003;72.16000000000001
08.01.2003;72.94
09.01.2003;72.34
10.01.2003;70.96000000000001
13.01.2003;72.17999999999999
14.01.2003;72.2
15.01.2003;72.16000000000001
16.01.2003;72.14
17.01.2003;71.38
20.01.2003;70.56
21.01.2003;69.74
22.01.2003;69.42
23.01.2003;68.10000000000001
24.01.2003;67.8
27.01.2003;67.46000000000001
28.01.2003;65.32000000000001
29.01.2003;65.02000000000001
30.01.2003;64.92
31.01.2003;66.34
03.02.2003;65.48
04.02.2003;66.72000000000001
05.02.2003;66.14
06.02.2003;65.16000000000001
07.02.2003;65.38
10.02.2003;64.88
11.02.2003;64.22000000000001
12.02.2003;64.98
13.02.2003;64.58
14.02.2003;63.98
17.02.2003;63.96000000000001
18.02.2003;65.44
19.02.2003;65.52000000000001
20.02.2003;66.28
21.02.2003;65.56
24.02.2003;64.76
25.02.2003;65.36
26.02.2003;63.94
27.02.2003;63.94
28.02.2003;63.46000000000001
03.03.2003;64.06
04.03.2003;64.66000000000001
05.03.2003;63.760000000000005
06.03.2003;62.879999999999995
07.03.2003;62.98
10.03.2003;61.86000000000001
11.03.2003;61.64
12.03.2003;60.48
13.03.2003;59.86000000000001
14.03.2003;60.6
17.03.2003;63.120000000000005
18.03.2003;63.260000000000005
19.03.2003;66.10000000000001
20.03.2003;66.3
21.03.2003;66.67999999999999
24.03.2003;67.4
25.03.2003;67.3
26.03.2003;65.58
27.03.2003;66.86
28.03.2003;65.82000000000001
31.03.2003;65.52000000000001
01.04.2003;64.28
02.04.2003;63.7
03.04.2003;65
04.04.2003;66.36
07.04.2003;66.64
08.04.2003;68.38
09.04.2003;67.64
10.04.2003;67.16000000000001
11.04.2003;66.72000000000001
14.04.2003;66.92
15.04.2003;66.82000000000001
16.04.2003;68.02000000000001
17.04.2003;67.9
22.04.2003;67.04
23.04.2003;67.52000000000001
24.04.2003;68.8
25.04.2003;68.67999999999999
28.04.2003;67.7
29.04.2003;67.28
30.04.2003;68.52000000000001
02.05.2003;68.12
05.05.2003;67.60000000000001
06.05.2003;68.66000000000001
07.05.2003;68.42
08.05.2003;68.58
09.05.2003;67.96000000000001
12.05.2003;66.9
13.05.2003;67.3
14.05.2003;68.16000000000001
15.05.2003;68.32000000000001
16.05.2003;68.36
19.05.2003;69.08
20.05.2003;67.58
21.05.2003;66.62
22.05.2003;65.96000000000001
23.05.2003;66.58
26.05.2003;66.74
27.05.2003;66.60000000000001
28.05.2003;66.10000000000001
30.05.2003;67.88
02.06.2003;67.67999999999999
03.06.2003;69.02000000000001
04.06.2003;68.88
05.06.2003;69.4
06.06.2003;70.16000000000001
10.06.2003;70.28
11.06.2003;70.14
12.06.2003;70.82000000000001
13.06.2003;71.3
16.06.2003;71.10000000000001
17.06.2003;70.44
18.06.2003;71.86
20.06.2003;72.24
23.06.2003;71.7
24.06.2003;71.98
25.06.2003;71.26
26.06.2003;71.42
27.06.2003;71.12
30.06.2003;71.74
01.07.2003;71.36
02.07.2003;70.56
03.07.2003;71.10000000000001
04.07.2003;71.84
07.07.2003;71.64
08.07.2003;72.32000000000001
09.07.2003;73.56
10.07.2003;73.56
11.07.2003;73.16000000000001
14.07.2003;72.72000000000001
15.07.2003;73.5
16.07.2003;73.88
17.07.2003;74.24
18.07.2003;73.04
21.07.2003;72.5
22.07.2003;72.56
23.07.2003;71.54
24.07.2003;72.04
25.07.2003;72.02000000000001
