Date;Value
09.12.2005;100
12.12.2005;100
13.12.2005;100.10000000000001
14.12.2005;99.9
15.12.2005;99.9
16.12.2005;100.4
19.12.2005;100.30000000000001
20.12.2005;100.7
21.12.2005;101
22.12.2005;100.9
23.12.2005;101.10000000000001
26.12.2005;101.2
27.12.2005;101.2
28.12.2005;101.10000000000001
29.12.2005;101.80000000000001
30.12.2005;101.4
02.01.2006;102.10000000000001
03.01.2006;102.7
04.01.2006;103.7
05.01.2006;103.60000000000001
06.01.2006;104.30000000000001
09.01.2006;104.7
10.01.2006;104
11.01.2006;104.5
12.01.2006;105
13.01.2006;104.60000000000001
16.01.2006;105
17.01.2006;104.5
18.01.2006;103.5
19.01.2006;104.4
20.01.2006;104.4
23.01.2006;103.80000000000001
24.01.2006;103.9
25.01.2006;105.10000000000001
26.01.2006;105.60000000000001
27.01.2006;106.80000000000001
30.01.2006;106.80000000000001
31.01.2006;106.9
01.02.2006;108.10000000000001
02.02.2006;107.5
03.02.2006;107.4
06.02.2006;107.60000000000001
07.02.2006;107.30000000000001
08.02.2006;107
09.02.2006;108.10000000000001
10.02.2006;108
13.02.2006;108.10000000000001
14.02.2006;107.60000000000001
15.02.2006;107.80000000000001
16.02.2006;108.30000000000001
17.02.2006;108.80000000000001
20.02.2006;109
21.02.2006;109.4
22.02.2006;109.7
23.02.2006;109.9
24.02.2006;110.2
27.02.2006;110.7
28.02.2006;109.5
01.03.2006;110.2
02.03.2006;109.60000000000001
03.03.2006;109.80000000000001
06.03.2006;110.2
07.03.2006;109.30000000000001
08.03.2006;108.30000000000001
09.03.2006;109
10.03.2006;109.5
13.03.2006;110.5
14.03.2006;110.60000000000001
15.03.2006;111
16.03.2006;111.10000000000001
17.03.2006;111.4
20.03.2006;111.80000000000001
21.03.2006;111.7
22.03.2006;112.10000000000001
23.03.2006;112.30000000000001
24.03.2006;112.7
27.03.2006;112.30000000000001
28.03.2006;111.80000000000001
29.03.2006;112
30.03.2006;112.60000000000001
31.03.2006;112.30000000000001
03.04.2006;112.9
04.04.2006;112.4
05.04.2006;112.7
06.04.2006;113.4
07.04.2006;113.30000000000001
10.04.2006;113.80000000000001
11.04.2006;112.80000000000001
12.04.2006;112.4
13.04.2006;113.10000000000001
14.04.2006;113.10000000000001
17.04.2006;112.9
18.04.2006;113.2
19.04.2006;114.30000000000001
20.04.2006;114.7
21.04.2006;115.30000000000001
24.04.2006;115
25.04.2006;114.7
26.04.2006;114.9
27.04.2006;114.4
28.04.2006;114.10000000000001
01.05.2006;114.5
02.05.2006;115.2
03.05.2006;114.80000000000001
04.05.2006;115.4
05.05.2006;116.5
08.05.2006;116.7
09.05.2006;117
10.05.2006;116.7
11.05.2006;116.80000000000001
12.05.2006;114.7
15.05.2006;112.4
16.05.2006;112.4
17.05.2006;110.30000000000001
18.05.2006;109
19.05.2006;108.9
22.05.2006;105.10000000000001
23.05.2006;107.4
24.05.2006;106.10000000000001
25.05.2006;107.2
26.05.2006;109.10000000000001
29.05.2006;109.10000000000001
30.05.2006;107.5
31.05.2006;108.10000000000001
01.06.2006;108.5
02.06.2006;109.2
05.06.2006;108.7
06.06.2006;106.60000000000001
07.06.2006;106.9
08.06.2006;104
09.06.2006;105.60000000000001
12.06.2006;104.7
14.06.2006;101.30000000000001
15.06.2006;103.9
16.06.2006;103.60000000000001
19.06.2006;104.2
20.06.2006;104.4
21.06.2006;104.4
22.06.2006;104.80000000000001
23.06.2006;104.9
26.06.2006;104.5
27.06.2006;104.10000000000001
28.06.2006;104.10000000000001
29.06.2006;105.4
30.06.2006;107
03.07.2006;107.60000000000001
04.07.2006;107.80000000000001
05.07.2006;106.7
06.07.2006;107.4
07.07.2006;107.2
10.07.2006;107.4
11.07.2006;106.60000000000001
12.07.2006;107.10000000000001
13.07.2006;105.5
14.07.2006;104.4
17.07.2006;103.4
18.07.2006;102.60000000000001
19.07.2006;104.30000000000001
20.07.2006;104.80000000000001
21.07.2006;104.10000000000001
24.07.2006;105.60000000000001
25.07.2006;105.9
26.07.2006;106.30000000000001
27.07.2006;107.30000000000001
28.07.2006;107.60000000000001
31.07.2006;107.5
01.08.2006;106.7
02.08.2006;107.9
03.08.2006;107.30000000000001
04.08.2006;108.4
07.08.2006;107.5
08.08.2006;107.5
09.08.2006;108
10.08.2006;107.2
11.08.2006;107.5
14.08.2006;108
15.08.2006;108.7
16.08.2006;109
17.08.2006;109.2
18.08.2006;109
21.08.2006;108.80000000000001
22.08.2006;109.10000000000001
23.08.2006;108.80000000000001
24.08.2006;109.2
25.08.2006;109.2
28.08.2006;109.5
29.08.2006;109.80000000000001
30.08.2006;110.4
31.08.2006;110.30000000000001
01.09.2006;110.60000000000001
04.09.2006;111
05.09.2006;110.80000000000001
06.09.2006;109.9
07.09.2006;108.60000000000001
08.09.2006;109.10000000000001
11.09.2006;108
12.09.2006;109
13.09.2006;109.2
14.09.2006;109.4
15.09.2006;109.7
18.09.2006;109.9
19.09.2006;109.4
20.09.2006;110.30000000000001
21.09.2006;110.4
22.09.2006;109.2
25.09.2006;108.9
26.09.2006;110
