Date;Value
18.06.2007;100
19.06.2007;99.79
20.06.2007;100.23
21.06.2007;99.48
22.06.2007;99.18
25.06.2007;98.54
26.06.2007;98.59
27.06.2007;98.13
28.06.2007;98.65
29.06.2007;98.60000000000001
02.07.2007;98.85000000000001
03.07.2007;99.67000000000002
06.07.2007;99.55000000000001
09.07.2007;99.97000000000001
10.07.2007;99.64
11.07.2007;98.42000000000002
12.07.2007;98.7
13.07.2007;100.05000000000001
16.07.2007;100.21000000000001
17.07.2007;99.83
18.07.2007;99.23
19.07.2007;99.49000000000001
20.07.2007;99.68
23.07.2007;98.47000000000001
24.07.2007;98.77000000000001
25.07.2007;97.76
26.07.2007;96.98
27.07.2007;95.78
30.07.2007;95.28
31.07.2007;96.44
01.08.2007;95.06
02.08.2007;95.93
03.08.2007;95.92000000000002
06.08.2007;94.92000000000002
07.08.2007;95.77000000000001
08.08.2007;96.53
09.08.2007;96.32000000000001
10.08.2007;94.24000000000001
13.08.2007;94.97000000000001
14.08.2007;95.16000000000001
16.08.2007;92.97000000000001
17.08.2007;92.85000000000001
20.08.2007;94.16000000000001
21.08.2007;93.69
22.08.2007;94.53
23.08.2007;94.95
24.08.2007;94.43
27.08.2007;94.84
28.08.2007;94.47000000000001
29.08.2007;93.96000000000001
30.08.2007;94.38
31.08.2007;95.17000000000002
03.09.2007;95.29
05.09.2007;95.14
06.09.2007;94.35000000000001
07.09.2007;94.51
10.09.2007;93.62
11.09.2007;93.94
12.09.2007;93.97000000000001
13.09.2007;93.92000000000002
14.09.2007;94.01
17.09.2007;93.9
18.09.2007;93.83
19.09.2007;95.94
20.09.2007;95.89
21.09.2007;96.11000000000001
24.09.2007;96.08
25.09.2007;95.51
26.09.2007;95.94
27.09.2007;96.4
28.09.2007;96.18
01.10.2007;96.08
02.10.2007;97.10000000000001
04.10.2007;96.94
05.10.2007;97.05000000000001
08.10.2007;97.10000000000001
09.10.2007;97.07000000000001
10.10.2007;97.21000000000001
11.10.2007;97.64
12.10.2007;97.12
15.10.2007;97.45
16.10.2007;96.63
17.10.2007;96.80000000000001
18.10.2007;97.13
19.10.2007;96.94
22.10.2007;95.69
23.10.2007;96.45
24.10.2007;96.16000000000001
25.10.2007;96.65
26.10.2007;96.91000000000001
29.10.2007;97.57000000000001
30.10.2007;97.38
31.10.2007;97.64
02.11.2007;96.54
05.11.2007;96.41000000000001
06.11.2007;96.66000000000001
07.11.2007;96.30000000000001
08.11.2007;96.25
09.11.2007;95.53
12.11.2007;94.83
13.11.2007;94.97000000000001
14.11.2007;95.53
15.11.2007;95.11000000000001
16.11.2007;94.88
19.11.2007;94.67000000000002
20.11.2007;94.73
21.11.2007;94.04
22.11.2007;94.16000000000001
26.11.2007;94.85000000000001
27.11.2007;94.12
28.11.2007;94.47000000000001
29.11.2007;95.12
30.11.2007;95.67000000000002
03.12.2007;95.68
04.12.2007;95.26
05.12.2007;95.52000000000001
06.12.2007;96.43
07.12.2007;96.55000000000001
10.12.2007;96.57000000000001
11.12.2007;96.53
12.12.2007;95.88
13.12.2007;95.76
14.12.2007;95.19
17.12.2007;94.54
18.12.2007;94.88
19.12.2007;94.30000000000001
20.12.2007;94.62
