Date;Value
01.07.2008;100
02.07.2008;100
03.07.2008;100
04.07.2008;100
07.07.2008;100.62
08.07.2008;101.14
09.07.2008;99.84
10.07.2008;100.80000000000001
11.07.2008;99.97000000000001
14.07.2008;99.38
15.07.2008;99.11000000000001
16.07.2008;97.12
17.07.2008;96.74000000000001
18.07.2008;98.71000000000001
21.07.2008;98.65
22.07.2008;99.15
23.07.2008;100.38
24.07.2008;100.34
25.07.2008;98.94
28.07.2008;98.83
29.07.2008;97.96000000000001
30.07.2008;99.02000000000001
31.07.2008;100.56
01.08.2008;99.61000000000001
04.08.2008;99.56
05.08.2008;98.97000000000001
06.08.2008;99.5
07.08.2008;100.2
08.08.2008;100.53
11.08.2008;101.46000000000001
12.08.2008;102.04
13.08.2008;101.25
14.08.2008;100.97000000000001
18.08.2008;101.60000000000001
19.08.2008;100.73
20.08.2008;100.11000000000001
21.08.2008;100.06
22.08.2008;100.28
25.08.2008;101.31
26.08.2008;100.46000000000001
27.08.2008;100.58
28.08.2008;101
29.08.2008;102.2
01.09.2008;101.96000000000001
02.09.2008;102.25
03.09.2008;101.4
04.09.2008;100.11000000000001
05.09.2008;98.14
08.09.2008;99.46000000000001
09.09.2008;99.54
10.09.2008;97.45
11.09.2008;97.12
12.09.2008;97.37
15.09.2008;95.76
16.09.2008;94.2
17.09.2008;93.9
18.09.2008;92.72000000000001
19.09.2008;94.91000000000001
22.09.2008;95.77000000000001
23.09.2008;94.32000000000001
24.09.2008;94.49000000000001
25.09.2008;93.73
26.09.2008;93.76
29.09.2008;92.87
30.09.2008;90.44
01.10.2008;92.57000000000001
02.10.2008;93.32000000000001
06.10.2008;88.62
07.10.2008;85.98
08.10.2008;82.71000000000001
09.10.2008;81.95
10.10.2008;78.27000000000001
13.10.2008;79.12
14.10.2008;81.65
15.10.2008;81.05000000000001
16.10.2008;78.95
17.10.2008;78.62
20.10.2008;79.32000000000001
21.10.2008;80.14
22.10.2008;79.54
23.10.2008;78.73
24.10.2008;77.81
27.10.2008;77.42000000000002
28.10.2008;77.72000000000001
29.10.2008;78.41000000000001
30.10.2008;78.93
31.10.2008;79.31
03.11.2008;80.46000000000001
04.11.2008;81.81
05.11.2008;81.97000000000001
06.11.2008;80.06
07.11.2008;79.02000000000001
10.11.2008;80.53
11.11.2008;79.27000000000001
12.11.2008;78.68
13.11.2008;76.76
14.11.2008;77.81
17.11.2008;76.99000000000001
18.11.2008;75.71000000000001
19.11.2008;75.7
20.11.2008;73.95
21.11.2008;73.19
24.11.2008;73.76
25.11.2008;74.81
26.11.2008;74.69
27.11.2008;75.64
28.11.2008;75.84
01.12.2008;75.92999999999999
02.12.2008;74.25
03.12.2008;73.95
04.12.2008;75.03
