Date;Value
31.10.2007;100
02.11.2007;100
05.11.2007;100
06.11.2007;100
07.11.2007;100
08.11.2007;100
09.11.2007;100
12.11.2007;100
13.11.2007;100
14.11.2007;100
15.11.2007;100
16.11.2007;100
19.11.2007;100
20.11.2007;100
21.11.2007;100
22.11.2007;100
23.11.2007;100
26.11.2007;101.80000000000001
27.11.2007;98.10000000000001
28.11.2007;100.2
29.11.2007;103.10000000000001
30.11.2007;106.7
03.12.2007;104.4
04.12.2007;103.5
05.12.2007;105
06.12.2007;104.80000000000001
07.12.2007;107.7
10.12.2007;108.60000000000001
11.12.2007;108.30000000000001
12.12.2007;107.30000000000001
13.12.2007;103.60000000000001
14.12.2007;100.2
17.12.2007;96.9
18.12.2007;97.7
19.12.2007;97
20.12.2007;97
21.12.2007;99.30000000000001
27.12.2007;102.7
28.12.2007;102.80000000000001
31.12.2007;102
02.01.2008;102.80000000000001
03.01.2008;102.4
04.01.2008;102.30000000000001
07.01.2008;100
08.01.2008;101
09.01.2008;99.4
10.01.2008;99.4
11.01.2008;99.9
14.01.2008;101.7
15.01.2008;101.30000000000001
16.01.2008;96.5
17.01.2008;94.80000000000001
18.01.2008;92.60000000000001
21.01.2008;87.80000000000001
22.01.2008;84.80000000000001
23.01.2008;85.4
24.01.2008;91
25.01.2008;94.5
28.01.2008;91.5
29.01.2008;94.2
30.01.2008;95.2
31.01.2008;94.60000000000001
01.02.2008;101.4
04.02.2008;101.4
05.02.2008;98.4
06.02.2008;96.9
07.02.2008;95.2
08.02.2008;97.80000000000001
11.02.2008;97.60000000000001
12.02.2008;100.80000000000001
13.02.2008;100.7
14.02.2008;103
15.02.2008;101.4
18.02.2008;102.9
19.02.2008;105.80000000000001
20.02.2008;104.80000000000001
21.02.2008;109.9
22.02.2008;109.10000000000001
25.02.2008;108.2
26.02.2008;109.80000000000001
27.02.2008;111.80000000000001
28.02.2008;112.10000000000001
29.02.2008;112.30000000000001
03.03.2008;111.4
04.03.2008;113.30000000000001
05.03.2008;112.5
06.03.2008;113.9
07.03.2008;111.10000000000001
10.03.2008;107
11.03.2008;107.10000000000001
12.03.2008;110.2
13.03.2008;108.2
14.03.2008;111.30000000000001
17.03.2008;106.80000000000001
18.03.2008;106.7
19.03.2008;103.5
20.03.2008;96.60000000000001
25.03.2008;99.4
26.03.2008;102.10000000000001
27.03.2008;104.2
28.03.2008;103.7
31.03.2008;103.7
01.04.2008;101.10000000000001
02.04.2008;103.9
03.04.2008;105.30000000000001
04.04.2008;107.5
07.04.2008;111
08.04.2008;109.5
09.04.2008;111.30000000000001
10.04.2008;110
11.04.2008;110.7
14.04.2008;109.7
15.04.2008;111
16.04.2008;114.2
17.04.2008;114.9
18.04.2008;113.4
21.04.2008;115.30000000000001
22.04.2008;116.4
23.04.2008;115.9
24.04.2008;113.4
25.04.2008;112.5
28.04.2008;114.5
29.04.2008;111.5
30.04.2008;110.30000000000001
02.05.2008;112.4
05.05.2008;113.9
06.05.2008;115.60000000000001
07.05.2008;117
08.05.2008;117.80000000000001
09.05.2008;117.10000000000001
13.05.2008;117.2
14.05.2008;119.80000000000001
15.05.2008;120.60000000000001
16.05.2008;124.4
19.05.2008;126
20.05.2008;122.7
21.05.2008;124.10000000000001
22.05.2008;124
23.05.2008;120.9
26.05.2008;119.80000000000001
27.05.2008;118.2
28.05.2008;117.60000000000001
29.05.2008;118.10000000000001
30.05.2008;117.5
02.06.2008;117.80000000000001
03.06.2008;117.4
04.06.2008;114.80000000000001
05.06.2008;113.9
06.06.2008;116.60000000000001
09.06.2008;114.9
10.06.2008;112.4
11.06.2008;110.10000000000001
12.06.2008;109.60000000000001
13.06.2008;108.80000000000001
16.06.2008;111.30000000000001
17.06.2008;113.5
18.06.2008;113.2
19.06.2008;114.9
20.06.2008;112.80000000000001
24.06.2008;112
25.06.2008;110.7
