Date;Value
14.06.2004;100
15.06.2004;100
16.06.2004;100
17.06.2004;100
18.06.2004;100
21.06.2004;100
22.06.2004;100
23.06.2004;100
24.06.2004;100
25.06.2004;100
28.06.2004;100
29.06.2004;100
30.06.2004;100
01.07.2004;100
02.07.2004;100
05.07.2004;100
06.07.2004;100
07.07.2004;100
08.07.2004;100
09.07.2004;100
12.07.2004;100
13.07.2004;100
14.07.2004;100
15.07.2004;100
16.07.2004;100
19.07.2004;100
20.07.2004;100
21.07.2004;100
22.07.2004;100
23.07.2004;100
26.07.2004;100
27.07.2004;100
28.07.2004;100
29.07.2004;100
30.07.2004;100
02.08.2004;100
03.08.2004;100
04.08.2004;100
05.08.2004;99.88
06.08.2004;99
09.08.2004;98.44
10.08.2004;97.12
11.08.2004;96.60000000000001
12.08.2004;96.68
13.08.2004;96.92000000000002
16.08.2004;95.84
17.08.2004;95.72000000000001
18.08.2004;96.36000000000001
19.08.2004;96.28
20.08.2004;96.80000000000001
23.08.2004;97.24000000000001
24.08.2004;97.52000000000001
25.08.2004;98.4
26.08.2004;98.60000000000001
27.08.2004;98.72000000000001
30.08.2004;99
31.08.2004;99.44
01.09.2004;99.36000000000001
02.09.2004;99.36000000000001
03.09.2004;99.60000000000001
06.09.2004;100.2
07.09.2004;100.32000000000001
08.09.2004;100.56
09.09.2004;100.4
10.09.2004;100.12
13.09.2004;100.2
14.09.2004;100.24000000000001
15.09.2004;100.72000000000001
16.09.2004;100.60000000000001
17.09.2004;100.48
20.09.2004;100.80000000000001
21.09.2004;100.76
22.09.2004;100.68
23.09.2004;100.60000000000001
24.09.2004;100.4
27.09.2004;100.32000000000001
28.09.2004;100.24000000000001
29.09.2004;99.88
30.09.2004;100.32000000000001
01.10.2004;100.84
04.10.2004;100.72000000000001
05.10.2004;102.08
06.10.2004;102.56
07.10.2004;102.48
08.10.2004;102.84000000000002
11.10.2004;102.72000000000001
12.10.2004;102.48
13.10.2004;102.56
14.10.2004;102.52000000000001
15.10.2004;102.12
18.10.2004;102
19.10.2004;101.92000000000002
20.10.2004;101.92000000000002
21.10.2004;102.12
22.10.2004;101.80000000000001
25.10.2004;101.96000000000001
26.10.2004;101.52000000000001
27.10.2004;101.36000000000001
28.10.2004;101.32000000000001
29.10.2004;101.84
01.11.2004;101.92000000000002
02.11.2004;101.84
03.11.2004;102.04
04.11.2004;102.36000000000001
05.11.2004;102.52000000000001
08.11.2004;102.68
09.11.2004;102.72000000000001
10.11.2004;102.60000000000001
11.11.2004;103
12.11.2004;102.96
15.11.2004;103.48
16.11.2004;103.88
17.11.2004;103.84000000000002
18.11.2004;103.56
19.11.2004;103.96
22.11.2004;104
23.11.2004;103.56
24.11.2004;103.52000000000001
25.11.2004;103.72000000000001
26.11.2004;104.16
29.11.2004;104.48
30.11.2004;104.48
01.12.2004;104.56
02.12.2004;104.36
03.12.2004;104.72000000000001
06.12.2004;104.92000000000002
07.12.2004;104.72000000000001
08.12.2004;104.80000000000001
09.12.2004;104.24000000000001
10.12.2004;104.28
13.12.2004;104.2
14.12.2004;104.08
15.12.2004;104.72000000000001
16.12.2004;104.72000000000001
17.12.2004;104.92000000000002
20.12.2004;105.2
21.12.2004;104.92000000000002
22.12.2004;105.04000000000002
23.12.2004;105.12
27.12.2004;105.24000000000001
28.12.2004;105.16
29.12.2004;105.12
30.12.2004;105.4
03.01.2005;105.80000000000001
04.01.2005;106.12
05.01.2005;106.28
06.01.2005;106.64000000000001
07.01.2005;105.96
10.01.2005;106.28
11.01.2005;106.28
12.01.2005;106.44000000000001
13.01.2005;105.56
14.01.2005;105.64000000000001
17.01.2005;105.64000000000001
18.01.2005;106.4
