Date;Value
06.01.2003;100
07.01.2003;100.21000000000001
08.01.2003;100.44
09.01.2003;100.48
10.01.2003;100.47000000000001
13.01.2003;100.34
14.01.2003;100.42000000000002
15.01.2003;100.44
16.01.2003;100.48
17.01.2003;100.84
20.01.2003;100.97000000000001
21.01.2003;101.07000000000001
22.01.2003;101.18
23.01.2003;101.22000000000001
24.01.2003;101.51
27.01.2003;101.59
28.01.2003;101.41000000000001
29.01.2003;101.5
30.01.2003;101.28
31.01.2003;101.41000000000001
03.02.2003;101.31
04.02.2003;101.64
05.02.2003;101.64
06.02.2003;101.62
07.02.2003;101.74000000000001
10.02.2003;101.84
11.02.2003;101.77000000000001
12.02.2003;102.09
13.02.2003;102.35000000000001
14.02.2003;102.17000000000002
17.02.2003;102.12
18.02.2003;102.12
19.02.2003;102.39
20.02.2003;102.57000000000001
21.02.2003;102.4779
24.02.2003;102.7251
25.02.2003;102.859
26.02.2003;102.73250000000002
27.02.2003;102.57390000000001
28.02.2003;102.6423
03.03.2003;102.83940000000001
04.03.2003;102.87080000000002
05.03.2003;102.9214
06.03.2003;102.95190000000001
07.03.2003;103.1031
10.03.2003;103.2933
11.03.2003;103.19000000000001
12.03.2003;103.09000000000002
13.03.2003;102.4
14.03.2003;101.99000000000001
17.03.2003;101.62
18.03.2003;101.42000000000002
19.03.2003;100.94
20.03.2003;101.07000000000001
21.03.2003;100.83
24.03.2003;101.12
25.03.2003;101.29
26.03.2003;101.21000000000001
27.03.2003;101.51
28.03.2003;101.61000000000001
31.03.2003;102.13
01.04.2003;102.24000000000001
02.04.2003;101.81
03.04.2003;101.44
04.04.2003;101.48
07.04.2003;101.11000000000001
08.04.2003;101.27000000000001
09.04.2003;101.43
10.04.2003;101.80000000000001
11.04.2003;101.42000000000002
14.04.2003;101.31
15.04.2003;101.41000000000001
16.04.2003;101.56
17.04.2003;101.77000000000001
22.04.2003;101.99000000000001
23.04.2003;101.85000000000001
24.04.2003;102.11000000000001
25.04.2003;102.24000000000001
28.04.2003;102.21000000000001
29.04.2003;102.05000000000001
30.04.2003;102.29
02.05.2003;102.49000000000001
05.05.2003;102.48
06.05.2003;102.52000000000001
07.05.2003;103.06
08.05.2003;103.22000000000001
09.05.2003;103.32000000000001
12.05.2003;103.49000000000001
13.05.2003;103.46
14.05.2003;103.50999999999999
15.05.2003;103.63
16.05.2003;103.93
19.05.2003;104.30000000000001
20.05.2003;104.29000000000002
21.05.2003;104.43
22.05.2003;104.46
23.05.2003;104.78
26.05.2003;104.85000000000001
27.05.2003;104.81
28.05.2003;104.25999999999999
30.05.2003;104.64000000000001
02.06.2003;104.47000000000001
03.06.2003;105.00999999999999
04.06.2003;104.98
05.06.2003;105.28
06.06.2003;105.06
10.06.2003;105.67000000000002
11.06.2003;105.97000000000001
12.06.2003;105.93
13.06.2003;106.19000000000001
16.06.2003;106.11
17.06.2003;105.7
18.06.2003;104.97000000000001
19.06.2003;104.96
20.06.2003;105.02000000000001
24.06.2003;105.08
25.06.2003;105.31
26.06.2003;104.44000000000001
27.06.2003;104.2
30.06.2003;104.44000000000001
01.07.2003;104.56
02.07.2003;104.22000000000001
03.07.2003;103.99000000000001
04.07.2003;104.2
07.07.2003;104
08.07.2003;103.99000000000001
09.07.2003;104.07000000000001
10.07.2003;104.28
11.07.2003;104.31
14.07.2003;104.49000000000001
15.07.2003;103.95
16.07.2003;103.57000000000001
17.07.2003;103.34000000000002
18.07.2003;103.57000000000001
21.07.2003;103.39000000000001
22.07.2003;103.34000000000002
23.07.2003;103.58
24.07.2003;103.39000000000001
25.07.2003;103.69000000000001
28.07.2003;103.23
29.07.2003;103.30000000000001
30.07.2003;103.09000000000002
31.07.2003;102.75999999999999
01.08.2003;102.32000000000001
04.08.2003;102.46
05.08.2003;102.49000000000001
06.08.2003;102.57000000000001
07.08.2003;102.85000000000001
08.08.2003;103.37
11.08.2003;103.09000000000002
12.08.2003;103.11
13.08.2003;102.7
14.08.2003;102.36000000000001
18.08.2003;102.57000000000001
19.08.2003;102.60000000000001
20.08.2003;102.62
21.08.2003;102.48
22.08.2003;102.48
25.08.2003;102.60000000000001
26.08.2003;102.55000000000001
27.08.2003;102.57000000000001
28.08.2003;102.56
29.08.2003;102.56
01.09.2003;102.5
02.09.2003;101.9
03.09.2003;101.75
04.09.2003;101.88
05.09.2003;102.21000000000001
08.09.2003;102.49000000000001
09.09.2003;102.41
