Date;Value
16.10.2000;100
17.10.2000;99.7
18.10.2000;99.7
19.10.2000;99.32000000000001
20.10.2000;99.62
23.10.2000;100.44
24.10.2000;100.62
25.10.2000;100.82000000000001
26.10.2000;100.84
27.10.2000;100.34
30.10.2000;100.4
31.10.2000;100.36000000000001
01.11.2000;100.34
02.11.2000;100.32000000000001
03.11.2000;100.68
06.11.2000;100.80000000000001
07.11.2000;100.98
08.11.2000;100.74000000000001
09.11.2000;100.86000000000001
10.11.2000;100.28
13.11.2000;99.92000000000002
14.11.2000;99.24000000000001
15.11.2000;99.30000000000001
16.11.2000;99.96000000000001
17.11.2000;99.88
20.11.2000;99.60000000000001
21.11.2000;99.60000000000001
22.11.2000;99.08
23.11.2000;98.86000000000001
24.11.2000;98.44
27.11.2000;98.98
28.11.2000;99.64
29.11.2000;99.24000000000001
30.11.2000;98.74000000000001
01.12.2000;98.5
04.12.2000;98.5
05.12.2000;98.38
06.12.2000;98.56
07.12.2000;99.32000000000001
08.12.2000;99.22000000000001
11.12.2000;99.24000000000001
12.12.2000;99.4
13.12.2000;99.64
14.12.2000;99.5
15.12.2000;99.16000000000001
18.12.2000;98.86000000000001
19.12.2000;98.76
20.12.2000;98.88
21.12.2000;98.36000000000001
22.12.2000;97.80000000000001
25.12.2000;97.80000000000001
26.12.2000;97.80000000000001
27.12.2000;97.72000000000001
28.12.2000;98.08
29.12.2000;98.22000000000001
02.01.2001;98.28
03.01.2001;98.06
04.01.2001;97.74000000000001
05.01.2001;98.68
08.01.2001;98.60000000000001
09.01.2001;98.26
10.01.2001;98.16000000000001
11.01.2001;98
12.01.2001;98.16000000000001
15.01.2001;98.5
16.01.2001;98.5
17.01.2001;98.44
18.01.2001;98.62
19.01.2001;98.7
22.01.2001;99.04
23.01.2001;98.9
24.01.2001;98.72000000000001
25.01.2001;99.12
26.01.2001;99.2
29.01.2001;98.92000000000002
30.01.2001;99.06
31.01.2001;99.18
01.02.2001;99.16000000000001
02.02.2001;99.02000000000001
05.02.2001;99.12
06.02.2001;98.86000000000001
07.02.2001;98.98
08.02.2001;99
09.02.2001;98.92000000000002
12.02.2001;98.78
13.02.2001;98.52000000000001
14.02.2001;98.76
15.02.2001;98.52000000000001
16.02.2001;98.48
19.02.2001;98.52000000000001
20.02.2001;98.18
21.02.2001;98.26
22.02.2001;97.80000000000001
23.02.2001;97.52000000000001
26.02.2001;97.52000000000001
27.02.2001;97.48
28.02.2001;97.64
01.03.2001;97.5
02.03.2001;97.22000000000001
05.03.2001;97.34
06.03.2001;97.26
07.03.2001;97.56
08.03.2001;97.62
09.03.2001;97.88
12.03.2001;97.7
13.03.2001;97.24000000000001
14.03.2001;96.80000000000001
15.03.2001;96.84
16.03.2001;96.80000000000001
19.03.2001;96.92000000000002
20.03.2001;96.68
21.03.2001;96.9
22.03.2001;96.48
23.03.2001;96.28
26.03.2001;96.52000000000001
27.03.2001;96.9
28.03.2001;97
29.03.2001;97.36000000000001
30.03.2001;96.84
02.04.2001;96.98
03.04.2001;96.94
04.04.2001;96.60000000000001
05.04.2001;96.08
06.04.2001;96.2
09.04.2001;96.60000000000001
10.04.2001;96.48
11.04.2001;96.88
12.04.2001;97.24000000000001
17.04.2001;97.32000000000001
18.04.2001;97.16000000000001
