Date;Value
04.10.2005;100
05.10.2005;99.34
06.10.2005;98.56
07.10.2005;98.30000000000001
10.10.2005;98.64
11.10.2005;98.76
12.10.2005;98.36000000000001
13.10.2005;97.80000000000001
14.10.2005;97.7
17.10.2005;97.9
18.10.2005;98.06
19.10.2005;97.38
20.10.2005;97.7
21.10.2005;97.16000000000001
24.10.2005;97.46000000000001
25.10.2005;97.60000000000001
26.10.2005;97.66000000000001
27.10.2005;97.10000000000001
28.10.2005;96.74000000000001
31.10.2005;97.66000000000001
02.11.2005;98.12
03.11.2005;98.46000000000001
04.11.2005;98.84
07.11.2005;98.62
08.11.2005;99.04
09.11.2005;98.9
10.11.2005;98.88
11.11.2005;99.2
14.11.2005;99.4
15.11.2005;99.02000000000001
16.11.2005;98.62
17.11.2005;99.08
18.11.2005;99.36000000000001
21.11.2005;98.92000000000002
22.11.2005;99.28
23.11.2005;99.46000000000001
24.11.2005;99.34
25.11.2005;99.56
28.11.2005;99.7
29.11.2005;99.16000000000001
30.11.2005;99
01.12.2005;99.2
02.12.2005;100
05.12.2005;100
06.12.2005;100.22000000000001
07.12.2005;100.48
08.12.2005;99.96000000000001
09.12.2005;99.98
12.12.2005;100.24000000000001
13.12.2005;99.96000000000001
14.12.2005;99.92000000000002
15.12.2005;99.74000000000001
16.12.2005;100.10000000000001
19.12.2005;99.98
20.12.2005;99.82000000000001
21.12.2005;100.32000000000001
22.12.2005;100.14
23.12.2005;100.12
27.12.2005;100.2
28.12.2005;100.14
29.12.2005;100.34
30.12.2005;99.98
02.01.2006;100.10000000000001
03.01.2006;100.7
04.01.2006;100.82000000000001
05.01.2006;101.04
06.01.2006;101.08
09.01.2006;101.68
10.01.2006;101.16000000000001
11.01.2006;101.38
12.01.2006;101.26
13.01.2006;101.10000000000001
16.01.2006;101.18
17.01.2006;100.94
18.01.2006;100.26
19.01.2006;100.36000000000001
20.01.2006;100.58
23.01.2006;99.74000000000001
24.01.2006;99.72000000000001
25.01.2006;99.98
26.01.2006;100.68
27.01.2006;101.18
30.01.2006;101.34
31.01.2006;101.52000000000001
01.02.2006;101.68
02.02.2006;101.68
03.02.2006;101.16000000000001
06.02.2006;101.42000000000002
07.02.2006;100.88
08.02.2006;100.76
09.02.2006;101.36000000000001
10.02.2006;101.52000000000001
13.02.2006;101.2
14.02.2006;101.48
15.02.2006;101.46000000000001
16.02.2006;101.62
17.02.2006;102.06
20.02.2006;102.06
21.02.2006;102.44000000000001
22.02.2006;102.12
23.02.2006;102.46
24.02.2006;102.48
27.02.2006;102.52000000000001
28.02.2006;102.36000000000001
01.03.2006;102.04
02.03.2006;102.26
03.03.2006;101.88
06.03.2006;102.12
07.03.2006;101.48
08.03.2006;101.36000000000001
09.03.2006;101.92000000000002
10.03.2006;101.78
13.03.2006;102.62
14.03.2006;102.80000000000001
15.03.2006;103.10000000000001
16.03.2006;102.75999999999999
17.03.2006;103.18
20.03.2006;103.08
21.03.2006;102.46
22.03.2006;102.88
23.03.2006;102.84000000000002
24.03.2006;103.18
27.03.2006;103.08
28.03.2006;102.74000000000001
29.03.2006;102.5
30.03.2006;102.62
31.03.2006;102.52000000000001
03.04.2006;102.80000000000001
04.04.2006;102.60000000000001
05.04.2006;102.46
06.04.2006;102.82000000000001
07.04.2006;103.16
10.04.2006;102.92000000000002
11.04.2006;102.84000000000002
12.04.2006;102.16000000000001
13.04.2006;102.5
18.04.2006;102.56
19.04.2006;103.08
20.04.2006;103.42000000000002
21.04.2006;103.84000000000002
24.04.2006;103.74000000000001
25.04.2006;103.58
26.04.2006;103.4
27.04.2006;102.82000000000001
28.04.2006;102.94000000000001
02.05.2006;103.62
03.05.2006;103.38
04.05.2006;103.30000000000001
05.05.2006;103.60000000000001
08.05.2006;104.18
09.05.2006;104.28
10.05.2006;104.34000000000002
11.05.2006;104.38
12.05.2006;102.62
15.05.2006;101.80000000000001
16.05.2006;101.66000000000001
17.05.2006;101.9
18.05.2006;100.06
19.05.2006;100.02000000000001
22.05.2006;99.60000000000001
23.05.2006;98.98
24.05.2006;98.92000000000002
26.05.2006;100.18
29.05.2006;100.76
30.05.2006;100.10000000000001
31.05.2006;99.72000000000001
01.06.2006;99.54
02.06.2006;100.48
06.06.2006;99.26
07.06.2006;98.96000000000001
08.06.2006;98.32000000000001
09.06.2006;98.72000000000001
12.06.2006;98.64
13.06.2006;97.7
14.06.2006;97.42000000000002
16.06.2006;98.64
19.06.2006;98.80000000000001
20.06.2006;98.28
21.06.2006;98.54
22.06.2006;99.36000000000001
23.06.2006;99.10000000000001
26.06.2006;98.96000000000001
27.06.2006;98.74000000000001
28.06.2006;98.36000000000001
29.06.2006;99.06
30.06.2006;99.88
03.07.2006;100.26
04.07.2006;100.26
05.07.2006;100.18
06.07.2006;100.44
07.07.2006;100.38
10.07.2006;100.26
11.07.2006;100.44
12.07.2006;100.60000000000001
13.07.2006;99.60000000000001
14.07.2006;99.32000000000001
17.07.2006;98.44
18.07.2006;98.48
19.07.2006;98.76
20.07.2006;100.10000000000001
21.07.2006;99.7
24.07.2006;99.96000000000001
25.07.2006;100.68
26.07.2006;100.60000000000001
27.07.2006;101.02000000000001
28.07.2006;101.10000000000001
31.07.2006;101.5
01.08.2006;101.52000000000001
02.08.2006;101.12
03.08.2006;101.06
04.08.2006;101.2
07.08.2006;100.92000000000002
08.08.2006;101.12
09.08.2006;100.88
10.08.2006;100.74000000000001
11.08.2006;101.34
14.08.2006;101.66000000000001
15.08.2006;101.60000000000001
16.08.2006;102.30000000000001
17.08.2006;102.56
18.08.2006;102.54000000000002
21.08.2006;102.42000000000002
22.08.2006;102.42000000000002
23.08.2006;102.54000000000002
24.08.2006;102.56
25.08.2006;102.62
28.08.2006;102.4
29.08.2006;103.30000000000001
30.08.2006;103.24000000000001
31.08.2006;103.10000000000001
01.09.2006;103.18
04.09.2006;103.52000000000001
05.09.2006;103.2
06.09.2006;103
07.09.2006;101.76
08.09.2006;101.86000000000001
11.09.2006;101.32000000000001
12.09.2006;101.72000000000001
13.09.2006;102.64000000000001
14.09.2006;102.9
15.09.2006;102.42000000000002
18.09.2006;102.86
19.09.2006;102.04
20.09.2006;102.38
21.09.2006;103.38
22.09.2006;102.56
25.09.2006;102.75999999999999
26.09.2006;102.96
27.09.2006;103.68
28.09.2006;103.68
29.09.2006;103.92000000000002
02.10.2006;103.77280000000002
04.10.2006;103.69259
05.10.2006;104.59496
06.10.2006;104.63507
09.10.2006;104.73533
10.10.2006;105.27674999999999
11.10.2006;105.09628000000001
12.10.2006;105.69785999999999
13.10.2006;106.33955000000002
16.10.2006;106.70050000000002
17.10.2006;106.11896999999999
18.10.2006;106.15907
19.10.2006;106.07886000000002
20.10.2006;106.86092000000002
23.10.2006;106.52002
24.10.2006;106.98123000000001
25.10.2006;107.18176000000001
26.10.2006;107.50260000000002
27.10.2006;107.00129
30.10.2006;106.13902000000002
31.10.2006;106.56013000000002
02.11.2006;106.58018
03.11.2006;106.41976
06.11.2006;107.0815
07.11.2006;107.86355000000002
08.11.2006;107.56276000000001
09.11.2006;107.68308
10.11.2006;107.58282
13.11.2006;107.48255
14.11.2006;107.06145
15.11.2006;107.38229
16.11.2006;107.4625
17.11.2006;107.36224
20.11.2006;106.3596
21.11.2006;107.58282
22.11.2006;107.8435
23.11.2006;106.82081000000001
24.11.2006;105.53744
27.11.2006;105.19654000000001
28.11.2006;104.69522
29.11.2006;104.87570000000001
30.11.2006;105.45723000000001
01.12.2006;104.99602
04.12.2006;103.53217000000001
05.12.2006;104.51475
06.12.2006;104.71528
07.12.2006;104.99602
08.12.2006;104.93586
11.12.2006;105.69785999999999
12.12.2006;105.79812
13.12.2006;106.49997000000002
14.12.2006;107.26197
15.12.2006;108.06407999999999
18.12.2006;108.10419
19.12.2006;107.16171
20.12.2006;107.4625
21.12.2006;107.16171
22.12.2006;106.84087
27.12.2006;107.36224
28.12.2006;107.52266
29.12.2006;107.30208
02.01.2007;108.20445000000001
03.01.2007;108.44508000000002
04.01.2007;108.18440000000001
05.01.2007;108.38492000000002
08.01.2007;108.14429000000001
09.01.2007;108.06407999999999
10.01.2007;107.40234000000001
11.01.2007;107.64296999999999
12.01.2007;108.42502999999999
15.01.2007;108.84613999999999
16.01.2007;108.92635000000001
17.01.2007;108.62556000000001
18.01.2007;108.74587
19.01.2007;108.24456
22.01.2007;108.92635000000001
23.01.2007;108.40498000000001
24.01.2007;108.88624
25.01.2007;109.30735
26.01.2007;108.64561000000002
29.01.2007;108.52529
30.01.2007;108.50524000000001
31.01.2007;108.6055
01.02.2007;109.10682
02.02.2007;109.24719
05.02.2007;109.3274
06.02.2007;109.72846
07.02.2007;109.6683
08.02.2007;109.58809000000002
09.02.2007;109.42766999999999
12.02.2007;109.20709
13.02.2007;109.20709
14.02.2007;109.36751
15.02.2007;109.58809000000002
16.02.2007;109.52793
19.02.2007;109.76856000000001
20.02.2007;109.56803000000001
21.02.2007;109.44772
22.02.2007;109.36751
23.02.2007;109.14693
26.02.2007;109.70840000000001
27.02.2007;108.86619000000002
28.02.2007;107.4625
01.03.2007;107.36224
02.03.2007;106.70050000000002
05.03.2007;105.61765000000001
06.03.2007;106.3596
07.03.2007;106.64034
08.03.2007;107.1216
09.03.2007;107.1216
12.03.2007;107.42239000000001
13.03.2007;106.96118
14.03.2007;105.6377
15.03.2007;105.85828
16.03.2007;105.87834000000001
19.03.2007;106.33955000000002
20.03.2007;106.58018
21.03.2007;107.24192000000001
22.03.2007;107.80340000000001
23.03.2007;108.18440000000001
26.03.2007;108.30471
27.03.2007;107.92371000000001
28.03.2007;107.68308
29.03.2007;107.80340000000001
30.03.2007;107.78334000000001
02.04.2007;107.96382000000001
03.04.2007;108.22449999999999
04.04.2007;108.48518999999999
05.04.2007;108.48518999999999
10.04.2007;108.84613999999999
11.04.2007;109.20709
12.04.2007;108.64561000000002
13.04.2007;109.06672000000002
16.04.2007;109.68835
17.04.2007;109.76856000000001
18.04.2007;110.00918999999999
19.04.2007;109.44772
20.04.2007;110.33004000000001
23.04.2007;110.41025
24.04.2007;110.0493
25.04.2007;110.22977000000002
26.04.2007;110.53056
27.04.2007;110.08941
30.04.2007;110.24983
02.05.2007;110.20972
03.05.2007;110.26988
04.05.2007;110.99178
07.05.2007;111.05194
08.05.2007;110.61078
09.05.2007;110.87146000000001
10.05.2007;110.73109
11.05.2007;109.90893000000001
14.05.2007;110.67093
15.05.2007;110.47041
16.05.2007;110.53056
18.05.2007;111.11209
21.05.2007;111.51315
22.05.2007;111.39283
23.05.2007;111.65352000000001
24.05.2007;111.49310000000001
25.05.2007;111.1522
29.05.2007;111.59336000000002
30.05.2007;110.97172
31.05.2007;111.85404000000001
01.06.2007;112.17489
04.06.2007;112.27515000000001
05.06.2007;112.61605
06.06.2007;111.47304
08.06.2007;109.78861
11.06.2007;110.89151
12.06.2007;110.97172
13.06.2007;110.26988
14.06.2007;111.65352000000001
15.06.2007;112.59599000000001
18.06.2007;112.99705
19.06.2007;112.83663
20.06.2007;112.977
21.06.2007;112.39547
22.06.2007;111.75378
25.06.2007;111.39283
26.06.2007;111.41288
27.06.2007;111.01183000000002
28.06.2007;111.69362000000001
29.06.2007;111.63346
02.07.2007;111.8741
03.07.2007;112.61605
04.07.2007;112.83663
05.07.2007;112.75642
06.07.2007;112.77647
09.07.2007;113.19758
10.07.2007;113.01710000000001
11.07.2007;111.89415
12.07.2007;111.85404000000001
13.07.2007;113.29784000000001
16.07.2007;113.43821000000001
17.07.2007;112.79652000000002
18.07.2007;112.39547
19.07.2007;112.41552
20.07.2007;112.55589
23.07.2007;111.67357
24.07.2007;111.93425
25.07.2007;110.65088000000002
26.07.2007;110.06935000000001
27.07.2007;107.98387000000001
30.07.2007;107.64296999999999
31.07.2007;108.84613999999999
01.08.2007;107.8435
02.08.2007;108.32477
03.08.2007;108.30471
06.08.2007;107.52266
07.08.2007;107.82345000000001
08.08.2007;108.6055
09.08.2007;108.56540000000001
10.08.2007;107.10155
13.08.2007;107.24192000000001
14.08.2007;107.72318000000001
15.08.2007;106.82081000000001
16.08.2007;105.85828
17.08.2007;105.45723000000001
20.08.2007;107.22187
21.08.2007;107.00129
22.08.2007;107.54271000000001
23.08.2007;108.30471
24.08.2007;107.68308
27.08.2007;108.08413000000002
28.08.2007;107.74324
29.08.2007;107.26197
30.08.2007;107.62292000000001
31.08.2007;108.26461
03.09.2007;108.88624
04.09.2007;108.90630000000002
05.09.2007;109.06672000000002
06.09.2007;108.52529
07.09.2007;108.44508000000002
10.09.2007;107.52266
11.09.2007;107.80340000000001
12.09.2007;107.94376
13.09.2007;107.94376
14.09.2007;108.04403
17.09.2007;107.24192000000001
18.09.2007;107.38229
19.09.2007;109.42766999999999
20.09.2007;109.3274
21.09.2007;109.68835
24.09.2007;109.78861
25.09.2007;108.98651000000001
26.09.2007;109.38756000000001
27.09.2007;109.6683
28.09.2007;109.52793
01.10.2007;109.53755000000001
02.10.2007;110.54415
04.10.2007;110.7656
05.10.2007;110.78573
08.10.2007;110.90652
09.10.2007;110.88639
10.10.2007;110.88639
11.10.2007;111.24876
12.10.2007;110.84613
15.10.2007;111.47021000000001
16.10.2007;110.18177000000001
17.10.2007;110.18177000000001
18.10.2007;110.56428000000001
19.10.2007;109.94019000000002
22.10.2007;108.65174999999999
23.10.2007;109.3161
24.10.2007;109.33624
25.10.2007;109.39663000000002
26.10.2007;109.51742
29.10.2007;110.46361999999999
30.10.2007;110.26230000000001
31.10.2007;110.44349
02.11.2007;108.61149
05.11.2007;108.32964
06.11.2007;108.55109
07.11.2007;108.39004
08.11.2007;108.16859
09.11.2007;108.14845000000001
12.11.2007;106.83988
13.11.2007;106.86001000000002
14.11.2007;108.45043000000001
15.11.2007;107.16199
16.11.2007;106.5983
19.11.2007;106.21579
20.11.2007;105.39039000000001
21.11.2007;104.72604
22.11.2007;104.64551
23.11.2007;105.67223
26.11.2007;106.55804
27.11.2007;105.59170999999999
28.11.2007;105.75276
29.11.2007;107.32305
30.11.2007;108.26925000000001
03.12.2007;108.39004
04.12.2007;107.927
05.12.2007;108.06793
