Date;Value
08.11.2010;100
09.11.2010;99.99000000000001
10.11.2010;99.98
11.11.2010;99.97000000000001
12.11.2010;99.96000000000001
15.11.2010;99.23
16.11.2010;99.24000000000001
17.11.2010;98.96000000000001
18.11.2010;98.38
19.11.2010;99.04
22.11.2010;99.09
23.11.2010;99.45
24.11.2010;98.97000000000001
25.11.2010;99.45
26.11.2010;100.10000000000001
29.11.2010;99.97000000000001
30.11.2010;100.39
01.12.2010;100.52000000000001
02.12.2010;101.19
03.12.2010;102.12
06.12.2010;101.87
07.12.2010;102.06
08.12.2010;102.32000000000001
09.12.2010;102.4
10.12.2010;102.45
13.12.2010;102.37
14.12.2010;102.41
15.12.2010;102.24000000000001
16.12.2010;102.26
17.12.2010;102.22000000000001
20.12.2010;102.48
21.12.2010;102.81
22.12.2010;103.37
23.12.2010;103.89000000000001
27.12.2010;103.98
28.12.2010;103.41
29.12.2010;103.68
30.12.2010;103.93
03.01.2011;103.13
04.01.2011;103.56
05.01.2011;103.75999999999999
06.01.2011;104.12
07.01.2011;104.65
10.01.2011;104.9
11.01.2011;104.50999999999999
12.01.2011;105.03
13.01.2011;105.60000000000001
14.01.2011;104.65
17.01.2011;104.2
18.01.2011;104.47000000000001
19.01.2011;104.44000000000001
20.01.2011;104.02000000000001
21.01.2011;102.57000000000001
24.01.2011;101.97000000000001
25.01.2011;101.33
26.01.2011;101.36000000000001
27.01.2011;101.57000000000001
28.01.2011;101.72000000000001
31.01.2011;101.4
01.02.2011;100.7
02.02.2011;101.12
03.02.2011;101.64
04.02.2011;101.84
07.02.2011;102.19
08.02.2011;102.63
09.02.2011;102.65
10.02.2011;102.63
11.02.2011;102.41
14.02.2011;102.53
15.02.2011;102.98
16.02.2011;103.21
17.02.2011;103.11
18.02.2011;103.39000000000001
21.02.2011;103.37
22.02.2011;103.15
23.02.2011;102.39
24.02.2011;101.16000000000001
25.02.2011;100.18
28.02.2011;100.28
01.03.2011;101.13
02.03.2011;101.5
03.03.2011;100.95
04.03.2011;100.89
07.03.2011;100.4
08.03.2011;101
09.03.2011;100.63
10.03.2011;100.98
11.03.2011;100.69
14.03.2011;99.79
15.03.2011;99.01
16.03.2011;97.4
17.03.2011;95.74000000000001
18.03.2011;95.45
21.03.2011;96.64
22.03.2011;97.13
23.03.2011;97.58
24.03.2011;97.59
25.03.2011;97.85000000000001
28.03.2011;98.24000000000001
29.03.2011;98.29
30.03.2011;98.10000000000001
31.03.2011;98.48
01.04.2011;98.47000000000001
04.04.2011;98.86000000000001
05.04.2011;99.14
06.04.2011;99.23
07.04.2011;99.24000000000001
08.04.2011;98.95
11.04.2011;98.85000000000001
12.04.2011;98.67000000000002
13.04.2011;97.97000000000001
14.04.2011;97.82000000000001
15.04.2011;97.75
18.04.2011;97.87
19.04.2011;97.36000000000001
20.04.2011;96.98
21.04.2011;97.80000000000001
26.04.2011;98.33
27.04.2011;98.52000000000001
28.04.2011;98.63
29.04.2011;98.86000000000001
02.05.2011;99.13
03.05.2011;99.42000000000002
04.05.2011;99.24000000000001
05.05.2011;98.72000000000001
06.05.2011;98.08
09.05.2011;98.32000000000001
10.05.2011;98.53
11.05.2011;98.94
12.05.2011;99.36000000000001
13.05.2011;99.07000000000001
16.05.2011;99.01
17.05.2011;98.75
18.05.2011;98.39
19.05.2011;98.29
20.05.2011;98.77000000000001
23.05.2011;98.95
24.05.2011;98.56
25.05.2011;98.16000000000001
26.05.2011;98.27000000000001
27.05.2011;98.32000000000001
30.05.2011;98.59
31.05.2011;98.72000000000001
01.06.2011;98.85000000000001
03.06.2011;98.71000000000001
06.06.2011;97.81
07.06.2011;97.44
08.06.2011;96.83
09.06.2011;96.47000000000001
10.06.2011;96.5
14.06.2011;96.7
15.06.2011;96.39
16.06.2011;96.57000000000001
17.06.2011;96.18
20.06.2011;96.02000000000001
21.06.2011;95.79
22.06.2011;95.88
23.06.2011;96.09
24.06.2011;96.2
27.06.2011;95.87
28.06.2011;95.64
29.06.2011;95.62
30.06.2011;96.04
01.07.2011;96.14
04.07.2011;96.51
05.07.2011;96.79
06.07.2011;97.2
07.07.2011;97.48
08.07.2011;97.60000000000001
11.07.2011;97.71000000000001
12.07.2011;97.54
13.07.2011;96.72000000000001
14.07.2011;96.73
15.07.2011;96.63
18.07.2011;96.54
19.07.2011;96.12
20.07.2011;95.72000000000001
21.07.2011;96.16000000000001
22.07.2011;96.23
25.07.2011;96.53
26.07.2011;96.80000000000001
27.07.2011;96.54
28.07.2011;96.52000000000001
29.07.2011;96.43
01.08.2011;96.12
02.08.2011;96.2
03.08.2011;95.79
04.08.2011;94.41000000000001
05.08.2011;93.39
08.08.2011;91.33
09.08.2011;90.24000000000001
10.08.2011;89.57000000000001
11.08.2011;89.82000000000001
12.08.2011;89.64
15.08.2011;89.97000000000001
16.08.2011;89.85000000000001
17.08.2011;89.86000000000001
18.08.2011;89.78
19.08.2011;89.94
22.08.2011;90.10000000000001
23.08.2011;90.09
24.08.2011;90.09
25.08.2011;89.91000000000001
26.08.2011;89.74000000000001
29.08.2011;89.85000000000001
30.08.2011;89.99000000000001
31.08.2011;90
01.09.2011;90.14
02.09.2011;90.07000000000001
05.09.2011;90.04
06.09.2011;89.89
07.09.2011;89.96000000000001
08.09.2011;90.2
09.09.2011;90.35000000000001
12.09.2011;90.16000000000001
13.09.2011;90.51
14.09.2011;90.44
15.09.2011;90.37
16.09.2011;90.34
19.09.2011;90.29
20.09.2011;90.39
21.09.2011;90.56
22.09.2011;90.5
23.09.2011;90.64
26.09.2011;90.81
27.09.2011;90.64
28.09.2011;90.48
29.09.2011;90.18
30.09.2011;90.2
04.10.2011;90.54
05.10.2011;91.04
06.10.2011;90.99000000000001
07.10.2011;90.91000000000001
10.10.2011;90.57000000000001
11.10.2011;90.31
12.10.2011;89.99000000000001
13.10.2011;89.85000000000001
14.10.2011;89.55000000000001
17.10.2011;89.69
18.10.2011;89.38
19.10.2011;89.55000000000001
20.10.2011;89.55000000000001
21.10.2011;89.46000000000001
24.10.2011;89.38
25.10.2011;89.54
26.10.2011;89.79
27.10.2011;89.75
28.10.2011;89.80000000000001
31.10.2011;90.21000000000001
01.11.2011;90.11000000000001
02.11.2011;89.22000000000001
03.11.2011;88.66000000000001
04.11.2011;88.76
07.11.2011;89.47000000000001
08.11.2011;89.27000000000001
09.11.2011;89.30000000000001
10.11.2011;89.47000000000001
11.11.2011;89.33
14.11.2011;89.38
15.11.2011;89.82000000000001
16.11.2011;89.69
17.11.2011;89.73
18.11.2011;89.25
21.11.2011;88.78
22.11.2011;88.2
23.11.2011;87.73
24.11.2011;87.52000000000001
25.11.2011;87.26
28.11.2011;87.25
29.11.2011;87.33
30.11.2011;87.9
01.12.2011;87.98
02.12.2011;88.34
05.12.2011;88.51
06.12.2011;88.46000000000001
07.12.2011;88.63
08.12.2011;88.64
09.12.2011;88.72000000000001
12.12.2011;88.27000000000001
13.12.2011;88.58
14.12.2011;88.86000000000001
15.12.2011;89.16000000000001
16.12.2011;89.09
19.12.2011;89.13
20.12.2011;89.03
21.12.2011;89.11000000000001
22.12.2011;89.55000000000001
23.12.2011;89.60000000000001
27.12.2011;89.71000000000001
28.12.2011;89.69
29.12.2011;89.99000000000001
30.12.2011;90.09
02.01.2012;90.2921
03.01.2012;90.43276
04.01.2012;90.08111000000001
05.01.2012;90.47295000000001
06.01.2012;90.86478
09.01.2012;91.13605000000001
10.01.2012;91.20637
11.01.2012;91.19633
12.01.2012;91.41736
13.01.2012;91.17623
16.01.2012;91.48769
17.01.2012;91.62835000000001
18.01.2012;91.82929000000001
19.01.2012;91.55802
20.01.2012;91.39727
23.01.2012;91.49774000000001
24.01.2012;91.13605000000001
25.01.2012;90.91501
26.01.2012;91.01548000000001
27.01.2012;91.06572
30.01.2012;90.68393
31.01.2012;90.37248
01.02.2012;90.32224000000001
02.02.2012;90.76431000000001
03.02.2012;91.08581000000001
06.02.2012;91.33698000000001
07.02.2012;91.71877
08.02.2012;91.4475
09.02.2012;91.2968
10.02.2012;91.18628000000001
13.02.2012;91.06572
14.02.2012;91.19633
15.02.2012;91.52788000000001
16.02.2012;91.86947
17.02.2012;91.96994000000001
20.02.2012;92.14074000000001
21.02.2012;92.26131000000001
22.02.2012;92.14074000000001
23.02.2012;91.91971000000001
24.02.2012;91.68863
27.02.2012;91.36713
28.02.2012;91.22647
29.02.2012;91.54797
01.03.2012;91.99004000000001
02.03.2012;92.40196
05.03.2012;93.07511
06.03.2012;92.74356
07.03.2012;91.85943
08.03.2012;91.50778000000001
09.03.2012;92.14074000000001
12.03.2012;93.1153
13.03.2012;93.04497
14.03.2012;93.73821000000001
15.03.2012;94.63239
16.03.2012;94.47164000000001
19.03.2012;94.45154000000001
20.03.2012;94.26065
21.03.2012;93.55736000000002
22.03.2012;93.6076
23.03.2012;93.21577
26.03.2012;92.68328000000001
27.03.2012;93.16553
28.03.2012;93.78844000000001
29.03.2012;93.34638000000001
30.03.2012;92.75361000000001
02.04.2012;92.80384000000001
03.04.2012;93.34638000000001
04.04.2012;93.84873
05.04.2012;93.55736000000002
10.04.2012;93.25596000000002
11.04.2012;92.51248000000001
12.04.2012;91.66853
13.04.2012;92.23116
16.04.2012;92.71342
17.04.2012;92.54262
18.04.2012;92.53257
19.04.2012;93.01483
20.04.2012;92.99473
23.04.2012;92.75361000000001
24.04.2012;92.36178000000001
25.04.2012;92.00008000000001
26.04.2012;92.31154000000001
27.04.2012;92.95455
30.04.2012;93.23586
02.05.2012;93.35643
03.05.2012;93.61765000000001
04.05.2012;93.74826000000002
07.05.2012;93.15549
08.05.2012;92.96459
09.05.2012;92.71342
10.05.2012;92.24121000000001
11.05.2012;92.18093
14.05.2012;92.12065000000001
15.05.2012;91.72882
16.05.2012;91.52788000000001
18.05.2012;91.19633
21.05.2012;90.38252
22.05.2012;89.86008000000001
23.05.2012;90.42271
24.05.2012;90.25191000000001
25.05.2012;90.60356000000002
29.05.2012;90.84468000000001
30.05.2012;91.04562
31.05.2012;91.23651000000001
01.06.2012;91.13605000000001
04.06.2012;90.93511000000001
05.06.2012;90.33229
06.06.2012;90.35238000000001
07.06.2012;90.48299
08.06.2012;90.4629
11.06.2012;90.56337
12.06.2012;90.65379000000001
13.06.2012;90.37248
14.06.2012;90.1414
15.06.2012;89.94046
18.06.2012;90.08111000000001
19.06.2012;90.24187
20.06.2012;90.43276
21.06.2012;90.28205000000001
22.06.2012;90.2921
25.06.2012;90.26196
26.06.2012;90.1414
27.06.2012;90.30215
28.06.2012;90.66384000000001
29.06.2012;90.65379000000001
02.07.2012;90.86478
03.07.2012;91.01548000000001
04.07.2012;91.54797
05.07.2012;91.66853
06.07.2012;92.1106
09.07.2012;92.26131000000001
10.07.2012;92.17088000000001
11.07.2012;92.55267
12.07.2012;92.65314000000001
13.07.2012;92.54262
16.07.2012;93.00478000000001
17.07.2012;93.17558000000001
18.07.2012;93.24591000000001
19.07.2012;93.63774000000001
20.07.2012;93.89896
23.07.2012;93.83868000000001
24.07.2012;93.31624000000001
25.07.2012;93.24591000000001
26.07.2012;93.0952
27.07.2012;93.22581000000001
30.07.2012;93.42675000000001
31.07.2012;93.98938000000001
01.08.2012;94.20037
02.08.2012;94.0999
03.08.2012;94.08985000000001
06.08.2012;94.30084000000001
07.08.2012;94.18028000000001
08.08.2012;94.04967
09.08.2012;94.24056000000002
10.08.2012;94.58216
13.08.2012;94.64244000000001
14.08.2012;94.25061
15.08.2012;94.51183
16.08.2012;94.72281000000001
17.08.2012;94.53192000000001
20.08.2012;94.48169000000001
21.08.2012;94.4415
22.08.2012;93.97934000000001
23.08.2012;93.38657
24.08.2012;93.0952
27.08.2012;93.07511
28.08.2012;93.17558000000001
29.08.2012;92.73351000000001
30.08.2012;92.72347
31.08.2012;92.48234000000001
03.09.2012;92.39192000000001
04.09.2012;92.65314000000001
05.09.2012;92.33163
06.09.2012;92.35173
07.09.2012;93.02488
10.09.2012;92.88422000000001
11.09.2012;92.56271000000001
12.09.2012;92.44215000000001
13.09.2012;92.44215000000001
14.09.2012;92.38187
17.09.2012;92.56271000000001
18.09.2012;92.35173
19.09.2012;92.46225
20.09.2012;92.79379
21.09.2012;92.99473
24.09.2012;93.08516
25.09.2012;93.20572
26.09.2012;93.27605
27.09.2012;92.72347
28.09.2012;92.86412000000001
01.10.2012;92.92441000000001
02.10.2012;93.04497
04.10.2012;93.15549
05.10.2012;93.24591000000001
08.10.2012;93.4368
09.10.2012;93.06506000000002
10.10.2012;93.1153
11.10.2012;92.71342
12.10.2012;92.623
15.10.2012;92.58281
16.10.2012;92.56271000000001
17.10.2012;92.80384000000001
18.10.2012;92.98469
19.10.2012;93.22581000000001
22.10.2012;93.00478000000001
23.10.2012;92.78375
24.10.2012;92.4321
25.10.2012;92.40196
26.10.2012;92.55267
29.10.2012;92.33163
30.10.2012;92.24121000000001
31.10.2012;92.14074000000001
01.11.2012;92.16084000000001
02.11.2012;92.47229
05.11.2012;93.25596000000002
06.11.2012;93.39661000000001
07.11.2012;93.6076
08.11.2012;93.66788000000001
09.11.2012;93.27605
12.11.2012;92.9445
13.11.2012;92.76365
14.11.2012;92.6029
15.11.2012;92.34168
16.11.2012;91.58816000000002
19.11.2012;91.50778000000001
20.11.2012;91.84938
21.11.2012;91.82929000000001
22.11.2012;91.87952000000001
23.11.2012;91.96994000000001
26.11.2012;91.9398
27.11.2012;91.91971000000001
28.11.2012;92.20102000000001
29.11.2012;92.1307
30.11.2012;92.36178000000001
03.12.2012;92.57276000000002
04.12.2012;92.54262
05.12.2012;92.37182000000001
06.12.2012;92.57276000000002
07.12.2012;93.17558000000001
10.12.2012;93.58751000000001
11.12.2012;93.64779
12.12.2012;93.73821000000001
13.12.2012;93.82863
14.12.2012;93.53727
17.12.2012;93.41671000000001
18.12.2012;93.08516
19.12.2012;93.39661000000001
20.12.2012;93.50713
21.12.2012;93.57746
27.12.2012;93.35643
28.12.2012;93.35643
02.01.2013;93.49708000000001
03.01.2013;94.8508
04.01.2013;95.66908000000001
07.01.2013;96.08328
08.01.2013;96.12369000000001
09.01.2013;96.13379
10.01.2013;96.13379
11.01.2013;96.06308000000001
14.01.2013;95.37612000000001
15.01.2013;95.51755000000001
16.01.2013;95.40642000000001
17.01.2013;95.56806
18.01.2013;95.74990000000001
21.01.2013;96.24492000000001
22.01.2013;96.31563
23.01.2013;96.23481000000001
24.01.2013;96.27522
25.01.2013;96.43686000000001
28.01.2013;96.32574
29.01.2013;96.29543000000001
30.01.2013;96.44696
31.01.2013;96.37625000000001
01.02.2013;95.88123000000002
04.02.2013;96.14389
05.02.2013;96.21461000000001
06.02.2013;95.82062
07.02.2013;95.99236
08.02.2013;96.09338000000001
11.02.2013;96.47727
12.02.2013;96.64901
13.02.2013;96.5985
14.02.2013;97.08341000000001
15.02.2013;97.53802
18.02.2013;97.60873000000001
19.02.2013;97.4572
20.02.2013;97.82088
21.02.2013;98.3361
22.02.2013;97.59863000000001
25.02.2013;97.91180000000001
26.02.2013;98.17446000000001
27.02.2013;97.52791
28.02.2013;97.77037000000001
01.03.2013;98.68968000000001
04.03.2013;98.87152
05.03.2013;98.83111000000001
06.03.2013;99.40695
07.03.2013;100.00298000000001
08.03.2013;99.86155000000001
11.03.2013;100.10401000000002
12.03.2013;100.32626
13.03.2013;100.50810000000001
14.03.2013;100.52831
15.03.2013;100.9425
18.03.2013;101.05363
19.03.2013;100.90209
20.03.2013;100.89199
21.03.2013;100.75056000000001
22.03.2013;100.40708000000001
25.03.2013;99.6191
26.03.2013;100.29595
27.03.2013;100.68994
28.03.2013;100.87179
02.04.2013;101.06373
03.04.2013;101.73048
04.04.2013;101.51833
05.04.2013;100.9324
08.04.2013;99.50797
09.04.2013;99.39684
10.04.2013;99.26551
11.04.2013;99.74032
12.04.2013;100.83138000000001
15.04.2013;100.88189
16.04.2013;100.60912
17.04.2013;99.77063000000001
18.04.2013;99.58879
19.04.2013;99.34633000000001
22.04.2013;99.28572000000001
23.04.2013;100.01309
24.04.2013;100.97281000000001
25.04.2013;101.75069
26.04.2013;101.72038
29.04.2013;101.82140000000001
30.04.2013;101.82140000000001
02.05.2013;102.00325000000001
03.05.2013;101.88202000000001
06.05.2013;102.30632000000001
07.05.2013;102.6599
08.05.2013;102.95287000000002
10.05.2013;103.15491
13.05.2013;103.66003
14.05.2013;103.92268999999999
15.05.2013;104.37729
16.05.2013;105.32691
17.05.2013;105.34712
21.05.2013;105.7108
22.05.2013;105.66029000000002
23.05.2013;105.80172
24.05.2013;103.64993
27.05.2013;103.26604
28.05.2013;103.45798
29.05.2013;104.37729
30.05.2013;103.51859999999999
31.05.2013;103.1145
03.06.2013;102.40734
04.06.2013;101.14455000000001
05.06.2013;101.33649000000001
06.06.2013;100.30605000000001
07.06.2013;99.12408
10.06.2013;99.35644
11.06.2013;99.97268000000001
12.06.2013;99.14429000000001
13.06.2013;98.85132
14.06.2013;98.09364000000001
17.06.2013;98.75030000000001
18.06.2013;99.03316000000001
19.06.2013;99.05337
20.06.2013;99.12408
21.06.2013;98.11385000000001
24.06.2013;97.32587000000001
25.06.2013;96.53788
26.06.2013;96.42676
27.06.2013;97.17433
28.06.2013;97.98252000000001
01.07.2013;98.14416
02.07.2013;98.25528000000001
03.07.2013;98.38661
04.07.2013;98.16436
05.07.2013;98.45733000000001
08.07.2013;98.87152
09.07.2013;99.08367
10.07.2013;99.44736
11.07.2013;99.65951000000001
12.07.2013;99.64940000000001
15.07.2013;99.89186000000001
16.07.2013;99.93227000000002
17.07.2013;99.84135
18.07.2013;99.58879
19.07.2013;100.0535
22.07.2013;100.09391000000001
23.07.2013;100.11411000000001
24.07.2013;100.12421
25.07.2013;100.04339
26.07.2013;99.91206
29.07.2013;99.91206
30.07.2013;99.92217000000001
31.07.2013;100.01309
01.08.2013;100.16462000000001
02.08.2013;100.64953000000001
05.08.2013;100.9425
06.08.2013;101.09404
07.08.2013;100.89199
08.08.2013;100.39698
09.08.2013;100.59902
12.08.2013;100.79097000000002
13.08.2013;100.86168
14.08.2013;101.11424
15.08.2013;101.33649000000001
16.08.2013;100.82127000000001
19.08.2013;100.28585000000001
20.08.2013;100.12421
21.08.2013;99.64940000000001
22.08.2013;99.62920000000001
23.08.2013;99.90196
26.08.2013;100.36667
27.08.2013;100.31616000000001
28.08.2013;99.52817
29.08.2013;98.59876000000001
30.08.2013;99.28572000000001
02.09.2013;99.1847
03.09.2013;99.65951000000001
04.09.2013;99.93227000000002
05.09.2013;99.86155000000001
06.09.2013;100.34646000000001
09.09.2013;100.41718
10.09.2013;100.57882000000001
11.09.2013;101.13445000000002
12.09.2013;101.44762
13.09.2013;101.47793000000001
16.09.2013;101.55874
17.09.2013;102.02345000000001
18.09.2013;101.93253
19.09.2013;101.99314000000001
20.09.2013;102.2356
23.09.2013;101.96284000000001
24.09.2013;101.66987
25.09.2013;101.64966
26.09.2013;101.61936
27.09.2013;101.56885
30.09.2013;101.64966
01.10.2013;101.21526
02.10.2013;101.58905
04.10.2013;101.33649000000001
07.10.2013;101.16475000000001
08.10.2013;101.05363
09.10.2013;100.75056000000001
10.10.2013;100.0535
11.10.2013;101.03342
14.10.2013;101.72038
15.10.2013;101.8012
16.10.2013;102.59928000000001
17.10.2013;102.60939000000002
18.10.2013;103.07409000000001
21.10.2013;103.45798
22.10.2013;103.93279000000001
23.10.2013;104.06412
24.10.2013;103.94289000000002
25.10.2013;103.98330000000001
28.10.2013;104.05402
29.10.2013;104.02371000000001
30.10.2013;104.05402
31.10.2013;104.3975
01.11.2013;104.4177
04.11.2013;104.52883
05.11.2013;104.90262000000001
06.11.2013;104.96323000000001
07.11.2013;105.19558
08.11.2013;105.21579
11.11.2013;104.76118
12.11.2013;105.20569
13.11.2013;104.99354000000001
14.11.2013;104.47832000000001
15.11.2013;105.05415
18.11.2013;105.2865
19.11.2013;105.46835000000002
20.11.2013;105.18548000000001
21.11.2013;105.07436000000001
22.11.2013;105.00364
25.11.2013;105.14507000000002
26.11.2013;105.42793999999999
27.11.2013;105.2865
28.11.2013;105.29661000000002
29.11.2013;105.60978
02.12.2013;105.70070000000001
03.12.2013;105.61988
04.12.2013;104.99354000000001
05.12.2013;104.34699
06.12.2013;103.85197000000001
09.12.2013;103.76105000000001
10.12.2013;104.16515
11.12.2013;104.17525
12.12.2013;103.86207999999999
13.12.2013;103.10440000000001
16.12.2013;102.88215000000001
17.12.2013;103.15491
18.12.2013;103.33675000000001
19.12.2013;103.51859999999999
20.12.2013;104.53893000000001
23.12.2013;104.92282
27.12.2013;105.22589
30.12.2013;105.59967999999999
02.01.2014;106.22602
03.01.2014;106.07449
06.01.2014;106.24623
07.01.2014;106.36745000000002
08.01.2014;106.55940000000001
09.01.2014;106.92308000000001
10.01.2014;106.93318
13.01.2014;107.0039
14.01.2014;107.31707
15.01.2014;107.05441000000002
16.01.2014;107.73127
17.01.2014;108.13535999999999
20.01.2014;108.2869
21.01.2014;108.42833000000002
22.01.2014;108.51925000000001
23.01.2014;108.56976
24.01.2014;108.16567
27.01.2014;106.76144
28.01.2014;105.2663
29.01.2014;105.64009000000001
30.01.2014;106.11489999999999
31.01.2014;105.7108
03.02.2014;106.02397000000002
04.02.2014;105.82193000000001
05.02.2014;104.91272
06.02.2014;105.16528000000001
07.02.2014;105.30671000000001
10.02.2014;105.93305000000001
11.02.2014;106.10479000000001
12.02.2014;106.50889000000001
13.02.2014;107.13523
14.02.2014;107.19584
17.02.2014;107.53932
18.02.2014;107.8828
19.02.2014;107.85250000000002
20.02.2014;107.96361999999999
21.02.2014;107.93332000000001
24.02.2014;108.19598000000002
25.02.2014;108.29700000000001
26.02.2014;108.58997
27.02.2014;108.66068000000001
28.02.2014;108.52935000000001
03.03.2014;108.69099000000001
04.03.2014;108.16567
05.03.2014;108.13535999999999
06.03.2014;109.05467000000002
07.03.2014;108.92334000000001
10.03.2014;108.90314000000001
11.03.2014;108.23639000000001
12.03.2014;108.24649
13.03.2014;107.95352000000001
14.03.2014;107.41810000000001
17.03.2014;106.77155
18.03.2014;106.80185
19.03.2014;107.53932
20.03.2014;107.90301
21.03.2014;107.59994
24.03.2014;107.57973
25.03.2014;107.21605
26.03.2014;107.13523
27.03.2014;107.70096000000001
28.03.2014;107.75147
31.03.2014;108.05454
01.04.2014;108.12526000000001
02.04.2014;108.56976
03.04.2014;108.71119000000002
04.04.2014;108.7415
07.04.2014;108.85263
08.04.2014;108.64048000000001
09.04.2014;107.99393
10.04.2014;108.22628
11.04.2014;108.31720000000001
14.04.2014;107.65045
15.04.2014;107.22615000000002
16.04.2014;107.54943000000002
17.04.2014;107.76158000000001
22.04.2014;108.25659000000002
23.04.2014;108.62027
24.04.2014;108.85263
25.04.2014;108.84253000000001
28.04.2014;108.7213
29.04.2014;108.48894000000001
30.04.2014;108.81222000000001
02.05.2014;108.92334000000001
05.05.2014;108.80212
06.05.2014;108.85263
07.05.2014;108.75160000000001
08.05.2014;108.85263
09.05.2014;109.24662000000001
12.05.2014;109.46887
13.05.2014;109.48907
14.05.2014;109.85275999999999
15.05.2014;110.14573000000001
16.05.2014;109.77194
19.05.2014;109.55979
20.05.2014;109.40826
21.05.2014;109.13549
22.05.2014;109.34764000000001
23.05.2014;109.77194
26.05.2014;109.87295999999999
27.05.2014;110.0548
28.05.2014;110.26695000000001
30.05.2014;110.4791
02.06.2014;110.43869000000001
03.06.2014;110.77207000000001
04.06.2014;110.63064
05.06.2014;110.36797999999999
06.06.2014;110.67105
10.06.2014;111.37821
11.06.2014;111.58026000000001
12.06.2014;111.52974999999999
13.06.2014;111.53985
16.06.2014;111.45903000000001
17.06.2014;111.29739000000001
18.06.2014;111.22668000000002
19.06.2014;111.27719
20.06.2014;111.50954
23.06.2014;111.74189
24.06.2014;111.59036000000002
25.06.2014;111.72169
26.06.2014;111.01453
27.06.2014;111.35801
30.06.2014;111.38831
01.07.2014;111.26708000000002
02.07.2014;111.56005
03.07.2014;111.90353
04.07.2014;112.16619000000001
07.07.2014;112.23691
08.07.2014;112.13589
09.07.2014;111.65097000000002
10.07.2014;111.41862000000002
11.07.2014;111.3378
14.07.2014;111.3378
15.07.2014;111.53985
16.07.2014;111.62067
17.07.2014;112.13589
18.07.2014;112.40865
21.07.2014;112.06517
22.07.2014;112.10558000000002
23.07.2014;112.87336
24.07.2014;113.23704000000001
25.07.2014;113.30776000000002
28.07.2014;113.11581000000001
29.07.2014;112.98448000000002
30.07.2014;113.00469000000001
31.07.2014;112.93397
01.08.2014;112.39855
04.08.2014;111.03473
05.08.2014;111.12565000000001
06.08.2014;111.38831
07.08.2014;110.89330000000001
08.08.2014;110.77207000000001
11.08.2014;110.10532
12.08.2014;110.95391000000001
13.08.2014;111.20647
14.08.2014;111.38831
15.08.2014;111.57015
18.08.2014;111.50954
19.08.2014;111.75200000000001
20.08.2014;112.55008000000001
21.08.2014;112.62080000000002
22.08.2014;112.84305
25.08.2014;112.96428000000002
26.08.2014;113.12591
27.08.2014;113.40878000000001
28.08.2014;113.66134
29.08.2014;113.63103000000001
01.09.2014;113.74216
02.09.2014;113.99471000000001
03.09.2014;114.03512
04.09.2014;114.32809
05.09.2014;114.98474000000002
08.09.2014;114.96454000000001
09.09.2014;115.10597000000001
10.09.2014;115.00495000000001
11.09.2014;114.32809
12.09.2014;114.30789
15.09.2014;114.04523
16.09.2014;113.62093
17.09.2014;113.37847
18.09.2014;113.77246000000001
19.09.2014;113.94420000000001
22.09.2014;114.46952000000002
23.09.2014;113.99471000000001
24.09.2014;113.42898000000001
25.09.2014;113.49970000000002
26.09.2014;113.64113
29.09.2014;113.13602000000002
30.09.2014;113.54011000000001
01.10.2014;113.58052
02.10.2014;113.49970000000002
06.10.2014;112.79254000000002
07.10.2014;113.16632
08.10.2014;112.72182000000001
09.10.2014;111.80251000000001
10.10.2014;112.12578000000002
13.10.2014;111.46913
14.10.2014;110.63064
15.10.2014;109.99419
16.10.2014;109.6002
17.10.2014;108.48894000000001
20.10.2014;108.79201
21.10.2014;109.32744000000001
22.10.2014;109.65071
23.10.2014;110.39828
24.10.2014;110.52961
27.10.2014;110.52961
28.10.2014;110.57002
29.10.2014;110.4488
30.10.2014;110.78217000000001
31.10.2014;111.21657
03.11.2014;111.97425000000001
04.11.2014;112.06517
05.11.2014;111.87322
06.11.2014;111.91363
07.11.2014;112.11568
10.11.2014;112.04496
11.11.2014;112.20660000000001
12.11.2014;112.41875
13.11.2014;111.98435
14.11.2014;112.09548000000001
17.11.2014;111.93384000000002
18.11.2014;111.80251000000001
19.11.2014;112.01466
20.11.2014;111.86312000000001
21.11.2014;111.63077000000001
24.11.2014;112.86325
25.11.2014;112.72182000000001
26.11.2014;112.36824
27.11.2014;112.44906000000002
28.11.2014;112.77233000000001
01.12.2014;113.08550000000001
02.12.2014;112.61069
03.12.2014;112.99458
04.12.2014;113.63103000000001
05.12.2014;112.70162
08.12.2014;113.62093
09.12.2014;113.35827
10.12.2014;111.88333
11.12.2014;112.00455
12.12.2014;111.91363
15.12.2014;110.57002
16.12.2014;110.00429
17.12.2014;109.65071
18.12.2014;109.96388
19.12.2014;112.34803
22.12.2014;113.10571
23.12.2014;113.30776000000002
29.12.2014;114.11594000000001
30.12.2014;114.18666000000002
02.01.2015;113.99471000000001
05.01.2015;114.00482
06.01.2015;113.99471000000001
07.01.2015;113.47950000000002
08.01.2015;114.53014000000002
09.01.2015;116.03539
