Date;Value
27.12.2007;100
28.12.2007;99.57000000000001
31.12.2007;99.43
02.01.2008;98.98
03.01.2008;98.9
04.01.2008;97.45
07.01.2008;96.41000000000001
08.01.2008;96.18
09.01.2008;94.87
10.01.2008;94.12
11.01.2008;93.07000000000001
14.01.2008;93.44
15.01.2008;92.30000000000001
16.01.2008;92
17.01.2008;91.32000000000001
18.01.2008;91.36000000000001
21.01.2008;89.42000000000002
22.01.2008;88.99000000000001
23.01.2008;88.75
24.01.2008;90.24000000000001
25.01.2008;91.04
28.01.2008;90.30000000000001
29.01.2008;91.75
30.01.2008;91.4
31.01.2008;91.74000000000001
01.02.2008;93.23
04.02.2008;93.91000000000001
05.02.2008;92.28
06.02.2008;92.30000000000001
07.02.2008;91.83
08.02.2008;91.87
11.02.2008;91.86000000000001
12.02.2008;93.32000000000001
13.02.2008;94.31
14.02.2008;94.23
15.02.2008;93.36000000000001
18.02.2008;93.79
19.02.2008;93.48
20.02.2008;93.36000000000001
21.02.2008;93.57000000000001
22.02.2008;93.58
25.02.2008;94.46000000000001
26.02.2008;94.71000000000001
27.02.2008;94.43
28.02.2008;93.73
29.02.2008;92.59
03.03.2008;91.83
04.03.2008;90.88
05.03.2008;91.18
06.03.2008;90.34
07.03.2008;89.4
10.03.2008;87.83
11.03.2008;89.27000000000001
12.03.2008;89.9
13.03.2008;89.25
14.03.2008;88.06
17.03.2008;85.43
18.03.2008;86.98
19.03.2008;86.2
20.03.2008;86.2
25.03.2008;87.74000000000001
26.03.2008;87.37
27.03.2008;88.04
28.03.2008;87.19
31.03.2008;87.65
01.04.2008;89.68
02.04.2008;89.72000000000001
03.04.2008;89.67000000000002
04.04.2008;89.4
07.04.2008;89.27000000000001
08.04.2008;88.98
09.04.2008;87.92000000000002
10.04.2008;88.01
11.04.2008;87.08
14.04.2008;86.52000000000001
15.04.2008;86.72000000000001
16.04.2008;87.65
17.04.2008;87.23
18.04.2008;88.17000000000002
21.04.2008;87.39
22.04.2008;86.98
23.04.2008;87.58
24.04.2008;88
25.04.2008;89.08
28.04.2008;89.39
29.04.2008;89.04
30.04.2008;89.31
02.05.2008;91.2
05.05.2008;91.18
06.05.2008;90.89
07.05.2008;91.49000000000001
08.05.2008;91.27000000000001
09.05.2008;90.59
13.05.2008;90.46000000000001
14.05.2008;90.34
15.05.2008;90.71000000000001
16.05.2008;91.04
19.05.2008;91.95
20.05.2008;91.04
21.05.2008;90.11000000000001
22.05.2008;90.66000000000001
23.05.2008;90.02000000000001
26.05.2008;89.91000000000001
27.05.2008;90.26
28.05.2008;91.67000000000002
29.05.2008;92.28
30.05.2008;92.91000000000001
02.06.2008;92.44
03.06.2008;93.19
04.06.2008;93.30000000000001
05.06.2008;93.64
06.06.2008;91.94
09.06.2008;91.29
10.06.2008;91.05000000000001
11.06.2008;89.60000000000001
12.06.2008;89.42000000000002
13.06.2008;90.62
16.06.2008;90.30000000000001
17.06.2008;90.21000000000001
18.06.2008;89.31
19.06.2008;89.12
20.06.2008;87.48
24.06.2008;85.93
25.06.2008;86.85000000000001
26.06.2008;84.65
27.06.2008;85.06
30.06.2008;84.99000000000001
01.07.2008;84
02.07.2008;81.77000000000001
03.07.2008;81.45
04.07.2008;81.30000000000001
07.07.2008;81.71000000000001
08.07.2008;81.48
09.07.2008;81.21000000000001
10.07.2008;80.25
11.07.2008;79.02000000000001
14.07.2008;78.92000000000002
15.07.2008;77.76
16.07.2008;79.23
17.07.2008;80.65
18.07.2008;80.96000000000001
21.07.2008;82.58
22.07.2008;83.34
23.07.2008;84.23
24.07.2008;82.60000000000001
25.07.2008;82.57000000000001
28.07.2008;81.80000000000001
29.07.2008;82.17000000000002
30.07.2008;83.52000000000001
31.07.2008;83.46000000000001
01.08.2008;82.82000000000001
04.08.2008;81.5
05.08.2008;83.22000000000001
06.08.2008;84.62
07.08.2008;85.04
08.08.2008;86.93
11.08.2008;87.48
12.08.2008;87.11000000000001
13.08.2008;86.4
14.08.2008;86.79
18.08.2008;87.25
19.08.2008;86.25
20.08.2008;86.21000000000001
