Date;Value
10.09.2007;100
11.09.2007;100.33
12.09.2007;100.83
13.09.2007;101.11000000000001
14.09.2007;100.53
17.09.2007;99.65
18.09.2007;101.35000000000001
19.09.2007;102.45
20.09.2007;101.21000000000001
21.09.2007;101.04
24.09.2007;100.91000000000001
25.09.2007;99.93
26.09.2007;100.56
27.09.2007;100.34
28.09.2007;100.24000000000001
01.10.2007;101.54
02.10.2007;103.15
03.10.2007;103.00999999999999
04.10.2007;102.61
05.10.2007;103.91
08.10.2007;104.56
09.10.2007;105.10000000000001
10.10.2007;104.75999999999999
11.10.2007;104.33
12.10.2007;104.69000000000001
15.10.2007;104.24000000000001
16.10.2007;103.37
17.10.2007;104.4
18.10.2007;103.93
19.10.2007;102.75999999999999
22.10.2007;102.52000000000001
23.10.2007;103.37
24.10.2007;103.21
25.10.2007;103.58
26.10.2007;103.34000000000002
29.10.2007;104.41
30.10.2007;104.4
31.10.2007;104.86
02.11.2007;102.24000000000001
05.11.2007;101.75
06.11.2007;102.66
07.11.2007;100.82000000000001
08.11.2007;100.80000000000001
09.11.2007;100.42000000000002
12.11.2007;100.05000000000001
13.11.2007;100.07000000000001
14.11.2007;100.42000000000002
15.11.2007;99.71000000000001
16.11.2007;99.88
19.11.2007;98.01
20.11.2007;97.16000000000001
21.11.2007;95.45
22.11.2007;95.22000000000001
23.11.2007;96.41000000000001
26.11.2007;95.64
27.11.2007;95.77000000000001
28.11.2007;97.14
29.11.2007;97.69
30.11.2007;98.17000000000002
03.12.2007;97.49000000000001
04.12.2007;96.52000000000001
05.12.2007;97.9
06.12.2007;99.15
07.12.2007;99.04
10.12.2007;98.95
11.12.2007;98.51
12.12.2007;98.47000000000001
13.12.2007;97.51
14.12.2007;97.12
17.12.2007;95.43
18.12.2007;95.86000000000001
19.12.2007;95.79
20.12.2007;96.38
21.12.2007;98.21000000000001
24.12.2007;98.48
27.12.2007;97.38
28.12.2007;97.07000000000001
31.12.2007;97.39
02.01.2008;96.29
03.01.2008;96.12
04.01.2008;94.45
07.01.2008;93.86000000000001
08.01.2008;92.92000000000002
09.01.2008;92.4
10.01.2008;92.14
11.01.2008;90.27000000000001
14.01.2008;90.16000000000001
15.01.2008;88.32000000000001
16.01.2008;87.99000000000001
17.01.2008;87.05000000000001
18.01.2008;86.45
21.01.2008;84.41000000000001
22.01.2008;82.93
23.01.2008;83.55000000000001
24.01.2008;84.18
25.01.2008;84.95
28.01.2008;85.35000000000001
29.01.2008;86.26
30.01.2008;85.41000000000001
31.01.2008;86.60000000000001
01.02.2008;88.30000000000001
04.02.2008;88.64
05.02.2008;87.27000000000001
06.02.2008;87.33
07.02.2008;87.31
08.02.2008;86.87
11.02.2008;86.82000000000001
12.02.2008;87.62
13.02.2008;88.87
14.02.2008;88.23
15.02.2008;87.17000000000002
18.02.2008;87.67000000000002
19.02.2008;87.44
20.02.2008;87.59
21.02.2008;87.33
22.02.2008;87.38
25.02.2008;88.62
26.02.2008;89.23
27.02.2008;88.78
28.02.2008;88.26
29.02.2008;86.82000000000001
03.03.2008;85.49000000000001
04.03.2008;84.77000000000001
05.03.2008;85.01
06.03.2008;83.79
07.03.2008;82.62
10.03.2008;81.19
11.03.2008;83.15
12.03.2008;82.9
13.03.2008;83.2
14.03.2008;81.74000000000001
17.03.2008;79.37
18.03.2008;80.26
19.03.2008;79.60000000000001
20.03.2008;79.21000000000001
25.03.2008;80.84
26.03.2008;80.06
27.03.2008;80.35000000000001
28.03.2008;79.79
31.03.2008;80.43
01.04.2008;82.72000000000001
02.04.2008;82.71000000000001
03.04.2008;82.85000000000001
04.04.2008;82.59
07.04.2008;82.79
08.04.2008;82.80000000000001
09.04.2008;81.62
10.04.2008;81.76
11.04.2008;80.81
14.04.2008;80.17000000000002
15.04.2008;80.64
16.04.2008;81.58
17.04.2008;80.9
18.04.2008;82.07000000000001
21.04.2008;81.22000000000001
22.04.2008;80.66000000000001
23.04.2008;81.17000000000002
24.04.2008;82.07000000000001
25.04.2008;83.16000000000001
28.04.2008;83.73
29.04.2008;84.10000000000001
30.04.2008;84.13
02.05.2008;85.59
05.05.2008;85.25
06.05.2008;85.35000000000001
07.05.2008;86.02000000000001
08.05.2008;86
09.05.2008;85.06
13.05.2008;85.55000000000001
14.05.2008;85.60000000000001
15.05.2008;85.7
16.05.2008;85.31
19.05.2008;85.66000000000001
20.05.2008;84.77000000000001
21.05.2008;84.24000000000001
22.05.2008;84.54
23.05.2008;83.51
26.05.2008;83.18
27.05.2008;83.85000000000001
28.05.2008;84.68
29.05.2008;85.56
30.05.2008;86.24000000000001
02.06.2008;85.81
03.06.2008;86.14
04.06.2008;86.26
05.06.2008;86.69
06.06.2008;84.9
09.06.2008;84.56
10.06.2008;84.42000000000002
11.06.2008;82.74000000000001
12.06.2008;82.42000000000002
13.06.2008;83.01
16.06.2008;82.72000000000001
17.06.2008;82.85000000000001
18.06.2008;82.30000000000001
19.06.2008;82.06
20.06.2008;80.16000000000001
24.06.2008;78.71000000000001
25.06.2008;79.34
26.06.2008;77.26
27.06.2008;76.87
30.06.2008;76.77000000000001
01.07.2008;76.42999999999999
02.07.2008;73.95
03.07.2008;73.77000000000001
04.07.2008;73.48
07.07.2008;73.96000000000001
08.07.2008;74.26
09.07.2008;73.92
10.07.2008;73.23
11.07.2008;72.31
14.07.2008;72.02000000000001
15.07.2008;70.62
16.07.2008;71.79
17.07.2008;72.87
18.07.2008;73.2
21.07.2008;74.47000000000001
22.07.2008;75.53
23.07.2008;76.66000000000001
24.07.2008;75.48
25.07.2008;75.81
28.07.2008;74.59
29.07.2008;75.71000000000001
30.07.2008;76.12
31.07.2008;76.57000000000001
01.08.2008;76.06
04.08.2008;74.79
05.08.2008;76
06.08.2008;77.03
07.08.2008;78.01
08.08.2008;79.71000000000001
11.08.2008;80.69
12.08.2008;80.15
13.08.2008;79.91000000000001
14.08.2008;80.19
18.08.2008;80.34
19.08.2008;79.62
20.08.2008;79.47000000000001
21.08.2008;78.45
22.08.2008;79.28
25.08.2008;79.26
26.08.2008;79.67000000000002
27.08.2008;79.33
28.08.2008;80.45
29.08.2008;79.97000000000001
01.09.2008;80.19
02.09.2008;80.45
03.09.2008;79.66000000000001
04.09.2008;77.79
05.09.2008;76.77000000000001
08.09.2008;78
09.09.2008;76.83
10.09.2008;76.84
11.09.2008;76.97000000000001
12.09.2008;76.76
15.09.2008;74.73
16.09.2008;75.64
17.09.2008;73.89
18.09.2008;74.33
19.09.2008;76.87
22.09.2008;74.32000000000001
23.09.2008;73.16000000000001
24.09.2008;72.42999999999999
25.09.2008;73.32000000000001
26.09.2008;72.28
29.09.2008;68.45
30.09.2008;70.13
01.10.2008;69.91000000000001
02.10.2008;68.73
03.10.2008;67.75
