Date;Value
27.01.2003;100
28.01.2003;100
29.01.2003;100.01
30.01.2003;99.94
31.01.2003;99.98
03.02.2003;99.99000000000001
04.02.2003;100.11000000000001
05.02.2003;99.95
06.02.2003;99.94
07.02.2003;99.89
10.02.2003;99.56
11.02.2003;99.59
12.02.2003;99.65
13.02.2003;99.12
14.02.2003;98.93
17.02.2003;99.28
18.02.2003;100.09
19.02.2003;100.13
20.02.2003;99.60000000000001
21.02.2003;99.30000000000001
24.02.2003;99.56
25.02.2003;99.17000000000002
26.02.2003;98.57000000000001
27.02.2003;98.35000000000001
28.02.2003;98.84
03.03.2003;98.96000000000001
04.03.2003;99.03
05.03.2003;98.62
06.03.2003;98.42000000000002
07.03.2003;98.5
10.03.2003;98.25
11.03.2003;97.31
12.03.2003;97.21000000000001
13.03.2003;96.62
14.03.2003;97.15
17.03.2003;97.60000000000001
18.03.2003;98.05000000000001
19.03.2003;98.62
20.03.2003;99.54
21.03.2003;99.43
24.03.2003;101.25
25.03.2003;99.2
26.03.2003;99.93
27.03.2003;99.7
28.03.2003;99.02000000000001
31.03.2003;98.91000000000001
01.04.2003;97.29
02.04.2003;97.33
03.04.2003;99.22000000000001
04.04.2003;99.65
07.04.2003;100.59
08.04.2003;102.75999999999999
09.04.2003;102.37
10.04.2003;102.23
11.04.2003;101.39
14.04.2003;102.15
15.04.2003;102.89000000000001
16.04.2003;103.63
17.04.2003;103.25
22.04.2003;103.62
23.04.2003;104
24.04.2003;105
25.04.2003;104.25999999999999
28.04.2003;103.71
29.04.2003;105.09000000000002
30.04.2003;105
02.05.2003;104.99000000000001
05.05.2003;105.31
06.05.2003;106.25
07.05.2003;106.56
08.05.2003;106.57000000000001
09.05.2003;104.86
12.05.2003;105.00999999999999
13.05.2003;105.60000000000001
14.05.2003;105.2
15.05.2003;105.77000000000001
16.05.2003;106.89000000000001
19.05.2003;107.14000000000001
20.05.2003;105.7
21.05.2003;105.39000000000001
22.05.2003;104.79000000000002
23.05.2003;105.23
26.05.2003;105.16
27.05.2003;105.5
28.05.2003;105.21
30.05.2003;105.47000000000001
02.06.2003;105.46
03.06.2003;106.41
04.06.2003;106.15
05.06.2003;106.69000000000001
06.06.2003;106.68
10.06.2003;106.78
11.06.2003;106.77000000000001
12.06.2003;106.96
13.06.2003;107.65
16.06.2003;107.18
17.06.2003;107.84000000000002
18.06.2003;108.23
19.06.2003;108.36
20.06.2003;108.00999999999999
24.06.2003;107.27000000000001
25.06.2003;106.67000000000002
26.06.2003;107.18
27.06.2003;107.59000000000002
30.06.2003;107.64000000000001
01.07.2003;107.47000000000001
02.07.2003;107.00999999999999
03.07.2003;108.18
04.07.2003;107.88
07.07.2003;107.86
08.07.2003;109.94000000000001
09.07.2003;109.48
10.07.2003;108.85000000000001
11.07.2003;107.73
14.07.2003;108.57000000000001
15.07.2003;110.04000000000002
16.07.2003;109.36
17.07.2003;108.99000000000001
18.07.2003;108.88
21.07.2003;109.12
22.07.2003;108.36
23.07.2003;108.95
24.07.2003;109.23
25.07.2003;110.2
28.07.2003;109.83
29.07.2003;110.33
30.07.2003;110.33
31.07.2003;110.45
01.08.2003;111.53
04.08.2003;111.53
05.08.2003;111.54000000000002
06.08.2003;111.75999999999999
07.08.2003;111.11
08.08.2003;110.64000000000001
11.08.2003;111.82000000000001
12.08.2003;112.25999999999999
13.08.2003;112.64000000000001
14.08.2003;112.60000000000001
18.08.2003;113.79000000000002
19.08.2003;114.62
20.08.2003;114.65
21.08.2003;114.38
22.08.2003;114.91
25.08.2003;114.62
26.08.2003;113.9
27.08.2003;113.55000000000001
28.08.2003;114.21
29.08.2003;114.41
01.09.2003;114.73
02.09.2003;116.5
03.09.2003;116.04000000000002
04.09.2003;116.91
05.09.2003;116.97000000000001
08.09.2003;116.56
09.09.2003;117.30000000000001
10.09.2003;116.84000000000002
11.09.2003;116.61
12.09.2003;116.66
15.09.2003;115.64000000000001
16.09.2003;116.38
17.09.2003;116.75
18.09.2003;116.81
19.09.2003;117.04000000000002
22.09.2003;117.29000000000002
23.09.2003;115.75999999999999
24.09.2003;115.29000000000002
25.09.2003;114.49000000000001
26.09.2003;114.66
29.09.2003;113.82000000000001
30.09.2003;114.04000000000002
01.10.2003;113.39000000000001
02.10.2003;113.56
03.10.2003;113.52000000000001
06.10.2003;114.12
07.10.2003;114.52000000000001
08.10.2003;113.88
09.10.2003;114.56
10.10.2003;115.53
13.10.2003;115.60000000000001
14.10.2003;116.75999999999999
15.10.2003;116.50999999999999
16.10.2003;116.85000000000001
17.10.2003;116.92000000000002
20.10.2003;116.93
21.10.2003;117.27000000000001
22.10.2003;117.42000000000002
23.10.2003;116.55000000000001
24.10.2003;116.14000000000001
27.10.2003;116.03
28.10.2003;116.39000000000001
29.10.2003;117.33
30.10.2003;117.89000000000001
31.10.2003;117.88
03.11.2003;118.4
04.11.2003;119.49000000000001
05.11.2003;119.15
06.11.2003;118.88
07.11.2003;118.60000000000001
10.11.2003;119.41
11.11.2003;118.77000000000001
12.11.2003;118.60000000000001
13.11.2003;118.18
14.11.2003;117.96
17.11.2003;118.39000000000001
18.11.2003;117.23
19.11.2003;117.17000000000002
20.11.2003;116.9
21.11.2003;116.56
24.11.2003;116.77000000000001
25.11.2003;117.86
26.11.2003;118.41
27.11.2003;118.08
28.11.2003;118.47000000000001
01.12.2003;118.94000000000001
02.12.2003;119.73
03.12.2003;119.74000000000001
04.12.2003;119.96
05.12.2003;119.68
08.12.2003;119.41
09.12.2003;119.07000000000001
10.12.2003;119.09000000000002
11.12.2003;118.69000000000001
12.12.2003;119.10000000000001
15.12.2003;119.30000000000001
16.12.2003;119.42000000000002
17.12.2003;119.47000000000001
18.12.2003;119.77000000000001
19.12.2003;119.91
22.12.2003;119.69000000000001
23.12.2003;120.09000000000002
29.12.2003;120.53
30.12.2003;121.7
31.12.2003;121.71
02.01.2004;121.75999999999999
05.01.2004;122.93
06.01.2004;123.71
07.01.2004;123.63
08.01.2004;122.72000000000001
09.01.2004;122.82000000000001
12.01.2004;123.03
13.01.2004;122.80000000000001
14.01.2004;123.43
15.01.2004;124
16.01.2004;123.80000000000001
19.01.2004;124.24000000000001
20.01.2004;124.94000000000001
21.01.2004;124.64000000000001
22.01.2004;125.37
23.01.2004;125.59000000000002
26.01.2004;125.97000000000001
27.01.2004;126.28
28.01.2004;126.38
29.01.2004;126.49000000000001
30.01.2004;126.18
02.02.2004;126.18
03.02.2004;126.21
04.02.2004;126.21
05.02.2004;126.45
06.02.2004;126.37
09.02.2004;126.49000000000001
10.02.2004;127.56
11.02.2004;128.22
12.02.2004;128.58
13.02.2004;129.01
16.02.2004;128.73
17.02.2004;129.13
18.02.2004;129.38
19.02.2004;129.3
20.02.2004;129.79000000000002
23.02.2004;129.8
24.02.2004;130.35
25.02.2004;128.78
26.02.2004;128.85999999999999
27.02.2004;129.73
01.03.2004;130.60999999999999
02.03.2004;131.47
03.03.2004;132.04000000000002
04.03.2004;131.92000000000002
05.03.2004;132.63
08.03.2004;132.45000000000002
09.03.2004;133.26
10.03.2004;132.3
11.03.2004;132.10999999999999
12.03.2004;129.64000000000001
15.03.2004;129.28
16.03.2004;128.4
17.03.2004;127.68
18.03.2004;129.38
19.03.2004;128.81
22.03.2004;128.47
23.03.2004;126.87
24.03.2004;127.4
25.03.2004;127.88
26.03.2004;128.98
29.03.2004;129.63
30.03.2004;130.48
31.03.2004;130.48
01.04.2004;130.69000000000003
02.04.2004;131.46
05.04.2004;132.71
06.04.2004;133.58
07.04.2004;133.49
08.04.2004;133.62
13.04.2004;134.09
14.04.2004;134.78
15.04.2004;133.4
16.04.2004;133.79000000000002
19.04.2004;134.27
20.04.2004;134.4
21.04.2004;134.87
22.04.2004;134.45000000000002
