Date;Value
03.09.2008;100
04.09.2008;99.8852
05.09.2008;99.2815
08.09.2008;101.0826
09.09.2008;99.9461
10.09.2008;100.2737
11.09.2008;100.4053
12.09.2008;100.0505
15.09.2008;97.9852
16.09.2008;98.0969
17.09.2008;95.7973
18.09.2008;97.0781
19.09.2008;99.6403
22.09.2008;97.3703
23.09.2008;96.668
24.09.2008;96.504
25.09.2008;97.0515
26.09.2008;96.4694
29.09.2008;93.4142
30.09.2008;95.2802
01.10.2008;95.5873
02.10.2008;94.4582
03.10.2008;94.0197
06.10.2008;92.1285
07.10.2008;89.7164
08.10.2008;87.4903
09.10.2008;85.1171
10.10.2008;83.649
13.10.2008;89.5773
14.10.2008;88.3466
15.10.2008;83.642
16.10.2008;86.4507
17.10.2008;85.7174
20.10.2008;87.8071
21.10.2008;88.0935
22.10.2008;85.949
23.10.2008;85.2112
24.10.2008;83.9968
27.10.2008;81.9777
28.10.2008;85.6733
29.10.2008;85.3741
30.10.2008;87.3046
31.10.2008;88.7138
03.11.2008;89.5656
04.11.2008;90.464
05.11.2008;89.5311
06.11.2008;87.4818
07.11.2008;87.9175
10.11.2008;87.9937
11.11.2008;87.0231
12.11.2008;85.1976
13.11.2008;86.7545
14.11.2008;84.5975
17.11.2008;83.875
18.11.2008;83.7798
19.11.2008;81.6662
20.11.2008;79.1268
21.11.2008;80.6415
24.11.2008;82.3834
25.11.2008;82.4496
26.11.2008;84.4522
27.11.2008;84.4522
28.11.2008;85.8297
01.12.2008;81.7988
02.12.2008;83.5288
03.12.2008;84.3289
04.12.2008;82.7509
05.12.2008;84.4293
08.12.2008;85.5134
09.12.2008;84.8081
10.12.2008;85.4223
11.12.2008;83.3029
12.12.2008;83.8763
15.12.2008;82.3006
16.12.2008;83.362
17.12.2008;82.4722
18.12.2008;82.0354
19.12.2008;82.9649
22.12.2008;82.1306
23.12.2008;81.7496
24.12.2008;81.7619
29.12.2008;82.515
30.12.2008;83.3318
31.12.2008;84.5562
02.01.2009;85.9106
05.01.2009;86.5901
06.01.2009;87.474
07.01.2009;85.9814
08.01.2009;86.1146
09.01.2009;85.8864
12.01.2009;84.872
13.01.2009;85.2624
14.01.2009;83.6307
15.01.2009;83.8966
16.01.2009;83.7487
19.01.2009;83.7487
20.01.2009;81.9121
21.01.2009;83.3985
22.01.2009;82.4424
23.01.2009;82.3648
26.01.2009;82.2624
27.01.2009;83.0449
28.01.2009;84.7991
29.01.2009;83.5328
30.01.2009;83.3243
02.02.2009;82.9513
03.02.2009;82.9305
04.02.2009;83.4742
05.02.2009;84.3708
06.02.2009;85.2023
09.02.2009;84.8637
10.02.2009;83.12
11.02.2009;83.4577
12.02.2009;83.6058
13.02.2009;83.0493
16.02.2009;83.0493
17.02.2009;81.8079
18.02.2009;81.623
19.02.2009;80.7573
20.02.2009;79.4065
23.02.2009;78.2747
24.02.2009;79.2517
25.02.2009;78.7667
26.02.2009;78.3278
27.02.2009;78.0651
02.03.2009;76.2473
03.03.2009;75.6801
04.03.2009;76.7646
05.03.2009;75.2135
06.03.2009;74.802
09.03.2009;73.9764
10.03.2009;76.361
11.03.2009;76.0574
12.03.2009;77.3792
13.03.2009;77.7771
16.03.2009;77.702
17.03.2009;78.8693
18.03.2009;78.632
19.03.2009;78.124
20.03.2009;77.5978
23.03.2009;80.5497
24.03.2009;79.9573
25.03.2009;80.1301
26.03.2009;81.4425
27.03.2009;81.1067
30.03.2009;79.6018
31.03.2009;80.0867
01.04.2009;81.3452
02.04.2009;82.6608
03.04.2009;82.9947
06.04.2009;82.634
07.04.2009;81.9104
08.04.2009;82.4966
09.04.2009;84.7981
14.04.2009;84.1977
15.04.2009;85.144
16.04.2009;86.1341
17.04.2009;86.8796
20.04.2009;84.9853
21.04.2009;86.0175
22.04.2009;85.5923
23.04.2009;85.8566
24.04.2009;86.4864
27.04.2009;86.5
28.04.2009;85.903
29.04.2009;86.9437
30.04.2009;86.9707
05.05.2009;89.0467
06.05.2009;89.9163
07.05.2009;88.8651
08.05.2009;89.8207
11.05.2009;88.8207
12.05.2009;88.5636
13.05.2009;86.9847
14.05.2009;87.3557
15.05.2009;87.5846
18.05.2009;88.9986
19.05.2009;88.9461
20.05.2009;88.7387
21.05.2009;87.5705
25.05.2009;87.2715
26.05.2009;88.5934
27.05.2009;88.0223
28.05.2009;88.2966
29.05.2009;88.7037
02.06.2009;89.6517
03.06.2009;89.2154
04.06.2009;89.5406
05.06.2009;89.6671
08.06.2009;89.5881
09.06.2009;89.4622
10.06.2009;89.8319
11.06.2009;90.0017
12.06.2009;90.3023
15.06.2009;89.5632
16.06.2009;88.714
17.06.2009;88.2583
18.06.2009;88.448
19.06.2009;88.7085
22.06.2009;87.2963
23.06.2009;86.8692
24.06.2009;87.7671
25.06.2009;88.6571
26.06.2009;88.7586
29.06.2009;89.0252
30.06.2009;88.7966
01.07.2009;88.9645
02.07.2009;88.0562
03.07.2009;88.0562
06.07.2009;87.9895
07.07.2009;87.2534
08.07.2009;87.1323
09.07.2009;86.9341
10.07.2009;86.9511
13.07.2009;87.7986
14.07.2009;88.3244
15.07.2009;89.281
16.07.2009;89.6365
17.07.2009;89.6489
20.07.2009;90.1669
21.07.2009;90.6105
22.07.2009;90.72
23.07.2009;91.7808
24.07.2009;91.9654
27.07.2009;92.1017
28.07.2009;92.0538
29.07.2009;92.3836
30.07.2009;93.0739
31.07.2009;93.0676
03.08.2009;93.6246
04.08.2009;93.7392
05.08.2009;93.5268
06.08.2009;93.4494
07.08.2009;94.5391
10.08.2009;94.5551
11.08.2009;93.9103
12.08.2009;94.4158
13.08.2009;94.9572
14.08.2009;95.0163
17.08.2009;93.7636
18.08.2009;94.387
19.08.2009;94.3975
20.08.2009;94.9372
21.08.2009;95.5742
24.08.2009;95.899
25.08.2009;96.1476
26.08.2009;96.3475
27.08.2009;96.1479
28.08.2009;96.4951
01.09.2009;95.046
02.09.2009;94.7074
03.09.2009;95.3287
04.09.2009;95.8998
07.09.2009;95.8998
08.09.2009;96.1264
09.09.2009;96.5298
10.09.2009;97.1549
11.09.2009;97.2789
14.09.2009;97.1985
15.09.2009;97.3564
16.09.2009;98.1056
17.09.2009;97.8318
18.09.2009;97.9497
21.09.2009;97.6321
22.09.2009;97.81
23.09.2009;97.5145
24.09.2009;97.0747
25.09.2009;96.6754
28.09.2009;97.9341
29.09.2009;97.8992
