Date;Value
01.06.2009;100
02.06.2009;99.4467
03.06.2009;98.6123
04.06.2009;98.7834
05.06.2009;98.6096
08.06.2009;98.7693
09.06.2009;98.6851
10.06.2009;99.2853
11.06.2009;100.0781
12.06.2009;99.1888
15.06.2009;97.6732
16.06.2009;97.2146
17.06.2009;96.4407
18.06.2009;96.5975
19.06.2009;96.4066
22.06.2009;95.1018
23.06.2009;94.7152
24.06.2009;96.2714
25.06.2009;96.6763
26.06.2009;96.5193
29.06.2009;97.3985
30.06.2009;96.7035
01.07.2009;97.3863
02.07.2009;96.0147
03.07.2009;95.9807
06.07.2009;95.2766
07.07.2009;94.3209
08.07.2009;94.1316
09.07.2009;94.2791
10.07.2009;94.2467
13.07.2009;95.0469
14.07.2009;96.3827
15.07.2009;98.2043
16.07.2009;98.5507
17.07.2009;99.267
20.07.2009;100.1836
21.07.2009;100.7401
22.07.2009;101.3079
23.07.2009;102.5717
24.07.2009;102.5682
27.07.2009;102.8659
28.07.2009;102.4923
29.07.2009;103.4323
30.07.2009;104.7938
31.07.2009;105.0997
03.08.2009;105.7905
04.08.2009;105.2796
05.08.2009;104.558
06.08.2009;104.9853
07.08.2009;105.5183
10.08.2009;105.5752
11.08.2009;104.7745
12.08.2009;105.5008
13.08.2009;105.7111
14.08.2009;104.5168
17.08.2009;103.679
18.08.2009;104.2416
19.08.2009;104.325
20.08.2009;105.2846
21.08.2009;106.5463
24.08.2009;107.5167
25.08.2009;107.6223
26.08.2009;107.5292
27.08.2009;107.2129
28.08.2009;107.4994
01.09.2009;105.3096
02.09.2009;105.2644
03.09.2009;105.2867
04.09.2009;106.4857
07.09.2009;107.6354
08.09.2009;107.849
09.09.2009;108.4607
10.09.2009;108.7879
11.09.2009;109.093
14.09.2009;108.9241
15.09.2009;109.4848
16.09.2009;110.4414
17.09.2009;110.6214
18.09.2009;110.2436
21.09.2009;110.1753
22.09.2009;110.2444
23.09.2009;109.9073
24.09.2009;108.8338
25.09.2009;109.2654
28.09.2009;110.3306
29.09.2009;110.756
30.09.2009;109.6972
01.10.2009;108.7212
02.10.2009;108.0037
05.10.2009;108.7947
06.10.2009;110.1046
07.10.2009;110.3812
08.10.2009;111.0196
09.10.2009;111.1905
12.10.2009;111.6998
13.10.2009;111.2828
14.10.2009;112.878
15.10.2009;112.5937
16.10.2009;111.9566
19.10.2009;112.8447
20.10.2009;112.2881
21.10.2009;112.4707
22.10.2009;111.3804
23.10.2009;110.9429
26.10.2009;110.006
27.10.2009;109.6005
28.10.2009;108.564
29.10.2009;108.9852
30.10.2009;107.549
02.11.2009;107.6726
03.11.2009;107.39
04.11.2009;108.6288
05.11.2009;108.8222
06.11.2009;109.4941
09.11.2009;110.7842
10.11.2009;111.0234
11.11.2009;111.2877
12.11.2009;111.3728
13.11.2009;112.091
16.11.2009;113.0109
17.11.2009;113.0839
18.11.2009;112.5195
19.11.2009;111.6719
20.11.2009;111.7695
