Date;Value
01.01.2023;100
04.01.2023;100.7295
05.01.2023;100.115
06.01.2023;102.134
09.01.2023;101.4913
10.01.2023;101.7847
11.01.2023;102.8042
12.01.2023;103.258
13.01.2023;103.6413
16.01.2023;103.9294
17.01.2023;103.8185
18.01.2023;103.2309
19.01.2023;101.7897
20.01.2023;102.7958
23.01.2023;103.5291
24.01.2023;103.379
25.01.2023;103.1383
26.01.2023;103.4405
27.01.2023;103.8641
30.01.2023;102.6874
31.01.2023;103.9131
01.02.2023;104.392
02.02.2023;105.1034
03.02.2023;104.6143
06.02.2023;104.6587
07.02.2023;105.6611
08.02.2023;105.2171
09.02.2023;104.4276
10.02.2023;104.3663
13.02.2023;105.2188
14.02.2023;104.7352
15.02.2023;105.5203
16.02.2023;104.6761
17.02.2023;104.9161
20.02.2023;104.7666
21.02.2023;103.2424
22.02.2023;103.0965
23.02.2023;103.6657
24.02.2023;102.6362
27.02.2023;103.3126
28.02.2023;102.7434
01.03.2023;102.2841
02.03.2023;103.1289
03.03.2023;104.4716
06.03.2023;104.2585
07.03.2023;103.1594
08.03.2023;103.71
09.03.2023;102.558
10.03.2023;100.6326
13.03.2023;99.6943
14.03.2023;100.5083
15.03.2023;100.7584
16.03.2023;101.3591
17.03.2023;100.0309
20.03.2023;100.0588
21.03.2023;100.9243
22.03.2023;100.0828
23.03.2023;99.9915
24.03.2023;100.6721
27.03.2023;100.8432
28.03.2023;100.2393
29.03.2023;101.5398
30.03.2023;101.7106
31.03.2023;103.0702
03.04.2023;102.7444
04.04.2023;102.1869
05.04.2023;101.6907
06.04.2023;102.0942
11.04.2023;102.8539
12.04.2023;102.4672
13.04.2023;103.094
14.04.2023;102.7938
17.04.2023;103.8326
18.04.2023;103.8481
19.04.2023;103.9325
20.04.2023;103.4558
21.04.2023;103.6236
24.04.2023;103.3525
25.04.2023;102.0583
26.04.2023;100.7437
27.04.2023;101.72
28.04.2023;101.8848
02.05.2023;100.977
03.05.2023;100.5962
04.05.2023;100.3268
05.05.2023;101.9318
09.05.2023;101.9878
10.05.2023;102.234
11.05.2023;102.3355
12.05.2023;102.8699
15.05.2023;103.42
16.05.2023;102.8283
17.05.2023;103.2294
18.05.2023;103.755
19.05.2023;103.8514
22.05.2023;104.2484
23.05.2023;103.5692
24.05.2023;102.3465
25.05.2023;102.8843
26.05.2023;103.6145
30.05.2023;103.3533
31.05.2023;102.9061
01.06.2023;103.6698
02.06.2023;104.7894
05.06.2023;105.121
06.06.2023;105.4505
07.06.2023;104.9678
08.06.2023;104.9537
09.06.2023;104.7504
12.06.2023;105.638
13.06.2023;106.0932
14.06.2023;105.8847
15.06.2023;106.4585
16.06.2023;105.6992
19.06.2023;105.4356
20.06.2023;104.7297
21.06.2023;103.9282
22.06.2023;103.5001
23.06.2023;103.2415
26.06.2023;102.6804
27.06.2023;102.9368
28.06.2023;103.3596
29.06.2023;103.508
30.06.2023;105.0985
03.07.2023;105.0755
04.07.2023;105.2134
05.07.2023;104.7658
06.07.2023;102.9983
07.07.2023;102.9098
10.07.2023;103.0343
11.07.2023;103.4914
12.07.2023;104.4377
13.07.2023;104.3961
14.07.2023;104.1425
17.07.2023;104.3543
18.07.2023;104.586
19.07.2023;105.1054
20.07.2023;104.7234
21.07.2023;105.3819
24.07.2023;105.5159
25.07.2023;106.1922
26.07.2023;105.8645
27.07.2023;105.3156
28.07.2023;106.349
31.07.2023;106.4788
01.08.2023;106.0565
02.08.2023;104.0242
03.08.2023;103.7745
04.08.2023;103.5065
07.08.2023;103.3449
08.08.2023;103.2814
09.08.2023;103.0567
10.08.2023;103.0321
11.08.2023;102.4711
14.08.2023;102.9984
15.08.2023;101.8937
16.08.2023;101.2181
17.08.2023;100.3916
18.08.2023;100.2201
21.08.2023;100.2008
22.08.2023;100.5885
23.08.2023;101.9315
24.08.2023;101.0193
25.08.2023;101.4494
29.08.2023;103.6114
30.08.2023;102.9428
31.08.2023;102.6166
01.09.2023;102.9303
04.09.2023;103.1815
05.09.2023;102.7817
06.09.2023;101.9921
07.09.2023;101.7275
08.09.2023;101.6864
11.09.2023;102.1045
12.09.2023;101.9207
13.09.2023;101.6121
14.09.2023;102.8684
15.09.2023;102.7244
18.09.2023;101.8103
19.09.2023;101.2754
20.09.2023;101.2787
21.09.2023;100.0069
22.09.2023;99.6923
25.09.2023;99.4936
26.09.2023;98.5809
27.09.2023;98.8693
28.09.2023;99.0168
29.09.2023;98.8761
02.10.2023;98.3699
03.10.2023;97.2667
04.10.2023;97.4296
05.10.2023;97.3339
06.10.2023;97.9588
09.10.2023;98.0735
10.10.2023;99.293
11.10.2023;99.5609
12.10.2023;98.8688
13.10.2023;98.6047
16.10.2023;98.9476
17.10.2023;98.9705
18.10.2023;97.4847
19.10.2023;96.2487
20.10.2023;94.7644
23.10.2023;94.3111
24.10.2023;94.9502
25.10.2023;94.261
26.10.2023;93.8994
27.10.2023;93.0346
30.10.2023;93.0122
31.10.2023;93.5546
01.11.2023;94.4861
02.11.2023;95.6272
03.11.2023;96.7649
06.11.2023;96.6595
07.11.2023;96.915
08.11.2023;96.8259
09.11.2023;96.2969
10.11.2023;96.1794
13.11.2023;96.4254
14.11.2023;98.4704
15.11.2023;98.5648
16.11.2023;98.2698
17.11.2023;98.5512
20.11.2023;98.8905
21.11.2023;98.5228
22.11.2023;99.083
23.11.2023;99.2268
24.11.2023;99.036
27.11.2023;98.6515
28.11.2023;98.5112
29.11.2023;98.6813
30.11.2023;99.6595
01.12.2023;100.9178
04.12.2023;100.8778
05.12.2023;100.9484
06.12.2023;101.3104
07.12.2023;101.4686
08.12.2023;101.62
11.12.2023;101.9848
12.12.2023;101.6559
13.12.2023;103.0633
14.12.2023;103.9222
15.12.2023;104.0101
18.12.2023;103.7696
19.12.2023;104.3926
20.12.2023;103.5718
21.12.2023;104.2447
22.12.2023;104.4866
27.12.2023;105.1308
28.12.2023;105.2566
29.12.2023;105.266
02.01.2024;105.3794
03.01.2024;104.0812
04.01.2024;103.7951
05.01.2024;103.8134
08.01.2024;104.5601
09.01.2024;104.5788
10.01.2024;104.5777
11.01.2024;103.9022
12.01.2024;104.2181
15.01.2024;103.9859
16.01.2024;103.5639
17.01.2024;102.365
18.01.2024;102.8124
19.01.2024;103.0602
22.01.2024;103.5081
