Date;Value
01.02.2004;100
03.02.2004;99.5852
04.02.2004;99.3135
05.02.2004;99.1899
06.02.2004;99.7792
09.02.2004;100.2782
10.02.2004;100.309
11.02.2004;100.9525
12.02.2004;100.8916
13.02.2004;100.8545
16.02.2004;100.9354
17.02.2004;101.538
18.02.2004;101.4903
19.02.2004;101.9342
20.02.2004;101.6194
23.02.2004;101.6658
24.02.2004;101.0487
25.02.2004;101.1783
26.02.2004;101.8042
27.02.2004;102.3983
01.03.2004;103.1118
02.03.2004;103.6389
03.03.2004;104.0787
04.03.2004;104.2222
05.03.2004;104.3471
08.03.2004;104.016
09.03.2004;103.3915
10.03.2004;102.7583
11.03.2004;101.4337
12.03.2004;101.1795
15.03.2004;100.3987
16.03.2004;100.258
17.03.2004;101.6881
18.03.2004;101.6158
19.03.2004;101.4617
22.03.2004;100.0792
23.03.2004;100.1986
24.03.2004;100.2981
25.03.2004;101.0573
26.03.2004;101.614
29.03.2004;102.1835
30.03.2004;102.31
31.03.2004;102.6443
01.04.2004;102.9041
02.04.2004;103.8942
05.04.2004;105.0315
06.04.2004;104.919
08.04.2004;104.8574
09.04.2004;104.8414
12.04.2004;105.1133
13.04.2004;105.8447
14.04.2004;104.8691
15.04.2004;104.5977
16.04.2004;104.3936
19.04.2004;104.3122
20.04.2004;105.0016
21.04.2004;104.5316
22.04.2004;104.8169
23.04.2004;105.304
26.04.2004;105.4204
27.04.2004;105.0884
28.04.2004;104.1492
29.04.2004;102.87
30.04.2004;101.8329
03.05.2004;102.034
04.05.2004;102.1952
05.05.2004;102.1857
06.05.2004;101.1803
07.05.2004;100.7661
10.05.2004;98.684
11.05.2004;98.9262
12.05.2004;99.2529
13.05.2004;99.2115
14.05.2004;98.7172
17.05.2004;96.8998
18.05.2004;97.5725
19.05.2004;98.541
20.05.2004;98.4594
21.05.2004;98.7224
24.05.2004;99.5589
25.05.2004;98.7859
26.05.2004;99.2429
27.05.2004;99.4323
28.05.2004;99.3081
31.05.2004;99.3392
01.06.2004;99.3338
02.06.2004;99.2426
03.06.2004;98.9511
04.06.2004;99.3051
07.06.2004;100.1542
08.06.2004;100.4125
09.06.2004;100.3067
10.06.2004;100.6015
11.06.2004;100.4997
14.06.2004;99.4069
15.06.2004;99.7107
16.06.2004;100.5363
17.06.2004;100.91
18.06.2004;100.8159
21.06.2004;100.9551
22.06.2004;100.6475
23.06.2004;101.0214
24.06.2004;101.5726
25.06.2004;101.8166
28.06.2004;101.7538
29.06.2004;101.7458
30.06.2004;101.8937
01.07.2004;101.5795
02.07.2004;100.9709
05.07.2004;100.6407
06.07.2004;100.3287
07.07.2004;100.2179
08.07.2004;99.8501
09.07.2004;100.0207
12.07.2004;99.9943
13.07.2004;100.0908
14.07.2004;99.8862
15.07.2004;99.8241
16.07.2004;99.9397
19.07.2004;99.7427
20.07.2004;99.3182
21.07.2004;100.141
22.07.2004;99.2412
23.07.2004;99.2824
26.07.2004;98.7943
27.07.2004;98.7674
28.07.2004;99.3997
29.07.2004;99.8048
30.07.2004;100.1568
02.08.2004;100.0614
03.08.2004;100.4405
04.08.2004;99.8327
05.08.2004;99.5681
06.08.2004;98.3003
09.08.2004;97.3669
10.08.2004;97.5173
11.08.2004;97.4004
12.08.2004;97.3789
13.08.2004;97.2315
16.08.2004;97.4096
17.08.2004;97.7149
18.08.2004;97.9289
19.08.2004;98.5037
20.08.2004;98.6281
23.08.2004;99.1495
24.08.2004;99.4285
25.08.2004;99.783
26.08.2004;100.3105
27.08.2004;100.7588
30.08.2004;100.8036
31.08.2004;100.476
01.09.2004;100.8555
02.09.2004;100.9901
03.09.2004;101.3069
06.09.2004;101.8041
07.09.2004;101.7129
08.09.2004;101.7983
09.09.2004;101.2859
10.09.2004;101.2481
13.09.2004;101.7887
14.09.2004;101.9458
15.09.2004;101.8278
16.09.2004;102.0937
17.09.2004;102.1701
20.09.2004;102.23
21.09.2004;102.2252
22.09.2004;102.0606
23.09.2004;101.5702
24.09.2004;101.7672
27.09.2004;101.4816
28.09.2004;101.8632
29.09.2004;101.9195
30.09.2004;101.9792
01.10.2004;102.641
04.10.2004;103.9215
05.10.2004;104.1332
06.10.2004;104.3631
07.10.2004;104.2332
08.10.2004;103.9828
11.10.2004;103.5533
12.10.2004;102.9048
13.10.2004;102.6479
14.10.2004;101.9405
15.10.2004;101.6361
18.10.2004;101.2119
19.10.2004;101.5284
20.10.2004;100.8718
21.10.2004;101.1049
22.10.2004;101.1869
25.10.2004;100.1017
26.10.2004;100.4804
27.10.2004;100.8084
28.10.2004;101.305
29.10.2004;101.2061
01.11.2004;101.5835
02.11.2004;102.1229
03.11.2004;102.7014
04.11.2004;102.5848
05.11.2004;103.1568
08.11.2004;102.7705
09.11.2004;102.9187
10.11.2004;102.9623
11.11.2004;103.5704
12.11.2004;104.4591
15.11.2004;104.4828
16.11.2004;104.1759
17.11.2004;104.7424
18.11.2004;105.0352
19.11.2004;104.8906
22.11.2004;104.4852
23.11.2004;104.7214
24.11.2004;104.8001
25.11.2004;105.0849
26.11.2004;104.9921
29.11.2004;105.2304
30.11.2004;104.7802
01.12.2004;105.0034
02.12.2004;105.0516
03.12.2004;105.0662
06.12.2004;104.5519
07.12.2004;104.2526
08.12.2004;104.0248
09.12.2004;103.7771
10.12.2004;103.9601
13.12.2004;104.407
14.12.2004;104.7302
15.12.2004;105.016
16.12.2004;105.2823
17.12.2004;105.2923
20.12.2004;105.235
21.12.2004;105.4316
22.12.2004;105.7163
23.12.2004;105.6309
24.12.2004;105.6851
28.12.2004;105.3982
29.12.2004;105.5871
30.12.2004;105.7354
31.12.2004;105.9649
04.01.2005;106.2071
05.01.2005;105.7503
06.01.2005;106.1817
07.01.2005;106.477
10.01.2005;106.8345
11.01.2005;106.5728
12.01.2005;106.424
13.01.2005;106.4959
14.01.2005;107.0663
17.01.2005;107.4582
18.01.2005;107.5638
19.01.2005;107.7265
20.01.2005;107.3303
21.01.2005;107.2473
24.01.2005;107.1
25.01.2005;107.4184
26.01.2005;107.8111
27.01.2005;107.9844
28.01.2005;107.8882
31.01.2005;108.3876
01.02.2005;108.7824
02.02.2005;109.14
03.02.2005;109.4233
04.02.2005;110.1306
07.02.2005;110.9398
08.02.2005;111.234
09.02.2005;111.0977
10.02.2005;111.2692
11.02.2005;111.7164
14.02.2005;111.8419
15.02.2005;112.1223
16.02.2005;111.9683
17.02.2005;111.8704
18.02.2005;112.1056
21.02.2005;111.9652
22.02.2005;111.1334
23.02.2005;110.7235
24.02.2005;110.9722
25.02.2005;112.0537
28.02.2005;112.3791
01.03.2005;112.4658
02.03.2005;112.6234
03.03.2005;112.8404
04.03.2005;113.4336
07.03.2005;113.4983
08.03.2005;113.0355
09.03.2005;112.4447
10.03.2005;111.3551
11.03.2005;111.5778
14.03.2005;111.2969
15.03.2005;111.4723
16.03.2005;111.0102
17.03.2005;110.8397
18.03.2005;111.3186
21.03.2005;111.428
22.03.2005;111.2511
23.03.2005;110.7937
24.03.2005;111.2367
25.03.2005;111.2315
28.03.2005;111.3911
29.03.2005;110.8825
30.03.2005;110.7713
31.03.2005;111.6576
01.04.2005;112.2967
04.04.2005;112.0184
05.04.2005;112.4924
06.04.2005;112.8009
07.04.2005;112.8957
08.04.2005;113.0549
11.04.2005;112.3743
12.04.2005;112.2055
13.04.2005;112.2752
14.04.2005;111.9634
