Date;Value
01.06.2020;100
03.06.2020;100.6329
04.06.2020;100.7922
05.06.2020;101.425
08.06.2020;102.5789
09.06.2020;102.4212
10.06.2020;101.6777
11.06.2020;99.9574
12.06.2020;98.3398
15.06.2020;99.1153
16.06.2020;100.1966
17.06.2020;101.4209
18.06.2020;101.1052
19.06.2020;101.4414
22.06.2020;101.4873
23.06.2020;101.4973
24.06.2020;101.2019
25.06.2020;101.2614
26.06.2020;100.9478
29.06.2020;100.7796
30.06.2020;102.1033
01.07.2020;102.6267
02.07.2020;103.2063
03.07.2020;103.8324
06.07.2020;104.2204
07.07.2020;104.7843
08.07.2020;104.6007
09.07.2020;104.8867
10.07.2020;105.1206
13.07.2020;104.9628
14.07.2020;105.0225
15.07.2020;105.7977
16.07.2020;106.3717
17.07.2020;106.3877
20.07.2020;106.9368
21.07.2020;107.5941
22.07.2020;107.5545
23.07.2020;107.0977
24.07.2020;106.727
27.07.2020;105.8565
28.07.2020;105.9711
29.07.2020;105.7046
30.07.2020;105.1515
31.07.2020;104.8814
03.08.2020;105.1814
04.08.2020;106.2347
05.08.2020;106.681
06.08.2020;107.1646
07.08.2020;107.4658
10.08.2020;108.2391
11.08.2020;108.4716
12.08.2020;108.7385
13.08.2020;108.9809
14.08.2020;109.1979
17.08.2020;109.0558
18.08.2020;109.1531
19.08.2020;109.1013
20.08.2020;109.4665
21.08.2020;109.4596
24.08.2020;109.9191
25.08.2020;110.4342
26.08.2020;111.1428
27.08.2020;111.5663
28.08.2020;111.1677
31.08.2020;111.0432
01.09.2020;110.8574
02.09.2020;112.0839
03.09.2020;111.4737
04.09.2020;109.7361
07.09.2020;109.2309
08.09.2020;108.7513
09.09.2020;109.0141
10.09.2020;109.2642
11.09.2020;109.024
14.09.2020;109.6381
15.09.2020;110.51
16.09.2020;111.0653
17.09.2020;111.293
18.09.2020;110.7351
21.09.2020;110.5362
22.09.2020;110.1159
23.09.2020;109.8068
24.09.2020;109.3683
25.09.2020;109.5167
28.09.2020;110.8092
29.09.2020;111.7785
30.09.2020;112.1869
01.10.2020;112.7054
02.10.2020;113.2299
05.10.2020;113.5257
06.10.2020;114.2458
07.10.2020;114.8496
08.10.2020;116.2591
09.10.2020;116.5478
12.10.2020;117.364
13.10.2020;117.5887
14.10.2020;117.5479
15.10.2020;117.6619
16.10.2020;117.3809
19.10.2020;116.8621
20.10.2020;116.507
21.10.2020;116.3404
22.10.2020;115.1261
23.10.2020;115.1933
26.10.2020;114.4511
27.10.2020;113.6305
28.10.2020;112.4419
29.10.2020;112.7614
30.10.2020;112.578
02.11.2020;113.2251
03.11.2020;113.9147
04.11.2020;115.3156
05.11.2020;115.4282
06.11.2020;117.2006
09.11.2020;117.8065
10.11.2020;118.5022
11.11.2020;118.6305
12.11.2020;119.4516
13.11.2020;119.4112
16.11.2020;120.1292
17.11.2020;120.6087
18.11.2020;120.4291
19.11.2020;120.3937
20.11.2020;120.687
23.11.2020;121.5538
24.11.2020;122.7191
25.11.2020;123.113
26.11.2020;123.2325
27.11.2020;123.426
30.11.2020;123.4346
01.12.2020;123.0235
02.12.2020;122.5013
03.12.2020;121.6964
04.12.2020;121.8446
07.12.2020;122.3354
08.12.2020;122.525
09.12.2020;123.4086
10.12.2020;122.8551
11.12.2020;122.7546
14.12.2020;122.8665
15.12.2020;123.3684
16.12.2020;124.5333
17.12.2020;124.7916
18.12.2020;125.0785
21.12.2020;125.0198
22.12.2020;125.5132
23.12.2020;125.5924
24.12.2020;125.7726
28.12.2020;125.9397
29.12.2020;126.1207
30.12.2020;125.5083
31.12.2020;125.8439
04.01.2021;126.3561
05.01.2021;126.8724
06.01.2021;127.202
07.01.2021;129.9398
08.01.2021;132.6758
11.01.2021;133.0402
12.01.2021;132.781
13.01.2021;133.3123
14.01.2021;133.381
15.01.2021;133.3848
18.01.2021;131.8496
19.01.2021;132.2106
20.01.2021;133.7031
21.01.2021;133.8204
22.01.2021;134.2917
25.01.2021;134.5386
26.01.2021;133.8794
27.01.2021;132.9751
28.01.2021;131.5654
29.01.2021;130.5549
01.02.2021;130.2636
02.02.2021;132.1823
03.02.2021;133.2447
04.02.2021;133.9668
05.02.2021;134.0601
08.02.2021;134.4616
09.02.2021;134.7989
10.02.2021;134.5071
11.02.2021;134.0509
12.02.2021;134.3943
15.02.2021;134.4698
16.02.2021;134.5176
17.02.2021;134.4049
18.02.2021;133.4426
19.02.2021;131.6565
22.02.2021;131.9361
23.02.2021;130.3043
24.02.2021;129.7173
25.02.2021;129.1844
26.02.2021;127.48
01.03.2021;128.4575
02.03.2021;130.3622
03.03.2021;128.8553
04.03.2021;126.809
05.03.2021;126.0585
08.03.2021;126.4417
09.03.2021;126.6512
10.03.2021;128.6866
11.03.2021;129.0854
12.03.2021;130.6534
15.03.2021;131.1408
16.03.2021;131.3086
17.03.2021;131.0252
18.03.2021;130.1436
19.03.2021;129.246
22.03.2021;129.6255
23.03.2021;129.9301
24.03.2021;129.1341
25.03.2021;128.6456
26.03.2021;129.4699
29.03.2021;130.6498
30.03.2021;129.9761
31.03.2021;131.1955
01.04.2021;132.4691
06.04.2021;133.0329
08.04.2021;132.1602
09.04.2021;132.8306
12.04.2021;133.0378
13.04.2021;132.593
14.04.2021;132.4567
15.04.2021;132.4344
16.04.2021;132.5232
19.04.2021;132.6838
20.04.2021;131.3763
21.04.2021;131.099
22.04.2021;131.7149
23.04.2021;132.8751
26.04.2021;133.372
27.04.2021;133.5235
28.04.2021;132.9845
29.04.2021;132.5271
30.04.2021;132.1113
03.05.2021;131.4453
04.05.2021;131.0118
05.05.2021;130.0673
06.05.2021;130.1739
07.05.2021;129.7143
10.05.2021;129.8599
11.05.2021;128.3248
12.05.2021;127.1955
14.05.2021;126.9134
17.05.2021;127.8804
18.05.2021;127.3232
19.05.2021;127.1129
20.05.2021;127.6128
21.05.2021;128.6944
24.05.2021;128.9026
25.05.2021;129.4523
26.05.2021;129.669
27.05.2021;130.274
28.05.2021;130.8306
31.05.2021;130.8156
01.06.2021;130.6503
02.06.2021;131.0426
