Date;Value
01.10.2009;100
02.10.2009;99.0149
05.10.2009;98.9672
06.10.2009;100.4675
07.10.2009;101.1506
08.10.2009;102.1953
09.10.2009;102.4452
12.10.2009;103.0477
13.10.2009;102.6639
14.10.2009;103.6633
15.10.2009;103.9791
16.10.2009;103.6831
19.10.2009;104.0692
20.10.2009;103.8196
21.10.2009;103.799
22.10.2009;102.8162
23.10.2009;102.7001
26.10.2009;101.9838
27.10.2009;101.2988
28.10.2009;99.4456
29.10.2009;100.3535
30.10.2009;99.8544
02.11.2009;99.4025
03.11.2009;98.8962
04.11.2009;99.9784
05.11.2009;100.4023
06.11.2009;100.4995
09.11.2009;101.167
10.11.2009;101.2391
11.11.2009;101.6262
12.11.2009;101.7451
13.11.2009;102.1082
16.11.2009;102.6038
17.11.2009;103.0303
18.11.2009;103.1298
19.11.2009;102.0906
20.11.2009;101.1708
23.11.2009;102.0187
24.11.2009;102.1585
25.11.2009;101.9805
26.11.2009;100.3191
27.11.2009;100.4401
30.11.2009;99.6853
01.12.2009;101.1711
02.12.2009;102.0077
03.12.2009;102.3242
04.12.2009;102.177
07.12.2009;102.4309
08.12.2009;101.4609
09.12.2009;100.9313
10.12.2009;100.5948
11.12.2009;100.864
14.12.2009;101.3299
15.12.2009;101.71
16.12.2009;102.479
17.12.2009;102.3416
18.12.2009;101.9812
21.12.2009;102.3045
22.12.2009;102.7297
23.12.2009;102.8346
28.12.2009;103.1689
29.12.2009;103.5371
30.12.2009;103.5824
04.01.2010;104.7778
05.01.2010;105.2563
07.01.2010;105.7434
08.01.2010;106.1852
11.01.2010;106.223
12.01.2010;105.732
13.01.2010;105.1902
14.01.2010;105.3172
15.01.2010;105.7841
18.01.2010;105.6752
19.01.2010;105.8228
20.01.2010;105.6629
21.01.2010;104.7847
22.01.2010;103.4786
25.01.2010;102.9568
26.01.2010;102.8415
27.01.2010;102.4161
28.01.2010;102.2474
29.01.2010;102.165
01.02.2010;102.5346
02.02.2010;103.4304
03.02.2010;103.6721
04.02.2010;102.8458
05.02.2010;101.9053
08.02.2010;101.3432
09.02.2010;101.4095
10.02.2010;101.5655
11.02.2010;102.1095
12.02.2010;102.4995
15.02.2010;102.7805
16.02.2010;103.216
17.02.2010;103.9413
18.02.2010;104.657
19.02.2010;104.72
22.02.2010;104.7903
23.02.2010;104.2779
24.02.2010;104.1032
25.02.2010;103.5609
26.02.2010;103.5841
01.03.2010;104.4283
02.03.2010;105.4526
03.03.2010;105.9776
04.03.2010;106.1829
05.03.2010;106.9856
08.03.2010;106.9898
09.03.2010;107.0475
10.03.2010;107.3008
11.03.2010;107.0733
12.03.2010;107.0805
15.03.2010;106.8622
16.03.2010;107.2415
17.03.2010;107.8686
18.03.2010;108.319
19.03.2010;108.1893
22.03.2010;107.6761
23.03.2010;108.0117
24.03.2010;108.631
25.03.2010;108.983
26.03.2010;109.0283
29.03.2010;109.4169
30.03.2010;109.7536
31.03.2010;109.7616
01.04.2010;110.457
06.04.2010;111.6324
07.04.2010;111.9979
08.04.2010;111.5208
09.04.2010;112.175
12.04.2010;111.8386
13.04.2010;111.3786
14.04.2010;111.5484
15.04.2010;112.1434
16.04.2010;111.7791
19.04.2010;110.5588
20.04.2010;111.1065
21.04.2010;111.5224
22.04.2010;111.0464
23.04.2010;111.4422
26.04.2010;111.9964
27.04.2010;111.2498
28.04.2010;110.3707
29.04.2010;110.8338
30.04.2010;110.9059
03.05.2010;110.9957
04.05.2010;110.2962
