Date;Value
24.10.2007;100
25.10.2007;100.0335
26.10.2007;100.2625
29.10.2007;100.6074
30.10.2007;100.7116
31.10.2007;100.5683
02.11.2007;100.2253
05.11.2007;100.0396
06.11.2007;99.8487
07.11.2007;99.8446
08.11.2007;99.7005
09.11.2007;99.6426
12.11.2007;99.2404
13.11.2007;98.5668
14.11.2007;98.6716
15.11.2007;98.8019
16.11.2007;98.6051
19.11.2007;98.4401
20.11.2007;98.087
21.11.2007;97.7908
22.11.2007;97.3333
23.11.2007;97.3324
26.11.2007;97.6529
27.11.2007;97.6611
28.11.2007;97.6217
29.11.2007;98.1013
30.11.2007;98.701
03.12.2007;99.1549
04.12.2007;99.0327
05.12.2007;99.0816
06.12.2007;99.5142
07.12.2007;99.6719
10.12.2007;99.5382
11.12.2007;99.5669
12.12.2007;99.4747
13.12.2007;99.2852
14.12.2007;99.0408
17.12.2007;98.7916
18.12.2007;98.2664
19.12.2007;98.1617
20.12.2007;98.2502
21.12.2007;98.5164
27.12.2007;99.0134
28.12.2007;99.0562
02.01.2008;99.2403
03.01.2008;99.0624
04.01.2008;98.998
07.01.2008;98.5517
08.01.2008;98.3417
09.01.2008;98.5509
10.01.2008;98.4453
11.01.2008;98.1281
14.01.2008;97.9551
15.01.2008;97.8901
16.01.2008;97.3841
17.01.2008;96.6832
18.01.2008;96.2734
21.01.2008;95.7297
22.01.2008;94.8149
23.01.2008;94.3256
24.01.2008;94.3903
25.01.2008;95.2048
28.01.2008;94.9712
29.01.2008;95.1218
30.01.2008;95.1549
31.01.2008;95.05
01.02.2008;95.405
04.02.2008;95.9149
05.02.2008;96.3188
06.02.2008;95.7107
07.02.2008;95.4741
08.02.2008;95.4111
11.02.2008;95.3273
12.02.2008;95.3398
13.02.2008;95.911
14.02.2008;96.2284
15.02.2008;96.2823
18.02.2008;96.1902
19.02.2008;96.1155
20.02.2008;96.3473
21.02.2008;96.3707
22.02.2008;96.2987
25.02.2008;96.2804
26.02.2008;96.4731
27.02.2008;96.7374
28.02.2008;96.7146
29.02.2008;96.3828
03.03.2008;95.6702
04.03.2008;95.4058
05.03.2008;95.1685
06.03.2008;95.2674
07.03.2008;94.9447
10.03.2008;94.2554
11.03.2008;93.645
12.03.2008;93.7646
13.03.2008;93.5738
14.03.2008;93.2452
17.03.2008;92.5589
18.03.2008;92.0773
19.03.2008;92.1035
20.03.2008;92.1881
25.03.2008;92.0761
26.03.2008;92.2376
27.03.2008;92.1261
28.03.2008;92.3627
31.03.2008;92.2683
01.04.2008;92.5549
