Date;Value
01.11.2007;100
05.11.2007;99.5619
06.11.2007;99.5296
07.11.2007;99.463
08.11.2007;99.3413
09.11.2007;99.1711
12.11.2007;98.4585
13.11.2007;98.1615
14.11.2007;98.1766
15.11.2007;98.1809
16.11.2007;98.1886
19.11.2007;97.7558
20.11.2007;97.512
21.11.2007;96.9782
22.11.2007;96.2431
23.11.2007;96.0235
26.11.2007;96.1617
27.11.2007;96.3606
28.11.2007;96.1461
29.11.2007;96.6582
30.11.2007;97.0166
03.12.2007;97.484
04.12.2007;97.4887
05.12.2007;97.3759
06.12.2007;97.8727
07.12.2007;98.0249
10.12.2007;98.1201
11.12.2007;98.1106
12.12.2007;98.2058
13.12.2007;98.0378
14.12.2007;97.5571
17.12.2007;97.1136
18.12.2007;96.4752
19.12.2007;96.3326
20.12.2007;96.3795
21.12.2007;96.6126
27.12.2007;97.1688
28.12.2007;97.5459
02.01.2008;97.7017
03.01.2008;97.5364
04.01.2008;97.5228
07.01.2008;96.9184
08.01.2008;96.7228
09.01.2008;97.0318
10.01.2008;96.7292
11.01.2008;96.4111
14.01.2008;96.203
15.01.2008;96.1651
16.01.2008;95.6339
17.01.2008;94.8446
18.01.2008;94.7067
21.01.2008;94.5403
22.01.2008;93.8228
23.01.2008;93.3486
24.01.2008;93.079
25.01.2008;93.7632
28.01.2008;93.9621
29.01.2008;93.5406
30.01.2008;93.9155
31.01.2008;93.8365
01.02.2008;93.9292
04.02.2008;94.3508
05.02.2008;94.8711
06.02.2008;94.341
07.02.2008;94.1417
08.02.2008;94.1441
11.02.2008;94.0495
12.02.2008;94.0144
13.02.2008;94.6966
14.02.2008;94.9144
15.02.2008;95.1228
18.02.2008;94.9927
19.02.2008;95.1635
20.02.2008;95.4111
21.02.2008;95.3139
22.02.2008;95.5186
25.02.2008;95.3194
26.02.2008;95.4818
27.02.2008;95.8779
28.02.2008;95.9091
29.02.2008;95.7189
03.03.2008;95.3638
04.03.2008;94.9639
05.03.2008;94.8826
06.03.2008;95.0802
07.03.2008;94.8672
10.03.2008;94.1737
11.03.2008;93.6496
12.03.2008;93.7127
13.03.2008;93.8683
14.03.2008;93.4887
17.03.2008;93.1683
18.03.2008;92.2988
19.03.2008;91.9878
20.03.2008;91.7683
25.03.2008;91.8377
26.03.2008;92.365
27.03.2008;92.3099
28.03.2008;92.5955
31.03.2008;92.6409
01.04.2008;92.3755
02.04.2008;93.2412
03.04.2008;93.6364
04.04.2008;93.784
07.04.2008;93.8658
08.04.2008;94.1535
09.04.2008;94.0251
10.04.2008;93.8192
11.04.2008;93.6808
14.04.2008;93.5047
15.04.2008;93.2397
16.04.2008;93.4483
17.04.2008;93.5595
18.04.2008;93.6863
21.04.2008;94.1654
22.04.2008;94.0953
23.04.2008;93.9169
24.04.2008;93.999
25.04.2008;93.8082
28.04.2008;94.0791
29.04.2008;94.3832
30.04.2008;94.4788
02.05.2008;94.5726
05.05.2008;95.2328
06.05.2008;95.4368
07.05.2008;95.3194
08.05.2008;95.8568
09.05.2008;95.9493
13.05.2008;95.907
14.05.2008;95.8084
15.05.2008;96.1581
16.05.2008;96.3755
19.05.2008;96.7592
20.05.2008;97.6306
21.05.2008;96.9137
22.05.2008;96.6562
23.05.2008;96.748
26.05.2008;96.4589
27.05.2008;96.2248
28.05.2008;96.3124
29.05.2008;96.3343
30.05.2008;96.6871
02.06.2008;96.8536
03.06.2008;96.6665
04.06.2008;96.6564
05.06.2008;96.5494
06.06.2008;96.5711
09.06.2008;96.3287
10.06.2008;95.932
11.06.2008;95.8714
12.06.2008;95.6201
13.06.2008;95.6203
16.06.2008;95.6364
17.06.2008;95.843
18.06.2008;96.093
19.06.2008;95.8546
20.06.2008;95.5773
24.06.2008;95.3453
25.06.2008;94.8389
26.06.2008;94.959
27.06.2008;94.5698
30.06.2008;94.3825
01.07.2008;94.2955
02.07.2008;93.8013
03.07.2008;93.528
04.07.2008;93.377
07.07.2008;93.2619
08.07.2008;93.3914
09.07.2008;93.1127
10.07.2008;93.4518
